stid,event_id,dem_elev_m,elev_m_reg,elev_residual_m,elev_qc,slope,aspect,relief_1km,repr_error_flag,terrain_class
ATC01,boulder_chin2021,1642.6,1659.9,-17.3,OK,5.12,195.8,86.4,89.04,exposed_ridge
BMTC2,boulder_chin2021,2451.0,2439.3,11.7,OK,20.56,320.0,432.6,159.27,exposed_ridge
C7944,boulder_chin2021,1737.7,5712.0,-3974.3,FLAG_LARGE_RESIDUAL,14.58,184.4,153.9,122.63,exposed_ridge
CO109,boulder_chin2021,1902.2,1905.0,-2.8,OK,3.61,359.7,98.7,75.3,canyon_gap
E3608,boulder_chin2021,1602.7,1617.9,-15.2,OK,0.87,83.3,23.2,15.27,exposed_ridge
E6155,boulder_chin2021,1675.8,5494.0,-3818.2,FLAG_LARGE_RESIDUAL,0.92,340.7,59.9,32.46,exposed_ridge
E9688,boulder_chin2021,1878.0,1877.4,0.6,OK,2.25,350.5,80.6,41.95,exposed_ridge
RFN,boulder_chin2021,1802.5,1802.0,0.5,OK,0.56,295.6,98.7,38.49,exposed_ridge
UP736,boulder_chin2021,2030.7,2025.4,5.3,OK,1.12,336.4,470.3,183.6,exposed_ridge
BNGC1,camp_2018,249.8,244.8,5.0,OK,14.45,18.6,125.5,57.91,open
CBXC1,camp_2018,1824.6,1830.0,-5.4,OK,5.96,47.1,223.6,168.3,exposed_ridge
CDEC1,camp_2018,1468.0,1467.9,0.1,OK,2.12,201.3,313.0,121.43,exposed_ridge
CESC1,camp_2018,1383.1,1385.9,-2.8,OK,0.96,275.6,23.8,23.24,open
CHAC1,camp_2018,1353.8,1364.9,-11.1,OK,12.62,26.4,460.1,213.98,open
CICC1,camp_2018,81.4,81.7,-0.3,OK,0.67,17.8,20.1,25.21,valley
CSTC1,camp_2018,528.0,528.2,-0.2,OK,4.43,142.6,139.0,91.47,open
HMRC1,camp_2018,2048.4,2046.4,2.0,OK,2.35,23.2,150.8,76.56,exposed_ridge
JBGC1,camp_2018,765.6,772.7,-7.1,OK,1.22,7.5,385.8,145.98,canyon_gap
PKCC1,camp_2018,1124.6,1128.1,-3.5,OK,11.88,46.6,318.7,83.71,exposed_ridge
PSWC1,camp_2018,1017.3,1019.3,-2.0,OK,4.93,85.6,339.1,130.96,open
QYRC1,camp_2018,1088.4,1113.1,-24.7,OK,17.19,315.4,160.0,60.88,open
SLEC1,camp_2018,2024.9,2033.0,-8.1,OK,11.16,1.1,433.9,157.68,exposed_ridge
DEOI4,iowa_derecho2020,305.8,304.8,1.0,OK,0.67,250.0,10.8,19.5,open
HITI4,iowa_derecho2020,388.0,384.0,4.0,OK,2.34,37.0,92.3,25.82,open
ATLC1,kincade_ign_2019,616.5,589.5,27.0,OK,9.14,32.5,285.8,141.87,exposed_ridge
COWC1,kincade_ign_2019,1019.5,1022.6,-3.1,OK,15.14,252.9,375.0,100.35,valley
HGLC1,kincade_ign_2019,1468.7,1465.2,3.5,OK,9.95,39.4,405.6,166.37,exposed_ridge
HPDC1,kincade_ign_2019,801.8,817.5,-15.7,OK,12.61,58.4,452.4,246.48,open
HWKC1,kincade_ign_2019,618.9,616.9,2.0,OK,7.83,65.1,334.9,189.51,open
KELC1,kincade_ign_2019,661.1,659.3,1.8,OK,1.16,38.7,118.5,98.23,open
KNXC1,kincade_ign_2019,662.6,670.6,-8.0,OK,4.6,36.8,149.9,88.76,canyon_gap
OAAC1,kincade_ign_2019,582.5,576.1,6.4,OK,7.96,347.7,412.9,129.65,exposed_ridge
RSAC1,kincade_ign_2019,182.4,182.6,-0.2,OK,2.64,144.4,121.9,63.44,open
WISC1,kincade_ign_2019,635.3,635.5,-0.2,OK,1.9,54.5,228.7,78.81,open
ATLC1,kincade_run_2019,616.5,589.5,27.0,OK,9.14,32.5,285.8,141.87,exposed_ridge
