stid,event_id,regime,tc,relief,slope,aspect,bc_dir,adiff,flow_coupling,reason,borderline,speed_err,qc_flag
A3674,missoula_jul2024,convective_outflow,open,18.6,0.51,48.1,269.2,138.9,sheltered,open_r19s1_lee,False,1.85,KEEP
A3800,labor_day_or2020,downslope_oregon,open,14.7,0.37,,29.7,,sheltered,open_r15s0_aspect_unknown,False,-12.5,KEEP
A4218,labor_day_or2020,downslope_oregon,valley,31.5,0.96,166.0,66.6,99.4,sheltered,terrain_valley,False,6.89,KEEP
AENC2,marshall_2021,chinook_frontrange,exposed_ridge,31.4,1.71,36.9,278.3,118.6,sheltered,exposed_ridge_r31s2_lee_cold_pool,True,-3.7,KEEP
ANIC1,thomas_2017,santa_ana,valley,77.8,7.9,198.4,102.5,95.9,sheltered,terrain_valley,False,1.75,KEEP
ANIC1,woolsey_2018,santa_ana,valley,77.8,12.85,164.4,92.8,71.60000000000001,sheltered,terrain_valley,False,-14.99,KEEP
ATC01,boulder_chin2021,chinook_frontrange,exposed_ridge,86.4,5.12,195.8,332.3,136.5,sheltered,exposed_ridge_r86s5_lee_cold_pool,True,3.5,KEEP
ATLC1,kincade_ign_2019,diablo_offshore_NW,exposed_ridge,285.8,9.14,32.5,53.5,21.0,coupled,exposed_ridge_r286s9_upslope,False,-4.84,KEEP
ATLC1,kincade_run_2019,diablo_offshore_NE,exposed_ridge,285.8,9.14,32.5,13.7,18.8,coupled,exposed_ridge_r286s9_upslope,False,4.04,KEEP
ATLC1,tubbs_2017,diablo_offshore,exposed_ridge,286.8,15.48,76.7,48.6,28.1,coupled,exposed_ridge_r287s15_upslope,False,-13.43,KEEP
AV613,labor_day_or2020,downslope_oregon,open,145.2,1.58,209.7,51.7,158.0,sheltered,open_r145s2_lee_cold_pool,True,11.1,KEEP
BLMM8,missoula_dec2025,continental_downslope,open,266.1,6.0,289.5,282.1,7.399999999999977,intermediate,open_r266s6_upslope,False,7.06,CAUTION
BLMM8,missoula_jul2024,convective_outflow,open,266.2,5.44,252.7,270.6,17.900000000000034,intermediate,open_r266s5_upslope,False,9.49,KEEP
BMTC2,boulder_chin2021,chinook_frontrange,exposed_ridge,432.6,20.56,320.0,322.9,2.8999999999999773,coupled,exposed_ridge_r433s21_upslope,False,-6.53,KEEP
BNGC1,camp_2018,diablo_offshore,open,125.5,14.45,18.6,90.4,71.80000000000001,intermediate,open_r126s14_upslope,False,0.33,KEEP
BTAC2,marshall_2021,chinook_frontrange,exposed_ridge,359.4,12.0,315.1,274.8,40.30000000000001,coupled,exposed_ridge_r359s12_upslope,False,19.15,KEEP
BVRC1,thomas_2017,santa_ana,open,173.7,7.5,272.3,88.7,176.39999999999998,intermediate,open_r174s8_lee,False,-13.39,KEEP
BVRC1,woolsey_2018,santa_ana,open,172.6,9.6,243.6,92.8,150.8,intermediate,open_r173s10_lee,False,-6.87,KEEP
C2551,labor_day_or2020,downslope_oregon,open,27.9,1.07,172.6,28.9,143.7,sheltered,open_r28s1_lee,False,9.36,KEEP
C3932,labor_day_or2020,downslope_oregon,open,13.8,0.34,,29.3,,sheltered,open_r14s0_aspect_unknown,False,8.67,KEEP
C4884,missoula_jul2024,convective_outflow,open,220.1,0.94,80.9,266.6,174.29999999999998,intermediate,open_r220s1_lee,False,-2.8,KEEP
C5507,labor_day_or2020,downslope_oregon,open,27.7,0.29,,81.7,,sheltered,open_r28s0_aspect_unknown,False,2.36,KEEP
C7944,boulder_chin2021,chinook_frontrange,exposed_ridge,153.9,14.58,184.4,331.7,147.29999999999998,intermediate,exposed_ridge_r154s15_lee,True,24.14,KEEP
CBXC1,camp_2018,diablo_offshore,exposed_ridge,223.6,5.96,47.1,85.8,38.699999999999996,coupled,exposed_ridge_r224s6_upslope,False,-3.62,KEEP
CDEC1,camp_2018,diablo_offshore,exposed_ridge,313.0,2.12,201.3,85.0,116.30000000000001,intermediate,exposed_ridge_r313s2_lee,False,3.42,KEEP
CEEC1,thomas_2017,santa_ana,open,253.7,4.94,304.9,82.0,137.10000000000002,intermediate,open_r254s5_lee,False,-11.19,KEEP
CEEC1,woolsey_2018,santa_ana,open,253.2,0.71,3.6,82.3,78.7,intermediate,open_r253s1_upslope,False,-9.98,KEEP
CEKC2,marshall_2021,chinook_frontrange,canyon_gap,293.7,10.79,12.5,285.0,87.5,intermediate,canyon_gap_r294s11_upslope,True,-12.91,KEEP
CESC1,camp_2018,diablo_offshore,open,23.8,0.96,275.6,83.2,167.59999999999997,sheltered,open_r24s1_lee,False,1.13,KEEP
CGFO3,labor_day_or2020,downslope_oregon,open,31.4,0.47,,80.5,,sheltered,open_r31s0_aspect_unknown,False,4.66,KEEP
CICC1,camp_2018,diablo_offshore,valley,20.1,0.67,17.8,78.6,60.8,sheltered,terrain_valley,False,-8.62,KEEP
CNIC1,thomas_2017,santa_ana,open,453.5,15.94,184.6,67.7,116.89999999999999,intermediate,open_r454s16_lee,False,-7.63,KEEP
CNIC1,woolsey_2018,santa_ana,open,453.5,16.09,170.1,69.0,101.1,intermediate,open_r454s16_lee,False,-19.37,KEEP
CO109,boulder_chin2021,chinook_frontrange,canyon_gap,98.7,3.61,359.7,329.2,30.5,intermediate,canyon_gap_r99s4_upslope,False,-11.95,KEEP
CONM8,missoula_dec2025,continental_downslope,open,37.9,1.96,47.2,275.9,131.3,sheltered,open_r38s2_lee,False,-4.46,KEEP
COWC1,kincade_ign_2019,diablo_offshore_NW,valley,375.0,15.14,252.9,79.5,173.4,sheltered,terrain_valley,False,-8.63,KEEP
COWC1,kincade_run_2019,diablo_offshore_NE,valley,375.0,15.14,252.9,48.3,155.39999999999998,sheltered,terrain_valley,False,-10.29,KEEP
CSTC1,camp_2018,diablo_offshore,open,139.0,4.43,142.6,88.0,54.599999999999994,intermediate,open_r139s4_upslope,False,1.1,KEEP
CSVC1,thomas_2017,santa_ana,open,306.0,0.72,51.0,79.3,28.299999999999997,intermediate,open_r306s1_upslope,False,3.08,KEEP
CSVC1,woolsey_2018,santa_ana,open,306.0,0.72,51.0,80.2,29.200000000000003,intermediate,open_r306s1_upslope,False,3.39,KEEP
CTPC2,marshall_2021,chinook_frontrange,exposed_ridge,313.2,3.33,21.0,269.4,111.60000000000002,sheltered,exposed_ridge_r313s3_lee_cold_pool,True,-3.59,KEEP
CUUC1,thomas_2017,santa_ana,exposed_ridge,107.9,3.35,164.2,81.0,83.19999999999999,intermediate,exposed_ridge_r108s3_upslope,True,2.53,KEEP
D6452,labor_day_or2020,downslope_oregon,open,102.4,5.3,142.1,58.5,83.6,intermediate,open_r102s5_upslope,True,-14.47,KEEP
D7303,labor_day_or2020,downslope_oregon,exposed_ridge,255.9,13.24,110.2,30.4,79.80000000000001,coupled,exposed_ridge_r256s13_upslope,False,2.53,KEEP
DEOI4,iowa_derecho2020,convective_outflow,open,10.8,0.67,250.0,272.4,22.399999999999977,sheltered,open_r11s1_upslope,False,5.52,KEEP
DLVC1,thomas_2017,santa_ana,open,242.1,5.46,70.5,67.0,3.5,intermediate,open_r242s5_upslope,False,8.09,KEEP
DLVC1,woolsey_2018,santa_ana,open,241.7,4.79,31.5,66.5,35.0,intermediate,open_r242s5_upslope,False,-0.46,KEEP
DMTC2,marshall_2021,chinook_frontrange,exposed_ridge,405.7,18.02,356.5,286.4,70.10000000000002,coupled,exposed_ridge_r406s18_upslope,False,-0.87,KEEP
DTRO,labor_day_or2020,downslope_oregon,open,406.5,11.86,339.9,57.9,78.0,coupled,open_r406s12_upslope,False,-1.69,KEEP
E0591,missoula_jul2024,convective_outflow,open,120.8,6.45,105.2,269.2,164.0,intermediate,open_r121s6_lee,False,-17.58,KEEP
E1735,labor_day_or2020,downslope_oregon,open,24.0,0.43,,30.1,,sheltered,open_r24s0_aspect_unknown,False,3.51,KEEP
E3608,boulder_chin2021,chinook_frontrange,exposed_ridge,23.2,0.87,83.3,336.5,106.80000000000001,sheltered,exposed_ridge_r23s1_lee_cold_pool,True,-11.58,KEEP
E5447,labor_day_or2020,downslope_oregon,open,77.5,1.29,314.1,30.9,76.79999999999995,intermediate,open_r78s1_upslope,False,0.92,KEEP
E6155,boulder_chin2021,chinook_frontrange,exposed_ridge,59.9,0.92,340.7,338.7,2.0,sheltered,exposed_ridge_r60s1_upslope_cold_pool,True,16.8,KEEP
