event_id,stid,station_name,lat,lon,state,qc_flag,qc_reason,obs_sus_mph,obs_gust_mph,obs_dir_deg,peak_dt_utc,peak_hour_utc,hrrr_10m_mph,hrrr_10m_dir,speed_err,speed_ratio,dir_err,arrival_err,elev_m,slope,aspect,relief_1km,terrain_class,terrain_class_source,dem_verified,elev_vs_inversion,bc_dir,bc_speed,bc_level,lapse_stability,mslp_grad,wn_minus_hrrr_speed,wn_minus_hrrr_dir,hrrr_version,hrrr_era,synoptic_regime,spatial_cluster_id,repr_error_flag,hrrr_coupling_frac,dem_elev_m,elev_residual_m,elev_qc_dem
boulder_chin2021,1762P,JENSA,39.98943,-105.25147,CO,DROP_NO_WIND_DATA,ALL_SPD_NULL | ALL_GUST_NULL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1645.0,NEEDS_DEM,NEEDS_DEM,NEEDS_DEM,exposed_ridge,elev_heuristic,no,NEEDS_INVERSION,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C01,NEEDS_DEM,,,,NEEDS_DEM
boulder_chin2021,1840P,Table Mesa Court,39.98123,-105.25997,CO,DROP_NO_WIND_DATA,ALL_SPD_NULL | ALL_GUST_NULL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1692.9,NEEDS_DEM,NEEDS_DEM,NEEDS_DEM,exposed_ridge,elev_heuristic,no,NEEDS_INVERSION,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C01,NEEDS_DEM,,,,NEEDS_DEM
boulder_chin2021,3724P,Spanish Hills,39.97039,-105.18373,CO,DROP_NO_WIND_DATA,ALL_SPD_NULL | ALL_GUST_NULL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1726.1,NEEDS_DEM,NEEDS_DEM,NEEDS_DEM,exposed_ridge,elev_heuristic,no,NEEDS_INVERSION,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C02,NEEDS_DEM,,,,NEEDS_DEM
boulder_chin2021,A4401,Boulder - CU - 2102 Athens St.,40.0128,-105.2667,CO,DROP_NO_WIND_DATA,ALL_SPD_NULL | ALL_GUST_NULL | GAP>4h,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1622.1,NEEDS_DEM,NEEDS_DEM,NEEDS_DEM,exposed_ridge,elev_heuristic,no,NEEDS_INVERSION,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C01,NEEDS_DEM,,,,NEEDS_DEM
boulder_chin2021,ATC01,ATOC - Univ. Colorado Campus,40.0078,-105.2683,CO,KEEP,,21.0,36.0,290.7,2021-01-13T13:25:00Z,2021-01-13T13:00Z,24.5,262.4,3.5,1.167,-28.3,NEEDS_HRRR_TS,1659.9,5.12,195.8,86.4,open,dem_verified,yes,NEEDS_INVERSION,332.3,28.18,700,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C01,89.04,0.8694,1642.6,-17.3,OK
boulder_chin2021,BELC2,SOUTH BOULDER CREEK NEAR ELDORADO SPRINGS 2W (BOCEL2CO),39.93278,-105.30528,CO,DROP_NO_WIND_DATA,ALL_SPD_NULL | ALL_GUST_NULL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1910.8,NEEDS_DEM,NEEDS_DEM,NEEDS_DEM,canyon_gap,name_heuristic,no,NEEDS_INVERSION,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C03,NEEDS_DEM,,,,NEEDS_DEM
boulder_chin2021,BMTC2,Blue Mountain Precipitation,39.87,-105.2972,CO,KEEP,,8.0,8.0,206.3,2021-01-15T05:44:00Z,2021-01-15T05:00Z,1.47,161.8,-6.53,0.184,-44.5,NEEDS_HRRR_TS,2439.3,20.56,320.0,432.6,exposed_ridge,dem_verified,yes,NEEDS_INVERSION,322.9,27.25,700,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C04,159.27,0.0539,2451.0,11.7,OK
boulder_chin2021,BPKC2,Bear Peak Precipitation-BO,39.97111,-105.3086,CO,DROP_NO_WIND_DATA,ALL_SPD_NULL | ALL_GUST_NULL | GAP>12h,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2272.0,NEEDS_DEM,NEEDS_DEM,NEEDS_DEM,exposed_ridge,name_heuristic,no,NEEDS_INVERSION,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C03,NEEDS_DEM,,,,NEEDS_DEM
boulder_chin2021,C7944,CW7944 Boulder,39.96946,-105.25738,CO,KEEP,,12.0,MISSING,293.2,2021-01-13T12:47:00Z,2021-01-13T12:00Z,36.14,270.3,24.14,3.012,-22.9,NEEDS_HRRR_TS,5712.0,14.58,184.4,153.9,open,dem_flag,flag,NEEDS_INVERSION,331.7,27.56,700,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C01,122.63,1.3113,1737.7,-3974.3,FLAG_LARGE_RESIDUAL
boulder_chin2021,CCNC2,COAL CREEK NEAR PLAINVIEW 1S (COCREPCO),39.87778,-105.27722,CO,DROP_NO_WIND_DATA,ALL_SPD_NULL | ALL_GUST_NULL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1991.0,NEEDS_DEM,NEEDS_DEM,NEEDS_DEM,canyon_gap,name_heuristic,no,NEEDS_INVERSION,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C04,NEEDS_DEM,,,,NEEDS_DEM
boulder_chin2021,CO109,093S00755RWS1SEC at Coal Creek Canyon Rd/CO-72,39.86567,-105.2406,CO,KEEP,,51.0,61.0,252.8,2021-01-13T14:50:00Z,2021-01-13T14:00Z,39.05,286.0,-11.95,0.766,33.2,NEEDS_HRRR_TS,1905.0,3.61,359.7,98.7,open,dem_verified,yes,NEEDS_INVERSION,329.2,24.99,700,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C04,75.3,1.5626,1902.2,-2.8,OK
boulder_chin2021,CO167,036E04190RWS1RHS - 1.7 mi W of McCaslin Blvd,39.96618,-105.18801,CO,DROP_NO_WIND_DATA,ALL_SPD_NULL | ALL_GUST_NULL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1733.1,NEEDS_DEM,NEEDS_DEM,NEEDS_DEM,exposed_ridge,elev_heuristic,no,NEEDS_INVERSION,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C02,NEEDS_DEM,,,,NEEDS_DEM
boulder_chin2021,COCOCOBO14,Boulder 1.6 S,39.9922,-105.2647,CO,DROP_NO_WIND_DATA,ALL_SPD_NULL | ALL_GUST_NULL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1673.0,NEEDS_DEM,NEEDS_DEM,NEEDS_DEM,exposed_ridge,elev_heuristic,no,NEEDS_INVERSION,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C01,NEEDS_DEM,,,,NEEDS_DEM
boulder_chin2021,COCOCOBO165,Boulder 1.8 ESE,40.0124,-105.2307,CO,DROP_NO_WIND_DATA,ALL_SPD_NULL | ALL_GUST_NULL | GAP>23h,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1605.1,NEEDS_DEM,NEEDS_DEM,NEEDS_DEM,exposed_ridge,elev_heuristic,no,NEEDS_INVERSION,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_BC,NEEDS_WN,NEEDS_WN,v3,v3_era,chinook_frontrange,boul-C01,NEEDS_DEM,,,,NEEDS_DEM
