event_id,synoptic_regime,bc_level,peak_dt_utc,domain_lat,domain_lon,n_stations,w700_speed_mph,w700_dir_deg,w700_dir_sin,w700_dir_cos,mslp_grad_pa100km,hrrr_coupling_frac_mean,notes
boulder_chin2021,chinook_frontrange,700,2021-01-13T14:00:00,39.9261,-105.2397,9,26.39,330.6,-0.49026,0.87158,549.744,0.7666,
camp_2018,diablo_offshore,850,2018-11-08T17:00:00,39.8768,-121.3997,12,16.27,78.7,0.98059,0.19605,416.969,0.4784,
iowa_derecho2020,convective_outflow,850,2020-08-10T14:00:00,41.4775,-95.9685,2,27.20,251.9,-0.95044,-0.31091,182.465,0.8640,
kincade_ign_2019,diablo_offshore_NW,850,2019-10-24T08:00:00,38.8585,-122.7621,10,13.37,51.5,0.78271,0.62239,290.951,0.6549,
kincade_run_2019,diablo_offshore_NE,850,2019-10-27T10:00:00,38.9028,-122.7637,12,33.07,336.5,-0.39881,0.91703,453.580,1.1184,
labor_day_or2020,downslope_oregon,700,2020-09-08T07:00:00,43.7436,-122.5419,35,27.46,49.7,0.76245,0.64705,436.222,0.6228,
marshall_2021,chinook_frontrange,700,2021-12-30T20:00:00,39.7184,-105.3339,8,63.95,283.1,-0.97394,0.22681,430.450,0.5288,
missoula_dec2025,continental_downslope,700,2025-12-17T17:00:00,47.1029,-114.0650,8,75.21,274.2,-0.99737,0.07250,642.294,0.2745,
missoula_jul2024,convective_outflow,850,2024-07-25T03:00:00,46.8954,-114.0160,18,17.16,287.3,-0.95483,0.29716,244.544,0.5005,
thomas_2017,santa_ana,850,2017-12-05T14:00:00,34.4044,-118.8732,26,41.17,80.8,0.98722,0.15939,280.960,0.6205,
tubbs_2017,diablo_offshore,850,2017-10-09T08:00:00,38.6562,-122.5570,7,15.31,20.8,0.35570,0.93460,433.722,0.6059,
woolsey_2018,santa_ana,850,2018-11-09T04:00:00,34.2999,-118.7589,16,13.26,56.0,0.82928,0.55884,227.483,0.8974,
