datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2025-12-09T00:59:00Z,19.0,224.0,29.0,29.0,218.0
2025-12-09T01:59:00Z,21.0,221.0,37.0,37.0,229.0
2025-12-09T02:59:00Z,20.0,226.0,36.0,36.0,241.0
2025-12-09T03:59:00Z,17.0,220.0,34.01,34.01,225.0
2025-12-09T04:59:00Z,24.0,217.0,39.0,39.0,234.0
2025-12-09T05:59:00Z,19.0,223.0,42.0,42.0,220.0
2025-12-09T06:59:00Z,19.0,234.0,34.99,34.99,245.0
2025-12-09T07:59:00Z,16.0,239.0,37.0,37.0,242.0
2025-12-09T08:59:00Z,0.0,248.0,34.01,34.01,245.0
2025-12-09T09:59:00Z,0.0,262.0,0.0,0.0,253.0
2025-12-09T10:59:00Z,0.0,262.0,0.0,0.0,265.0
2025-12-09T11:59:00Z,0.0,272.0,0.0,0.0,277.0
2025-12-09T12:59:00Z,0.0,279.0,0.0,0.0,268.0
2025-12-09T13:59:00Z,0.0,266.0,0.0,0.0,272.0
2025-12-09T14:59:00Z,0.0,282.0,0.0,0.0,266.0
2025-12-09T15:59:00Z,0.0,280.0,0.0,0.0,293.0
2025-12-09T16:59:00Z,0.0,291.0,0.0,0.0,280.0
2025-12-09T17:59:00Z,0.0,282.0,0.0,0.0,286.0
2025-12-09T18:59:00Z,0.0,284.0,0.0,0.0,280.0
2025-12-09T19:59:00Z,0.0,283.0,0.0,0.0,283.0
2025-12-09T20:59:00Z,0.0,283.0,0.0,0.0,283.0
2025-12-09T21:59:00Z,0.0,289.0,0.0,0.0,283.0
2025-12-09T22:59:00Z,0.0,248.0,0.0,0.0,281.0
2025-12-09T23:59:00Z,0.0,248.0,0.0,0.0,248.0
2025-12-10T00:59:00Z,0.0,248.0,0.0,0.0,249.0
2025-12-10T01:59:00Z,0.0,248.0,0.0,0.0,249.0
2025-12-10T02:59:00Z,0.0,248.0,0.0,0.0,249.0
2025-12-10T03:59:00Z,0.0,248.0,0.0,0.0,248.0
2025-12-10T04:59:00Z,0.0,248.0,0.0,0.0,249.0
2025-12-10T05:59:00Z,0.0,248.0,0.0,0.0,249.0
2025-12-10T06:59:00Z,0.0,248.0,0.0,0.0,249.0
2025-12-10T07:59:00Z,0.0,248.0,0.0,0.0,249.0
2025-12-10T08:59:00Z,0.0,225.0,0.0,0.0,248.0
2025-12-10T09:59:00Z,0.0,224.0,0.0,0.0,225.0
2025-12-10T10:59:00Z,0.0,266.0,0.0,0.0,224.0
2025-12-10T11:59:00Z,0.0,264.0,0.0,0.0,265.0
2025-12-10T12:59:00Z,0.0,270.0,0.0,0.0,258.0
2025-12-10T13:59:00Z,0.0,273.0,0.0,0.0,264.0
