datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph
2017-12-04T00:24:00Z,1.01,147.0,12.01
2017-12-04T01:24:00Z,3.0,165.0,4.0
2017-12-04T02:24:00Z,1.01,143.0,4.99
2017-12-04T03:24:00Z,0.0,,4.0
2017-12-04T04:24:00Z,0.0,,3.0
2017-12-04T05:24:00Z,0.0,,2.01
2017-12-04T06:24:00Z,0.0,,2.01
2017-12-04T07:24:00Z,0.0,,2.01
2017-12-04T08:24:00Z,0.0,,3.0
2017-12-04T09:24:00Z,0.0,,2.01
2017-12-04T10:24:00Z,0.0,,2.01
2017-12-04T11:24:00Z,0.0,,2.01
2017-12-04T12:24:00Z,0.0,,3.0
2017-12-04T13:24:00Z,1.01,318.0,2.01
2017-12-04T14:24:00Z,0.0,,2.01
2017-12-04T15:24:00Z,0.0,,5.99
2017-12-04T16:24:00Z,0.0,,4.0
2017-12-04T17:24:00Z,7.0,132.0,11.01
2017-12-04T18:24:00Z,3.0,22.0,11.01
2017-12-04T19:24:00Z,8.01,147.0,14.99
2017-12-04T20:24:00Z,7.0,128.0,18.99
2017-12-04T21:24:00Z,4.99,183.0,20.0
2017-12-04T22:24:00Z,4.0,54.0,17.0
2017-12-04T23:24:00Z,4.0,232.0,15.99
2017-12-05T00:24:00Z,4.99,149.0,14.99
2017-12-05T01:24:00Z,8.01,151.0,17.0
2017-12-05T02:24:00Z,8.01,143.0,18.01
2017-12-05T03:24:00Z,4.0,273.0,18.99
2017-12-05T04:24:00Z,4.0,319.0,17.0
2017-12-05T05:24:00Z,4.0,197.0,18.01
2017-12-05T06:24:00Z,8.01,354.0,18.99
2017-12-05T07:24:00Z,5.99,352.0,24.99
2017-12-05T08:24:00Z,7.0,6.0,18.01
2017-12-05T09:24:00Z,7.0,18.0,27.0
2017-12-05T10:24:00Z,13.0,14.0,31.0
2017-12-05T11:24:00Z,14.99,12.0,34.0
2017-12-05T12:24:00Z,14.99,11.0,30.0
2017-12-05T13:24:00Z,13.0,18.0,34.0
2017-12-05T14:24:00Z,7.0,129.0,18.01
2017-12-05T15:24:00Z,4.0,140.0,17.0
2017-12-05T16:24:00Z,3.0,323.0,12.01
2017-12-05T17:24:00Z,3.0,317.0,15.99
2017-12-05T18:24:00Z,4.99,184.0,18.01
2017-12-05T19:24:00Z,5.99,282.0,21.0
2017-12-05T20:24:00Z,5.99,143.0,21.0
2017-12-05T21:24:00Z,8.01,360.0,22.01
2017-12-05T22:24:00Z,5.99,179.0,22.01
2017-12-05T23:24:00Z,8.01,123.0,23.0
2017-12-06T00:24:00Z,5.99,145.0,22.01
2017-12-06T01:24:00Z,7.0,124.0,14.0
2017-12-06T02:24:00Z,2.01,72.0,18.99
2017-12-06T03:24:00Z,2.01,360.0,11.01
2017-12-06T04:24:00Z,4.0,170.0,7.0
2017-12-06T05:24:00Z,2.01,127.0,7.0
