datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2017-12-04T00:24:00Z,1.01,147.0,12.01,12.01,249.0
2017-12-04T01:24:00Z,3.0,165.0,4.0,4.0,172.0
2017-12-04T02:24:00Z,1.01,143.0,4.99,4.99,171.0
2017-12-04T03:24:00Z,0.0,,4.0,4.0,171.0
2017-12-04T04:24:00Z,0.0,,3.0,3.0,165.0
2017-12-04T05:24:00Z,0.0,,2.01,2.01,132.0
2017-12-04T06:24:00Z,0.0,,2.01,2.01,164.0
2017-12-04T07:24:00Z,0.0,,2.01,2.01,171.0
2017-12-04T08:24:00Z,0.0,,3.0,3.0,351.0
2017-12-04T09:24:00Z,0.0,,2.01,2.01,338.0
2017-12-04T10:24:00Z,0.0,,2.01,2.01,181.0
2017-12-04T11:24:00Z,0.0,,2.01,2.01,341.0
2017-12-04T12:24:00Z,0.0,,3.0,3.0,173.0
2017-12-04T13:24:00Z,1.01,318.0,2.01,2.01,344.0
2017-12-04T14:24:00Z,0.0,,2.01,2.01,26.0
2017-12-04T15:24:00Z,0.0,,5.99,5.99,142.0
2017-12-04T16:24:00Z,0.0,,4.0,4.0,354.0
2017-12-04T17:24:00Z,7.0,132.0,11.01,11.01,129.0
2017-12-04T18:24:00Z,3.0,22.0,11.01,11.01,12.0
2017-12-04T19:24:00Z,8.01,147.0,14.99,14.99,137.0
2017-12-04T20:24:00Z,7.0,128.0,18.99,18.99,150.0
2017-12-04T21:24:00Z,4.99,183.0,20.0,20.0,137.0
2017-12-04T22:24:00Z,4.0,54.0,17.0,17.0,130.0
2017-12-04T23:24:00Z,4.0,232.0,15.99,15.99,351.0
2017-12-05T00:24:00Z,4.99,149.0,14.99,14.99,28.0
2017-12-05T01:24:00Z,8.01,151.0,17.0,17.0,143.0
2017-12-05T02:24:00Z,8.01,143.0,18.01,18.01,148.0
2017-12-05T03:24:00Z,4.0,273.0,18.99,18.99,142.0
2017-12-05T04:24:00Z,4.0,319.0,17.0,17.0,6.0
2017-12-05T05:24:00Z,4.0,197.0,18.01,18.01,139.0
2017-12-05T06:24:00Z,8.01,354.0,18.99,18.99,13.0
2017-12-05T07:24:00Z,5.99,352.0,24.99,24.99,0.0
2017-12-05T08:24:00Z,7.0,6.0,18.01,18.01,354.0
2017-12-05T09:24:00Z,7.0,18.0,27.0,27.0,6.0
2017-12-05T10:24:00Z,13.0,14.0,31.0,31.0,355.0
2017-12-05T11:24:00Z,14.99,12.0,34.0,34.0,356.0
2017-12-05T12:24:00Z,14.99,11.0,30.0,30.0,18.0
2017-12-05T13:24:00Z,13.0,18.0,34.0,34.0,4.0
2017-12-05T14:24:00Z,7.0,129.0,18.01,18.01,25.0
2017-12-05T15:24:00Z,4.0,140.0,17.0,17.0,103.0
2017-12-05T16:24:00Z,3.0,323.0,12.01,12.01,144.0
2017-12-05T17:24:00Z,3.0,317.0,15.99,15.99,352.0
2017-12-05T18:24:00Z,4.99,184.0,18.01,18.01,9.0
2017-12-05T19:24:00Z,5.99,282.0,21.0,21.0,130.0
2017-12-05T20:24:00Z,5.99,143.0,21.0,21.0,134.0
2017-12-05T21:24:00Z,8.01,360.0,22.01,22.01,359.0
2017-12-05T22:24:00Z,5.99,179.0,22.01,22.01,1.0
2017-12-05T23:24:00Z,8.01,123.0,23.0,23.0,136.0
2017-12-06T00:24:00Z,5.99,145.0,22.01,22.01,135.0
2017-12-06T01:24:00Z,7.0,124.0,14.0,14.0,165.0
2017-12-06T02:24:00Z,2.01,72.0,18.99,18.99,135.0
2017-12-06T03:24:00Z,2.01,360.0,11.01,11.01,14.0
2017-12-06T04:24:00Z,4.0,170.0,7.0,7.0,141.0
2017-12-06T05:24:00Z,2.01,127.0,7.0,7.0,172.0
2017-12-06T06:24:00Z,0.0,,4.99,4.99,127.0
2017-12-06T07:24:00Z,0.0,,4.0,4.0,219.0
2017-12-06T08:24:00Z,1.01,150.0,4.0,4.0,352.0
2017-12-06T09:24:00Z,2.01,348.0,4.0,4.0,344.0
2017-12-06T10:24:00Z,2.01,257.0,5.99,5.99,209.0
2017-12-06T11:24:00Z,7.0,131.0,17.0,17.0,140.0
2017-12-06T12:24:00Z,2.01,251.0,17.0,17.0,112.0
2017-12-06T13:24:00Z,4.0,184.0,12.01,12.01,141.0
2017-12-06T14:24:00Z,4.0,265.0,15.99,15.99,158.0
2017-12-06T15:24:00Z,4.0,204.0,17.0,17.0,354.0
2017-12-06T16:24:00Z,2.01,232.0,12.01,12.01,166.0
2017-12-06T17:24:00Z,7.0,12.0,18.99,18.99,12.0
2017-12-06T18:24:00Z,4.0,25.0,17.0,17.0,24.0
2017-12-06T19:24:00Z,4.99,263.0,14.99,14.99,122.0
2017-12-06T20:24:00Z,7.0,147.0,18.01,18.01,39.0
2017-12-06T21:24:00Z,8.01,141.0,18.01,18.01,144.0
2017-12-06T22:24:00Z,7.0,141.0,14.99,14.99,125.0
2017-12-06T23:24:00Z,3.0,168.0,14.0,14.0,128.0
