datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph
2018-11-08T00:24:00Z,7.0,328.0,14.0
2018-11-08T01:24:00Z,5.99,315.0,14.0
2018-11-08T02:24:00Z,5.99,12.0,11.01
2018-11-08T03:24:00Z,2.01,185.0,13.0
2018-11-08T04:24:00Z,1.01,230.0,5.99
2018-11-08T05:24:00Z,3.0,90.0,7.0
2018-11-08T06:24:00Z,1.01,221.0,4.99
2018-11-08T07:24:00Z,1.01,22.0,7.0
2018-11-08T08:24:00Z,0.0,,5.99
2018-11-08T09:24:00Z,1.01,173.0,7.0
2018-11-08T10:24:00Z,1.01,4.0,7.0
2018-11-08T11:24:00Z,1.01,148.0,4.0
2018-11-08T12:24:00Z,0.0,,4.0
2018-11-08T13:24:00Z,1.01,168.0,4.0
2018-11-08T14:24:00Z,1.01,302.0,3.0
2018-11-08T15:24:00Z,2.01,334.0,5.99
2018-11-08T16:24:00Z,1.01,263.0,4.0
2018-11-08T17:24:00Z,5.99,119.0,17.0
2018-11-08T18:24:00Z,4.99,166.0,15.99
2018-11-08T19:24:00Z,8.99,155.0,18.99
2018-11-08T20:24:00Z,5.99,201.0,17.0
2018-11-08T21:24:00Z,8.99,149.0,21.0
2018-11-08T22:24:00Z,10.0,127.0,24.99
2018-11-08T23:24:00Z,11.01,121.0,22.01
2018-11-09T00:24:00Z,10.0,139.0,24.99
2018-11-09T01:24:00Z,8.99,150.0,24.0
2018-11-09T02:24:00Z,5.99,152.0,14.0
2018-11-09T03:24:00Z,10.0,143.0,15.99
2018-11-09T04:24:00Z,3.0,154.0,20.0
2018-11-09T05:24:00Z,8.99,106.0,15.99
2018-11-09T06:24:00Z,7.0,117.0,17.0
2018-11-09T07:24:00Z,8.01,110.0,18.01
2018-11-09T08:24:00Z,7.0,134.0,17.0
2018-11-09T09:24:00Z,4.0,97.0,14.99
2018-11-09T10:24:00Z,4.99,124.0,14.0
2018-11-09T11:24:00Z,3.0,352.0,15.99
2018-11-09T12:24:00Z,4.0,43.0,10.0
2018-11-09T13:24:00Z,4.0,126.0,8.99
2018-11-09T14:24:00Z,8.01,138.0,17.0
2018-11-09T15:24:00Z,4.99,128.0,18.99
2018-11-09T16:24:00Z,4.99,129.0,18.99
2018-11-09T17:24:00Z,7.0,141.0,18.99
2018-11-09T18:24:00Z,7.0,175.0,20.0
2018-11-09T19:24:00Z,4.0,240.0,17.0
2018-11-09T20:24:00Z,7.0,12.0,20.0
2018-11-09T21:24:00Z,5.99,45.0,20.0
2018-11-09T22:24:00Z,4.99,143.0,17.0
2018-11-09T23:24:00Z,4.0,82.0,18.99
2018-11-10T00:24:00Z,8.99,123.0,15.99
2018-11-10T01:24:00Z,4.0,119.0,18.99
