datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2017-12-04T00:22:00Z,1.01,25.0,11.01,11.01,12.0
2017-12-04T01:22:00Z,0.0,,4.99,4.99,202.0
2017-12-04T02:22:00Z,1.01,149.0,4.0,4.0,150.0
2017-12-04T03:22:00Z,0.0,,4.99,4.99,153.0
2017-12-04T04:22:00Z,1.01,166.0,4.99,4.99,205.0
2017-12-04T05:22:00Z,0.0,,3.0,3.0,217.0
2017-12-04T06:22:00Z,1.01,14.0,3.0,3.0,37.0
2017-12-04T07:22:00Z,0.0,,3.0,3.0,206.0
2017-12-04T08:22:00Z,0.0,,2.01,2.01,154.0
2017-12-04T09:22:00Z,0.0,,1.01,1.01,283.0
2017-12-04T10:22:00Z,1.01,150.0,3.0,3.0,105.0
2017-12-04T11:22:00Z,0.0,,4.0,4.0,86.0
2017-12-04T12:22:00Z,1.01,24.0,5.99,5.99,65.0
2017-12-04T13:22:00Z,5.99,41.0,17.0,17.0,39.0
2017-12-04T14:22:00Z,5.99,49.0,15.99,15.99,56.0
2017-12-04T15:22:00Z,8.01,55.0,15.99,15.99,63.0
2017-12-04T16:22:00Z,12.01,43.0,24.0,24.0,31.0
2017-12-04T17:22:00Z,13.0,24.0,21.0,21.0,10.0
2017-12-04T18:22:00Z,11.01,25.0,24.99,24.99,46.0
2017-12-04T19:22:00Z,11.01,31.0,23.0,23.0,42.0
2017-12-04T20:22:00Z,13.0,30.0,25.99,25.99,22.0
2017-12-04T21:22:00Z,11.01,34.0,24.0,24.0,35.0
2017-12-04T22:22:00Z,12.01,25.0,24.0,24.0,20.0
2017-12-04T23:22:00Z,13.0,47.0,27.0,27.0,55.0
2017-12-05T00:22:00Z,10.0,49.0,24.0,24.0,48.0
2017-12-05T01:22:00Z,12.01,33.0,24.99,24.99,34.0
2017-12-05T02:22:00Z,13.0,30.0,28.01,28.01,22.0
2017-12-05T03:22:00Z,12.01,45.0,32.01,32.01,39.0
2017-12-05T04:22:00Z,14.0,36.0,28.99,28.99,16.0
2017-12-05T05:22:00Z,14.0,33.0,31.0,31.0,30.0
2017-12-05T06:22:00Z,13.0,43.0,28.01,28.01,40.0
2017-12-05T07:22:00Z,12.01,42.0,31.0,31.0,46.0
2017-12-05T08:22:00Z,12.01,41.0,27.0,27.0,42.0
2017-12-05T09:22:00Z,11.01,34.0,28.99,28.99,52.0
2017-12-05T10:22:00Z,11.01,54.0,27.0,27.0,52.0
2017-12-05T11:22:00Z,8.01,19.0,23.0,23.0,50.0
2017-12-05T12:22:00Z,5.99,26.0,15.99,15.99,38.0
2017-12-05T13:22:00Z,3.0,66.0,11.01,11.01,27.0
2017-12-05T14:22:00Z,8.01,21.0,15.99,15.99,9.0
2017-12-05T15:22:00Z,8.01,25.0,18.99,18.99,353.0
2017-12-05T16:22:00Z,12.01,34.0,24.0,24.0,38.0
2017-12-05T17:22:00Z,10.0,40.0,23.0,23.0,40.0
2017-12-05T18:22:00Z,12.01,24.0,27.0,27.0,49.0
2017-12-05T19:22:00Z,14.0,32.0,24.0,24.0,24.0
2017-12-05T20:22:00Z,12.01,29.0,24.0,24.0,16.0
2017-12-05T21:22:00Z,13.0,37.0,28.99,28.99,42.0
2017-12-05T22:22:00Z,14.0,43.0,30.0,30.0,41.0
2017-12-05T23:22:00Z,14.0,37.0,31.0,31.0,34.0
2017-12-06T00:22:00Z,12.01,22.0,28.99,28.99,48.0
2017-12-06T01:22:00Z,11.01,26.0,25.99,25.99,30.0
2017-12-06T02:22:00Z,8.99,26.0,21.0,21.0,11.0
2017-12-06T03:22:00Z,11.01,21.0,18.99,18.99,12.0
2017-12-06T04:22:00Z,8.01,21.0,18.01,18.01,17.0
2017-12-06T05:22:00Z,8.99,19.0,21.0,21.0,28.0
2017-12-06T06:22:00Z,8.99,18.0,20.0,20.0,13.0
2017-12-06T07:22:00Z,10.0,19.0,21.0,21.0,16.0
2017-12-06T08:22:00Z,7.0,6.0,20.0,20.0,17.0
2017-12-06T09:22:00Z,0.0,,12.01,12.01,38.0
2017-12-06T10:22:00Z,0.0,,3.0,3.0,62.0
2017-12-06T11:22:00Z,0.0,,2.01,2.01,234.0
2017-12-06T12:22:00Z,0.0,,3.0,3.0,102.0
2017-12-06T13:22:00Z,0.0,,3.0,3.0,75.0
2017-12-06T14:22:00Z,0.0,,3.0,3.0,221.0
2017-12-06T15:22:00Z,0.0,,2.01,2.01,160.0
2017-12-06T16:22:00Z,8.99,26.0,14.99,14.99,49.0
2017-12-06T17:22:00Z,10.0,25.0,18.01,18.01,41.0
2017-12-06T18:22:00Z,11.01,31.0,21.0,21.0,47.0
2017-12-06T19:22:00Z,11.01,34.0,22.01,22.01,13.0
2017-12-06T20:22:00Z,10.0,29.0,21.0,21.0,18.0
2017-12-06T21:22:00Z,7.0,21.0,18.01,18.01,11.0
2017-12-06T22:22:00Z,5.99,14.0,14.0,14.0,352.0
2017-12-06T23:22:00Z,5.99,3.0,17.0,17.0,7.0
