datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2019-10-23T00:56:00Z,2.01,190.0,13.0,13.0,220.0
2019-10-23T01:56:00Z,0.0,,4.99,4.99,186.0
2019-10-23T02:56:00Z,4.0,52.0,7.0,7.0,90.0
2019-10-23T03:56:00Z,4.0,360.0,10.0,10.0,90.0
2019-10-23T04:56:00Z,2.01,137.0,8.01,8.01,350.0
2019-10-23T05:56:00Z,1.01,351.0,4.99,4.99,151.0
2019-10-23T06:56:00Z,2.01,64.0,10.0,10.0,60.0
2019-10-23T07:56:00Z,4.99,329.0,14.99,14.99,43.0
2019-10-23T08:56:00Z,1.01,306.0,11.01,11.01,35.0
2019-10-23T09:56:00Z,3.0,59.0,10.0,10.0,35.0
2019-10-23T10:56:00Z,3.0,339.0,11.01,11.01,42.0
2019-10-23T11:56:00Z,5.99,352.0,8.99,8.99,335.0
2019-10-23T12:56:00Z,8.01,14.0,11.01,11.01,17.0
2019-10-23T13:56:00Z,1.01,314.0,13.0,13.0,13.0
2019-10-23T14:56:00Z,5.99,42.0,14.0,14.0,46.0
2019-10-23T15:56:00Z,8.01,7.0,11.01,11.01,43.0
2019-10-23T16:56:00Z,4.99,55.0,13.0,13.0,115.0
2019-10-23T17:56:00Z,3.0,59.0,22.01,22.01,11.0
2019-10-23T18:56:00Z,7.0,35.0,21.0,21.0,49.0
2019-10-23T19:56:00Z,18.99,29.0,30.0,30.0,47.0
2019-10-23T20:56:00Z,15.99,28.0,32.99,32.99,50.0
2019-10-23T21:56:00Z,15.99,24.0,38.99,38.99,12.0
2019-10-23T22:56:00Z,14.0,30.0,30.0,30.0,50.0
2019-10-23T23:56:00Z,15.99,30.0,28.99,28.99,33.0
2019-10-24T00:56:00Z,11.01,31.0,25.99,25.99,57.0
2019-10-24T01:56:00Z,20.0,26.0,35.99,35.99,45.0
2019-10-24T02:56:00Z,14.99,7.0,34.0,34.0,20.0
2019-10-24T03:56:00Z,10.0,47.0,24.99,24.99,355.0
2019-10-24T04:56:00Z,7.0,355.0,28.01,28.01,13.0
2019-10-24T05:56:00Z,8.99,17.0,32.01,32.01,354.0
2019-10-24T06:56:00Z,8.99,322.0,32.01,32.01,43.0
2019-10-24T07:56:00Z,10.0,0.0,37.0,37.0,354.0
2019-10-24T08:56:00Z,21.0,38.0,40.0,40.0,42.0
2019-10-24T09:56:00Z,28.99,38.0,44.98,44.98,24.0
2019-10-24T10:56:00Z,27.0,27.0,52.01,52.01,37.0
2019-10-24T11:56:00Z,31.0,27.0,55.01,55.01,42.0
2019-10-24T12:56:00Z,31.0,33.0,50.0,50.0,50.0
2019-10-24T13:56:00Z,22.01,41.0,44.0,44.0,47.0
2019-10-24T14:56:00Z,22.01,43.0,32.01,32.01,47.0
2019-10-24T15:56:00Z,18.99,48.0,32.01,32.01,50.0
2019-10-24T16:56:00Z,17.0,54.0,30.0,30.0,55.0
2019-10-24T17:56:00Z,13.0,60.0,30.0,30.0,51.0
2019-10-24T18:56:00Z,10.0,90.0,17.0,17.0,117.0
2019-10-24T19:56:00Z,8.01,114.0,18.01,18.01,87.0
2019-10-24T20:56:00Z,8.01,152.0,14.99,14.99,93.0
2019-10-24T21:56:00Z,10.0,161.0,14.99,14.99,167.0
2019-10-24T22:56:00Z,7.0,145.0,14.0,14.0,164.0
2019-10-24T23:56:00Z,5.99,141.0,11.01,11.01,145.0
2019-10-25T00:56:00Z,4.99,94.0,10.0,10.0,149.0
2019-10-25T01:56:00Z,4.0,52.0,8.01,8.01,89.0
2019-10-25T02:56:00Z,5.99,356.0,8.01,8.01,353.0
2019-10-25T03:56:00Z,4.0,0.0,8.01,8.01,348.0
2019-10-25T04:56:00Z,2.01,118.0,4.99,4.99,130.0
2019-10-25T05:56:00Z,2.01,118.0,5.99,5.99,133.0
2019-10-25T06:56:00Z,1.01,225.0,4.99,4.99,17.0
2019-10-25T07:56:00Z,0.0,,2.01,2.01,156.0
2019-10-25T08:56:00Z,4.0,1.0,4.99,4.99,2.0
2019-10-25T09:56:00Z,4.99,5.0,5.99,5.99,3.0
2019-10-25T10:56:00Z,1.01,353.0,5.99,5.99,1.0
2019-10-25T11:56:00Z,3.0,22.0,4.99,4.99,13.0
2019-10-25T12:56:00Z,3.0,8.0,5.99,5.99,15.0
2019-10-25T13:56:00Z,3.0,4.0,8.01,8.01,11.0
2019-10-25T14:56:00Z,0.0,,4.99,4.99,9.0
2019-10-25T15:56:00Z,3.0,175.0,4.0,4.0,185.0
2019-10-25T16:56:00Z,1.01,210.0,4.0,4.0,190.0
2019-10-25T17:56:00Z,3.0,186.0,7.0,7.0,172.0
2019-10-25T18:56:00Z,4.0,177.0,7.0,7.0,167.0
2019-10-25T19:56:00Z,4.0,226.0,8.01,8.01,177.0
2019-10-25T20:56:00Z,4.99,232.0,8.01,8.01,214.0
2019-10-25T21:56:00Z,14.99,317.0,20.0,20.0,331.0
2019-10-25T22:56:00Z,12.01,315.0,18.99,18.99,282.0
2019-10-25T23:56:00Z,12.01,314.0,21.0,21.0,314.0
