datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2021-01-13T00:00:00Z,1.0,202.5,2.0,,
2021-01-13T00:05:00Z,1.0,202.5,3.0,,
2021-01-13T00:10:00Z,1.0,225.0,3.0,,
2021-01-13T00:15:00Z,1.0,225.0,3.0,,
2021-01-13T00:20:00Z,1.0,225.0,2.0,,
2021-01-13T00:25:00Z,1.0,225.0,2.0,,
2021-01-13T00:30:00Z,0.0,,1.0,,
2021-01-13T00:35:00Z,0.0,,0.0,,
2021-01-13T00:40:00Z,0.0,,0.0,,
2021-01-13T00:45:00Z,1.0,225.0,2.0,,
2021-01-13T00:50:00Z,0.0,,3.0,,
2021-01-13T00:55:00Z,0.0,,0.0,,
2021-01-13T01:00:00Z,0.0,,0.0,,
2021-01-13T01:05:00Z,0.0,,1.0,,
2021-01-13T01:10:00Z,0.0,,1.0,,
2021-01-13T01:15:00Z,0.0,,4.0,,
2021-01-13T01:20:00Z,1.0,225.0,3.0,,
2021-01-13T01:25:00Z,1.0,225.0,3.0,,
2021-01-13T01:30:00Z,1.0,225.0,3.0,,
2021-01-13T01:35:00Z,0.0,,2.0,,
2021-01-13T01:40:00Z,0.0,,2.0,,
2021-01-13T01:45:00Z,1.0,225.0,2.0,,
2021-01-13T01:50:00Z,1.0,225.0,2.0,,
2021-01-13T01:55:00Z,1.0,225.0,3.0,,
2021-01-13T02:00:00Z,1.0,225.0,4.0,,
2021-01-13T02:05:00Z,2.0,315.0,5.0,,
2021-01-13T02:10:00Z,2.0,292.5,4.0,,
2021-01-13T02:15:00Z,2.0,225.0,5.99,,
2021-01-13T02:20:00Z,1.0,247.5,5.99,,
2021-01-13T02:25:00Z,1.0,247.5,3.0,,
2021-01-13T02:30:00Z,1.0,247.5,3.0,,
2021-01-13T02:35:00Z,0.0,,2.0,,
2021-01-13T02:40:00Z,1.0,247.5,4.0,,
2021-01-13T02:45:00Z,1.0,270.0,3.0,,
2021-01-13T02:50:00Z,0.0,,0.0,,
2021-01-13T02:55:00Z,0.0,,3.0,,
2021-01-13T03:00:00Z,0.0,,2.0,,
2021-01-13T03:05:00Z,1.0,270.0,2.0,,
2021-01-13T03:10:00Z,0.0,,2.0,,
2021-01-13T03:15:00Z,0.0,,2.0,,
2021-01-13T03:20:00Z,0.0,,2.0,,
2021-01-13T03:25:00Z,0.0,,1.0,,
2021-01-13T03:30:00Z,0.0,,0.0,,
2021-01-13T03:35:00Z,1.0,247.5,3.0,,
2021-01-13T03:40:00Z,0.0,,2.0,,
2021-01-13T03:45:00Z,1.0,180.0,4.0,,
2021-01-13T03:50:00Z,1.0,180.0,4.0,,
2021-01-13T03:55:00Z,1.0,247.5,3.0,,
2021-01-13T04:00:00Z,3.0,247.5,9.0,,
2021-01-13T04:05:00Z,1.0,315.0,5.0,,
2021-01-13T04:10:00Z,1.0,270.0,5.99,,
2021-01-13T04:15:00Z,0.0,,4.0,,
2021-01-13T04:20:00Z,0.0,,3.0,,
2021-01-13T04:25:00Z,2.0,292.5,5.0,,
2021-01-13T04:30:00Z,2.0,292.5,5.0,,
2021-01-13T04:35:00Z,2.0,292.5,5.0,,
2021-01-13T04:40:00Z,2.0,292.5,5.99,,
2021-01-13T04:45:00Z,3.0,315.0,7.0,,
2021-01-13T04:50:00Z,3.0,315.0,8.0,,
2021-01-13T04:55:00Z,1.0,337.5,4.0,,
2021-01-13T05:00:00Z,3.0,315.0,10.0,,
2021-01-13T05:05:00Z,3.0,315.0,7.0,,
2021-01-13T05:10:00Z,1.0,270.0,4.0,,
2021-01-13T05:15:00Z,2.0,270.0,5.99,,
2021-01-13T05:20:00Z,1.0,292.5,4.0,,
2021-01-13T05:25:00Z,3.0,292.5,8.0,,
2021-01-13T05:30:00Z,2.0,270.0,5.0,,
2021-01-13T05:35:00Z,1.0,270.0,4.0,,
2021-01-13T05:40:00Z,2.0,270.0,4.0,,
2021-01-13T05:45:00Z,1.0,247.5,2.0,,
2021-01-13T05:50:00Z,1.0,247.5,3.0,,
2021-01-13T05:55:00Z,0.0,,3.0,,
2021-01-13T06:00:00Z,0.0,,4.0,,
2021-01-13T06:05:00Z,0.0,,3.0,,
2021-01-13T06:10:00Z,1.0,270.0,4.0,,
2021-01-13T06:15:00Z,1.0,315.0,4.0,,
2021-01-13T06:20:00Z,1.0,292.5,4.0,,
2021-01-13T06:25:00Z,1.0,270.0,3.0,,
2021-01-13T06:30:00Z,0.0,,3.0,,
2021-01-13T06:35:00Z,0.0,,1.0,,
2021-01-13T06:40:00Z,0.0,,0.0,,
2021-01-13T06:45:00Z,0.0,,1.0,,
2021-01-13T06:50:00Z,0.0,,0.0,,
2021-01-13T06:55:00Z,0.0,,0.0,,
2021-01-13T07:00:00Z,2.0,292.5,5.0,,
2021-01-13T07:05:00Z,1.0,292.5,4.0,,
2021-01-13T07:10:00Z,0.0,,0.0,,
2021-01-13T07:15:00Z,2.0,247.5,5.0,,
2021-01-13T07:20:00Z,2.0,247.5,5.0,,
2021-01-13T07:25:00Z,1.0,247.5,3.0,,
2021-01-13T07:30:00Z,0.0,,3.0,,
2021-01-13T07:35:00Z,1.0,270.0,5.99,,
2021-01-13T07:40:00Z,2.0,292.5,5.99,,
2021-01-13T07:45:00Z,2.0,292.5,7.0,,
2021-01-13T07:50:00Z,2.0,292.5,7.0,,
2021-01-13T07:55:00Z,1.0,337.5,7.0,,
2021-01-13T08:00:00Z,1.0,337.5,5.0,,
2021-01-13T08:05:00Z,1.0,0.0,5.0,,
2021-01-13T08:10:00Z,2.0,22.5,5.0,,
2021-01-13T08:15:00Z,2.0,45.0,5.0,,
2021-01-13T08:20:00Z,5.0,315.0,14.99,,
2021-01-13T08:25:00Z,7.0,292.5,13.99,,
2021-01-13T08:30:00Z,13.99,292.5,27.0,,
2021-01-13T08:35:00Z,14.99,292.5,33.99,,
2021-01-13T08:40:00Z,13.0,270.0,33.99,,
2021-01-13T08:45:00Z,13.99,270.0,34.99,,
2021-01-13T08:50:00Z,16.0,292.5,31.0,,
2021-01-13T08:55:00Z,14.99,292.5,29.0,,
2021-01-13T09:00:00Z,13.99,292.5,30.0,,
2021-01-13T09:05:00Z,17.0,292.5,30.0,,
2021-01-13T09:10:00Z,13.99,292.5,30.0,,
2021-01-13T09:15:00Z,18.0,315.0,34.99,,
2021-01-13T09:20:00Z,14.99,292.5,26.0,,
2021-01-13T09:25:00Z,12.0,292.5,21.0,,
2021-01-13T09:30:00Z,16.0,292.5,29.0,,
2021-01-13T09:35:00Z,12.0,292.5,23.99,,
2021-01-13T09:40:00Z,17.0,292.5,38.0,,
2021-01-13T09:45:00Z,16.0,292.5,33.99,,
2021-01-13T09:50:00Z,16.0,292.5,31.99,,
2021-01-13T09:55:00Z,11.0,292.5,22.99,,
2021-01-13T10:00:00Z,16.0,270.0,33.99,,
2021-01-13T10:05:00Z,14.99,270.0,28.0,,
2021-01-13T10:10:00Z,14.99,292.5,36.0,,
