datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2021-01-13T00:08:00Z,1.2,221.0,10.0,,
2021-01-13T00:18:00Z,1.8,240.0,10.0,,
2021-01-13T00:28:00Z,2.4,270.0,8.0,,
2021-01-13T00:38:00Z,2.2,276.0,8.0,,
2021-01-13T00:48:00Z,2.5,272.0,8.0,,
2021-01-13T00:58:00Z,1.6,241.0,5.99,,
2021-01-13T01:08:00Z,0.6,293.0,5.99,,
2021-01-13T01:18:00Z,1.4,292.0,5.99,,
2021-01-13T01:28:00Z,1.2,299.0,5.0,,
2021-01-13T01:38:00Z,1.7,301.0,10.0,,
2021-01-13T01:48:00Z,3.2,293.0,10.0,,
2021-01-13T01:58:00Z,0.81,226.0,11.0,,
2021-01-13T02:08:00Z,1.7,281.0,8.0,,
2021-01-13T02:18:00Z,1.4,314.0,8.0,,
2021-01-13T02:28:00Z,2.8,272.0,13.0,,
2021-01-13T02:38:00Z,3.71,298.0,14.01,,
2021-01-13T02:48:00Z,2.7,263.0,14.01,,
2021-01-13T02:58:00Z,3.4,316.0,12.0,,
2021-01-13T03:08:00Z,2.5,276.0,13.0,,
2021-01-13T03:18:00Z,0.6,311.0,13.0,,
2021-01-13T03:28:00Z,2.2,308.0,16.0,,
2021-01-13T03:38:00Z,1.4,279.0,12.0,,
2021-01-13T03:48:00Z,4.0,280.0,12.0,,
2021-01-13T03:58:00Z,2.8,290.0,14.01,,
2021-01-13T04:08:00Z,2.7,282.0,12.0,,
2021-01-13T04:18:00Z,3.3,302.0,12.0,,
2021-01-13T04:28:00Z,3.3,299.0,9.0,,
2021-01-13T04:38:00Z,3.6,293.0,13.0,,
2021-01-13T04:48:00Z,4.4,291.0,13.0,,
2021-01-13T04:58:00Z,4.4,297.0,14.01,,
2021-01-13T05:08:00Z,3.9,296.0,14.99,,
2021-01-13T05:18:00Z,3.5,291.0,14.99,,
2021-01-13T05:28:00Z,2.6,307.0,14.99,,
2021-01-13T05:38:00Z,3.5,312.0,12.0,,
2021-01-13T05:48:00Z,2.4,276.0,12.0,,
2021-01-13T05:58:00Z,2.9,281.0,14.99,,
2021-01-13T06:08:00Z,2.0,293.0,13.0,,
2021-01-13T06:18:00Z,1.5,287.0,13.0,,
2021-01-13T06:28:00Z,2.09,253.0,13.0,,
2021-01-13T06:38:00Z,3.4,289.0,11.0,,
2021-01-13T06:48:00Z,2.3,276.0,11.0,,
2021-01-13T06:58:00Z,0.81,298.0,10.0,,
2021-01-13T07:08:00Z,0.6,270.0,16.0,,
2021-01-13T07:18:00Z,1.3,294.0,16.0,,
2021-01-13T07:28:00Z,2.4,301.0,13.0,,
2021-01-13T07:38:00Z,2.4,265.0,14.01,,
2021-01-13T07:48:00Z,1.3,315.0,14.01,,
2021-01-13T07:58:00Z,2.9,260.0,13.0,,
2021-01-13T08:03:00Z,,,,,
2021-01-13T08:08:00Z,2.9,270.0,16.0,,
2021-01-13T08:18:00Z,2.6,290.0,16.0,,
2021-01-13T08:28:00Z,4.9,282.0,20.0,,
2021-01-13T08:38:00Z,2.7,290.0,17.0,,
2021-01-13T08:48:00Z,3.0,297.0,17.0,,
2021-01-13T08:58:00Z,5.6,293.0,14.01,,
2021-01-13T09:08:00Z,4.4,294.0,12.0,,
2021-01-13T09:18:00Z,3.3,283.0,12.0,,
2021-01-13T09:28:00Z,2.9,269.0,12.0,,
2021-01-13T09:38:00Z,3.8,245.0,14.99,,
2021-01-13T09:48:00Z,3.2,245.0,14.99,,
2021-01-13T09:58:00Z,3.5,254.0,17.0,,
2021-01-13T10:08:00Z,1.5,187.0,18.0,,
2021-01-13T10:18:00Z,1.6,219.0,18.0,,
2021-01-13T10:28:00Z,3.2,252.0,13.0,,
2021-01-13T10:38:00Z,3.3,266.0,17.0,,
2021-01-13T10:48:00Z,4.1,296.0,17.0,,
2021-01-13T10:58:00Z,6.91,269.0,22.0,,
2021-01-13T11:08:00Z,4.1,254.0,17.0,,
2021-01-13T11:18:00Z,5.0,257.0,17.0,,
2021-01-13T11:28:00Z,5.2,262.0,18.0,,
2021-01-13T11:38:00Z,4.8,255.0,16.0,,
2021-01-13T11:48:00Z,5.31,268.0,16.0,,
2021-01-13T11:58:00Z,5.9,253.0,16.0,,
2021-01-13T12:08:00Z,5.7,260.0,27.0,,
