datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2021-01-13T00:01:00Z,3.0,229.0,,,
2021-01-13T00:16:00Z,3.0,32.0,,,
2021-01-13T00:31:00Z,2.0,26.0,,,
2021-01-13T00:45:00Z,1.0,26.0,,,
2021-01-13T01:00:00Z,1.0,26.0,,,
2021-01-13T01:15:00Z,2.0,155.0,,,
2021-01-13T01:31:00Z,2.0,17.0,,,
2021-01-13T01:45:00Z,2.0,117.0,,,
2021-01-13T02:00:00Z,3.0,221.0,,,
2021-01-13T02:15:00Z,1.0,99.0,,,
2021-01-13T02:31:00Z,1.0,133.0,,,
2021-01-13T02:47:00Z,3.0,202.0,,,
2021-01-13T03:01:00Z,1.0,202.0,,,
2021-01-13T03:17:00Z,1.0,200.0,,,
2021-01-13T03:31:00Z,2.0,355.0,,,
2021-01-13T03:46:00Z,1.0,355.0,,,
2021-01-13T04:03:00Z,0.0,,,,
2021-01-13T04:15:00Z,1.0,329.0,,,
2021-01-13T04:31:00Z,3.0,281.0,,,
2021-01-13T04:45:00Z,3.0,325.0,,,
2021-01-13T05:00:00Z,3.0,241.0,,,
2021-01-13T05:16:00Z,3.0,254.0,,,
2021-01-13T05:31:00Z,2.0,234.0,,,
2021-01-13T05:46:00Z,3.0,278.0,,,
2021-01-13T06:00:00Z,4.0,46.0,,,
2021-01-13T06:16:00Z,4.0,345.0,,,
2021-01-13T06:31:00Z,4.0,169.0,,,
2021-01-13T06:46:00Z,4.0,195.0,,,
2021-01-13T07:02:00Z,4.0,298.0,,,
2021-01-13T07:18:00Z,4.0,301.0,,,
2021-01-13T07:32:00Z,4.0,284.0,,,
2021-01-13T07:46:00Z,4.0,279.0,,,
2021-01-13T08:00:00Z,3.0,38.0,,,
2021-01-13T08:15:00Z,4.0,34.0,,,
2021-01-13T08:30:00Z,4.0,57.0,,,
2021-01-13T08:45:00Z,7.0,285.0,,,
2021-01-13T09:00:00Z,8.0,311.0,,,
2021-01-13T09:15:00Z,8.0,259.0,,,
2021-01-13T09:30:00Z,8.0,298.0,,,
2021-01-13T09:45:00Z,10.0,274.0,,,
2021-01-13T10:00:00Z,11.0,270.0,,,
2021-01-13T10:15:00Z,10.0,306.0,,,
2021-01-13T10:30:00Z,5.99,284.0,,,
2021-01-13T10:45:00Z,8.0,282.0,,,
2021-01-13T11:00:00Z,11.0,304.0,,,
2021-01-13T11:16:00Z,10.0,207.0,,,
2021-01-13T11:31:00Z,11.0,273.0,,,
2021-01-13T11:45:00Z,9.0,261.0,,,
2021-01-13T12:00:00Z,8.0,284.0,,,
2021-01-13T12:16:00Z,9.0,351.0,,,
2021-01-13T12:31:00Z,11.0,264.0,,,
2021-01-13T12:47:00Z,12.0,208.0,,,
2021-01-13T13:01:00Z,10.0,327.0,,,
2021-01-13T13:16:00Z,10.0,0.0,,,
2021-01-13T13:32:00Z,10.0,262.0,,,
2021-01-13T13:45:00Z,10.0,284.0,,,
2021-01-13T14:15:00Z,10.0,290.0,,,
2021-01-13T14:30:00Z,8.0,272.0,,,
2021-01-13T14:45:00Z,9.0,330.0,,,
2021-01-13T15:00:00Z,7.0,64.0,,,
2021-01-13T15:16:00Z,5.99,9.0,,,
2021-01-13T15:31:00Z,7.0,308.0,,,
2021-01-13T15:46:00Z,7.0,11.0,,,
2021-01-13T16:00:00Z,7.0,267.0,,,
2021-01-13T16:17:00Z,7.0,297.0,,,
2021-01-13T16:31:00Z,8.0,164.0,,,
2021-01-13T16:46:00Z,8.0,291.0,,,
2021-01-13T17:01:00Z,8.0,298.0,,,
2021-01-13T17:16:00Z,8.0,324.0,,,
2021-01-13T17:31:00Z,8.0,277.0,,,
2021-01-13T17:47:00Z,7.0,283.0,,,
2021-01-13T18:02:00Z,5.99,333.0,,,
2021-01-13T18:16:00Z,5.0,287.0,,,
2021-01-13T18:30:00Z,4.0,328.0,,,
2021-01-13T18:45:00Z,4.0,227.0,,,
2021-01-13T19:00:00Z,5.0,309.0,,,
2021-01-13T19:15:00Z,5.0,227.0,,,
2021-01-13T19:45:00Z,4.0,301.0,,,
2021-01-13T20:00:00Z,5.99,5.0,,,
2021-01-13T20:15:00Z,5.0,285.0,,,
2021-01-13T20:30:00Z,5.0,272.0,,,
2021-01-13T20:45:00Z,3.0,209.0,,,
2021-01-13T21:00:00Z,2.0,238.0,,,
2021-01-13T21:15:00Z,3.0,251.0,,,
2021-01-13T21:30:00Z,3.0,224.0,,,
2021-01-13T21:45:00Z,4.0,298.0,,,
2021-01-13T22:00:00Z,3.0,20.0,,,
2021-01-13T22:15:00Z,2.0,234.0,,,
2021-01-13T22:30:00Z,4.0,18.0,,,
2021-01-13T22:45:00Z,5.0,327.0,,,
2021-01-13T23:00:00Z,7.0,0.0,,,
2021-01-13T23:15:00Z,4.0,29.0,,,
2021-01-13T23:30:00Z,3.0,139.0,,,
2021-01-13T23:45:00Z,1.0,139.0,,,
2021-01-14T00:00:00Z,5.0,245.0,,,
2021-01-14T00:15:00Z,5.0,286.0,,,
2021-01-14T00:30:00Z,5.0,105.0,,,
2021-01-14T00:45:00Z,4.0,93.0,,,
2021-01-14T01:00:00Z,4.0,315.0,,,
2021-01-14T01:16:00Z,5.99,28.0,,,
2021-01-14T01:30:00Z,5.0,53.0,,,
2021-01-14T01:46:00Z,3.0,227.0,,,
2021-01-14T02:01:00Z,4.0,96.0,,,
2021-01-14T02:15:00Z,4.0,95.0,,,
2021-01-14T02:30:00Z,4.0,92.0,,,
2021-01-14T02:45:00Z,3.0,104.0,,,
2021-01-14T03:01:00Z,3.0,169.0,,,
2021-01-14T03:15:00Z,3.0,294.0,,,
2021-01-14T03:30:00Z,4.0,85.0,,,
2021-01-14T03:45:00Z,5.99,355.0,,,
2021-01-14T04:00:00Z,10.0,65.0,,,
2021-01-14T04:16:00Z,5.0,242.0,,,
2021-01-14T04:31:00Z,5.99,27.0,,,
2021-01-14T04:45:00Z,5.0,0.0,,,
2021-01-14T05:00:00Z,4.0,35.0,,,
2021-01-14T05:16:00Z,5.0,24.0,,,
2021-01-14T05:31:00Z,4.0,132.0,,,
2021-01-14T05:46:00Z,3.0,21.0,,,
2021-01-14T06:00:00Z,3.0,355.0,,,
2021-01-14T06:16:00Z,5.0,328.0,,,
2021-01-14T06:31:00Z,5.99,18.0,,,
2021-01-14T06:45:00Z,5.99,34.0,,,
2021-01-14T07:01:00Z,5.99,9.0,,,
2021-01-14T07:16:00Z,5.0,311.0,,,
2021-01-14T07:32:00Z,3.0,30.0,,,
2021-01-14T07:47:00Z,5.99,15.0,,,
2021-01-14T08:00:00Z,5.0,349.0,,,
2021-01-14T08:15:00Z,5.99,23.0,,,
2021-01-14T08:30:00Z,5.99,15.0,,,
2021-01-14T08:45:00Z,5.0,337.0,,,
2021-01-14T09:00:00Z,4.0,344.0,,,
2021-01-14T09:16:00Z,8.0,349.0,,,
2021-01-14T09:30:00Z,7.0,348.0,,,
2021-01-14T09:45:00Z,4.0,9.0,,,
2021-01-14T10:01:00Z,5.0,9.0,,,
2021-01-14T10:15:00Z,5.0,316.0,,,
2021-01-14T10:30:00Z,3.0,297.0,,,
2021-01-14T10:45:00Z,0.0,,,,
2021-01-14T11:01:00Z,0.0,,,,
2021-01-14T11:16:00Z,0.0,,,,
2021-01-14T11:32:00Z,0.0,,,,
2021-01-14T11:46:00Z,0.0,,,,
2021-01-14T12:01:00Z,0.0,,,,
2021-01-14T12:15:00Z,0.0,,,,
2021-01-14T12:31:00Z,0.0,,,,
2021-01-14T12:46:00Z,0.0,,,,
2021-01-14T13:01:00Z,0.0,,,,
2021-01-14T13:16:00Z,0.0,,,,
2021-01-14T13:31:00Z,0.0,,,,
2021-01-14T13:46:00Z,0.0,,,,
2021-01-14T14:01:00Z,0.0,,,,
2021-01-14T14:17:00Z,0.0,,,,
2021-01-14T14:33:00Z,0.0,,,,
2021-01-14T14:46:00Z,0.0,,,,
2021-01-14T15:01:00Z,0.0,,,,
2021-01-14T15:15:00Z,0.0,,,,
2021-01-14T15:30:00Z,0.0,,,,
2021-01-14T15:45:00Z,0.0,,,,
2021-01-14T16:00:00Z,0.0,,,,
2021-01-14T16:15:00Z,1.0,78.0,,,
2021-01-14T16:30:00Z,1.0,79.0,,,
2021-01-14T16:45:00Z,1.0,79.0,,,
2021-01-14T17:00:00Z,0.0,,,,
2021-01-14T17:15:00Z,2.0,332.0,,,
2021-01-14T17:30:00Z,1.0,69.0,,,
2021-01-14T17:45:00Z,2.0,46.0,,,
2021-01-14T18:01:00Z,2.0,36.0,,,
2021-01-14T18:15:00Z,4.0,39.0,,,
2021-01-14T18:30:00Z,3.0,112.0,,,
2021-01-14T18:46:00Z,3.0,90.0,,,
2021-01-14T19:01:00Z,4.0,70.0,,,
2021-01-14T19:16:00Z,3.0,44.0,,,
2021-01-14T19:31:00Z,3.0,96.0,,,
2021-01-14T19:47:00Z,2.0,103.0,,,
2021-01-14T20:01:00Z,2.0,179.0,,,
2021-01-14T20:16:00Z,2.0,107.0,,,
2021-01-14T20:31:00Z,2.0,173.0,,,
2021-01-14T20:46:00Z,2.0,90.0,,,
2021-01-14T21:01:00Z,3.0,110.0,,,
2021-01-14T21:16:00Z,3.0,174.0,,,
2021-01-14T21:31:00Z,2.0,96.0,,,
2021-01-14T21:46:00Z,3.0,72.0,,,
2021-01-14T22:02:00Z,3.0,82.0,,,
2021-01-14T22:16:00Z,2.0,96.0,,,
2021-01-14T22:30:00Z,3.0,110.0,,,
2021-01-14T22:45:00Z,0.0,,,,
2021-01-14T23:00:00Z,0.0,,,,
2021-01-14T23:15:00Z,0.0,,,,
2021-01-14T23:30:00Z,0.0,,,,
2021-01-14T23:45:00Z,0.0,,,,
2021-01-15T00:00:00Z,0.0,,,,
2021-01-15T00:15:00Z,0.0,,,,
2021-01-15T00:31:00Z,0.0,,,,
2021-01-15T00:45:00Z,0.0,,,,
2021-01-15T01:00:00Z,0.0,,,,
2021-01-15T01:15:00Z,0.0,,,,
2021-01-15T01:30:00Z,0.0,,,,
2021-01-15T01:45:00Z,0.0,,,,
2021-01-15T02:00:00Z,0.0,,,,
2021-01-15T02:15:00Z,0.0,,,,
2021-01-15T02:31:00Z,0.0,,,,
2021-01-15T02:46:00Z,0.0,,,,
2021-01-15T03:01:00Z,0.0,,,,
2021-01-15T03:15:00Z,0.0,,,,
2021-01-15T03:31:00Z,0.0,,,,
2021-01-15T03:46:00Z,0.0,,,,
2021-01-15T04:01:00Z,0.0,,,,
2021-01-15T04:16:00Z,0.0,,,,
2021-01-15T04:30:00Z,0.0,,,,
2021-01-15T04:46:00Z,0.0,,,,
2021-01-15T05:00:00Z,0.0,,,,
2021-01-15T05:16:00Z,0.0,,,,
2021-01-15T05:31:00Z,0.0,,,,
2021-01-15T05:46:00Z,0.0,,,,
2021-01-15T06:01:00Z,0.0,,,,
2021-01-15T06:16:00Z,0.0,,,,
2021-01-15T06:31:00Z,0.0,,,,
2021-01-15T06:46:00Z,0.0,,,,
2021-01-15T07:01:00Z,0.0,,,,
2021-01-15T07:17:00Z,0.0,,,,
2021-01-15T07:32:00Z,0.0,,,,
2021-01-15T07:46:00Z,0.0,,,,
2021-01-15T08:01:00Z,0.0,,,,
2021-01-15T08:16:00Z,0.0,,,,
2021-01-15T08:31:00Z,0.0,,,,
2021-01-15T08:48:00Z,0.0,,,,
2021-01-15T09:01:00Z,0.0,,,,
2021-01-15T09:15:00Z,0.0,,,,
2021-01-15T09:30:00Z,1.0,202.0,,,
2021-01-15T09:45:00Z,0.0,,,,
2021-01-15T10:00:00Z,0.0,,,,
2021-01-15T10:15:00Z,1.0,202.0,,,
2021-01-15T10:30:00Z,0.0,,,,
2021-01-15T10:45:00Z,0.0,,,,
2021-01-15T11:00:00Z,0.0,,,,
2021-01-15T11:15:00Z,0.0,,,,
2021-01-15T11:30:00Z,0.0,,,,
2021-01-15T11:45:00Z,0.0,,,,
2021-01-15T12:15:00Z,1.0,202.0,,,
2021-01-15T12:30:00Z,0.0,,,,
2021-01-15T12:45:00Z,1.0,202.0,,,
2021-01-15T13:00:00Z,1.0,144.0,,,
2021-01-15T13:15:00Z,2.0,103.0,,,
2021-01-15T13:30:00Z,0.0,,,,
2021-01-15T13:45:00Z,0.0,,,,
2021-01-15T14:00:00Z,1.0,98.0,,,
2021-01-15T14:15:00Z,0.0,,,,
2021-01-15T14:31:00Z,1.0,202.0,,,
2021-01-15T14:45:00Z,0.0,,,,
2021-01-15T15:01:00Z,1.0,195.0,,,
2021-01-15T15:16:00Z,1.0,167.0,,,
