datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2021-01-13T00:00:00Z,5.99,245.0,11.0,,
2021-01-13T00:10:00Z,10.0,258.0,14.01,,
2021-01-13T00:20:00Z,17.0,254.0,21.0,,
2021-01-13T00:30:00Z,14.01,249.0,18.0,,
2021-01-13T00:40:00Z,16.0,255.0,21.0,,
2021-01-13T00:50:00Z,11.0,257.0,19.0,,
2021-01-13T01:00:00Z,7.0,300.0,14.99,,
2021-01-13T01:10:00Z,9.0,326.0,14.01,,
2021-01-13T01:20:00Z,5.99,338.0,11.0,,
2021-01-13T01:30:00Z,5.0,341.0,10.0,,
2021-01-13T01:40:00Z,5.99,11.0,9.0,,
2021-01-13T01:50:00Z,3.0,329.0,7.0,,
2021-01-13T02:00:00Z,5.99,241.0,7.0,,
2021-01-13T02:10:00Z,3.0,184.0,5.99,,
2021-01-13T02:20:00Z,3.0,119.0,4.0,,
2021-01-13T02:30:00Z,4.0,210.0,8.0,,
2021-01-13T02:40:00Z,4.0,107.0,9.0,,
2021-01-13T02:50:00Z,14.01,294.0,20.0,,
2021-01-13T03:00:00Z,13.0,270.0,20.0,,
2021-01-13T03:10:00Z,27.0,266.0,34.01,,
2021-01-13T03:20:00Z,30.0,254.0,38.0,,
2021-01-13T03:30:00Z,21.0,243.0,30.0,,
2021-01-13T03:40:00Z,27.0,259.0,32.0,,
2021-01-13T03:50:00Z,24.0,259.0,34.99,,
2021-01-13T04:00:00Z,25.0,268.0,38.0,,
2021-01-13T04:10:00Z,29.0,262.0,40.0,,
2021-01-13T04:20:00Z,26.0,254.0,41.0,,
2021-01-13T04:30:00Z,29.0,258.0,39.0,,
2021-01-13T04:40:00Z,24.0,268.0,38.0,,
2021-01-13T04:50:00Z,30.0,266.0,45.0,,
2021-01-13T05:00:00Z,39.0,272.0,55.0,,
2021-01-13T05:10:00Z,34.01,269.0,52.0,,
2021-01-13T05:20:00Z,26.0,275.0,42.0,,
2021-01-13T05:30:00Z,31.0,274.0,45.0,,
2021-01-13T05:40:00Z,21.0,269.0,34.01,,
2021-01-13T05:50:00Z,30.0,269.0,42.0,,
2021-01-13T06:00:00Z,33.0,261.0,45.0,,
2021-01-13T06:10:00Z,34.01,268.0,48.0,,
2021-01-13T06:20:00Z,29.0,265.0,43.01,,
2021-01-13T06:30:00Z,23.0,283.0,38.0,,
2021-01-13T06:40:00Z,28.0,274.0,41.0,,
2021-01-13T06:50:00Z,23.0,278.0,42.0,,
2021-01-13T07:00:00Z,22.0,288.0,38.0,,
2021-01-13T07:10:00Z,29.0,291.0,37.0,,
2021-01-13T07:20:00Z,12.0,314.0,32.0,,
2021-01-13T07:30:00Z,17.0,305.0,29.0,,
2021-01-13T07:40:00Z,9.0,298.0,31.0,,
2021-01-13T07:50:00Z,8.0,258.0,17.0,,
2021-01-13T08:00:00Z,20.0,243.0,42.0,,
2021-01-13T08:10:00Z,31.0,255.0,47.0,,
2021-01-13T08:20:00Z,21.0,244.0,42.0,,
2021-01-13T08:30:00Z,21.0,246.0,46.0,,
2021-01-13T08:40:00Z,29.0,253.0,47.0,,
2021-01-13T08:50:00Z,42.0,263.0,53.0,,
2021-01-13T09:00:00Z,34.01,262.0,51.0,,
2021-01-13T09:10:00Z,34.99,255.0,46.0,,
2021-01-13T09:20:00Z,32.0,255.0,48.0,,
2021-01-13T09:30:00Z,34.99,249.0,48.0,,
2021-01-13T09:40:00Z,47.0,241.0,57.0,,
2021-01-13T09:50:00Z,40.0,240.0,56.0,,
2021-01-13T10:00:00Z,46.0,244.0,57.0,,
2021-01-13T10:10:00Z,37.0,238.0,57.0,,
2021-01-13T10:20:00Z,28.0,245.0,47.0,,
2021-01-13T10:30:00Z,40.0,241.0,55.0,,
2021-01-13T10:40:00Z,43.01,243.0,68.0,,
2021-01-13T10:50:00Z,37.0,249.0,66.0,,
2021-01-13T11:00:00Z,37.0,248.0,62.0,,
2021-01-13T11:10:00Z,37.0,247.0,61.0,,
2021-01-13T11:20:00Z,38.0,248.0,62.0,,
2021-01-13T11:30:00Z,40.0,249.0,57.0,,
2021-01-13T11:40:00Z,43.99,243.0,62.0,,
2021-01-13T11:50:00Z,45.0,245.0,60.0,,
2021-01-13T12:00:00Z,34.99,248.0,59.0,,
2021-01-13T12:10:00Z,34.01,250.0,50.0,,
2021-01-13T12:20:00Z,23.0,241.0,45.0,,
2021-01-13T12:30:00Z,16.0,241.0,32.0,,
2021-01-13T12:40:00Z,29.0,250.0,37.0,,
2021-01-13T12:50:00Z,40.0,257.0,61.0,,
2021-01-13T13:00:00Z,40.0,255.0,56.0,,
2021-01-13T13:10:00Z,42.0,256.0,54.0,,
2021-01-13T13:20:00Z,34.01,254.0,52.0,,
2021-01-13T13:30:00Z,36.0,250.0,50.0,,
2021-01-13T13:40:00Z,42.0,254.0,53.0,,
2021-01-13T13:50:00Z,37.0,256.0,56.0,,
2021-01-13T14:00:00Z,42.0,255.0,60.0,,
2021-01-13T14:10:00Z,43.01,254.0,62.0,,
2021-01-13T14:20:00Z,42.0,252.0,58.0,,
2021-01-13T14:30:00Z,40.0,251.0,60.0,,
2021-01-13T14:40:00Z,41.0,247.0,57.0,,
2021-01-13T14:50:00Z,51.0,244.0,61.0,,
2021-01-13T15:00:00Z,45.0,253.0,59.0,,
2021-01-13T15:10:00Z,43.01,255.0,58.0,,
2021-01-13T15:20:00Z,39.0,252.0,51.0,,
2021-01-13T15:30:00Z,40.0,257.0,65.0,,
2021-01-13T15:40:00Z,34.99,257.0,55.0,,
2021-01-13T15:50:00Z,34.01,254.0,53.0,,
2021-01-13T16:00:00Z,34.01,252.0,53.0,,
2021-01-13T16:10:00Z,34.01,257.0,50.0,,
2021-01-13T16:20:00Z,34.99,260.0,47.0,,
2021-01-13T16:30:00Z,40.0,251.0,50.0,,
2021-01-13T16:40:00Z,40.0,249.0,53.0,,
2021-01-13T16:50:00Z,38.0,262.0,52.0,,
2021-01-13T17:00:00Z,40.0,258.0,56.0,,
2021-01-13T17:10:00Z,39.0,256.0,51.0,,
2021-01-13T17:20:00Z,37.0,253.0,50.0,,
2021-01-13T17:30:00Z,29.0,251.0,50.0,,
2021-01-13T17:40:00Z,37.0,236.0,50.0,,
2021-01-13T17:50:00Z,33.0,234.0,48.0,,
2021-01-13T18:00:00Z,30.0,244.0,42.0,,
2021-01-13T18:10:00Z,32.0,255.0,48.0,,
2021-01-13T18:20:00Z,29.0,254.0,41.0,,
2021-01-13T18:30:00Z,34.99,260.0,48.0,,
2021-01-13T18:40:00Z,42.0,265.0,62.0,,
2021-01-13T18:50:00Z,40.0,268.0,59.0,,
2021-01-13T19:00:00Z,39.0,256.0,56.0,,
2021-01-13T19:10:00Z,34.99,256.0,57.0,,
2021-01-13T19:20:00Z,37.0,254.0,46.0,,
2021-01-13T19:30:00Z,20.0,246.0,48.0,,
2021-01-13T19:40:00Z,25.0,235.0,37.0,,
2021-01-13T19:50:00Z,43.99,254.0,63.01,,
2021-01-13T20:00:00Z,42.0,264.0,68.0,,
2021-01-13T20:10:00Z,41.0,263.0,65.0,,
