datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2021-01-13T00:01:00Z,0.0,,2.0,,
2021-01-13T00:10:00Z,0.0,,2.0,,
2021-01-13T00:19:00Z,0.0,,1.0,,
2021-01-13T00:28:00Z,0.0,,2.0,,
2021-01-13T00:37:00Z,0.0,,1.0,,
2021-01-13T00:46:00Z,0.0,,0.0,,
2021-01-13T00:55:00Z,0.0,,2.0,,
2021-01-13T01:04:00Z,0.0,,2.0,,
2021-01-13T01:13:00Z,0.0,,1.0,,
2021-01-13T01:22:00Z,1.0,342.0,3.0,,
2021-01-13T01:31:00Z,1.0,342.0,3.0,,
2021-01-13T01:40:00Z,1.0,342.0,4.0,,
2021-01-13T01:49:00Z,0.0,,3.0,,
2021-01-13T01:58:00Z,0.0,,2.0,,
2021-01-13T02:07:00Z,1.0,342.0,2.0,,
2021-01-13T02:16:00Z,1.0,342.0,4.0,,
2021-01-13T02:25:00Z,2.0,340.0,4.0,,
2021-01-13T02:34:00Z,1.0,338.0,3.0,,
2021-01-13T02:43:00Z,1.0,338.0,3.0,,
2021-01-13T02:52:00Z,1.0,338.0,2.0,,
2021-01-13T03:01:00Z,1.0,338.0,3.0,,
2021-01-13T03:10:00Z,1.0,338.0,4.0,,
2021-01-13T03:19:00Z,0.0,,3.0,,
2021-01-13T03:28:00Z,1.0,338.0,4.0,,
2021-01-13T03:37:00Z,1.0,338.0,4.0,,
2021-01-13T03:46:00Z,1.0,338.0,3.0,,
2021-01-13T03:55:00Z,1.0,338.0,3.0,,
2021-01-13T04:04:00Z,1.0,338.0,4.0,,
2021-01-13T04:13:00Z,1.0,338.0,4.0,,
2021-01-13T04:22:00Z,0.0,,2.0,,
2021-01-13T04:31:00Z,1.0,338.0,3.0,,
2021-01-13T04:40:00Z,0.0,,3.0,,
2021-01-13T04:49:00Z,1.0,338.0,5.0,,
2021-01-13T04:58:00Z,1.0,338.0,3.0,,
2021-01-13T05:07:00Z,1.0,338.0,3.0,,
2021-01-13T05:16:00Z,0.0,,3.0,,
2021-01-13T05:25:00Z,2.0,339.0,5.0,,
2021-01-13T05:34:00Z,1.0,339.0,3.0,,
2021-01-13T05:43:00Z,1.0,339.0,3.0,,
2021-01-13T05:52:00Z,1.0,339.0,3.0,,
2021-01-13T06:01:00Z,1.0,339.0,4.0,,
2021-01-13T06:10:00Z,1.0,339.0,4.0,,
2021-01-13T06:19:00Z,1.0,339.0,3.0,,
2021-01-13T06:28:00Z,2.0,339.0,5.99,,
2021-01-13T06:37:00Z,1.0,339.0,5.99,,
2021-01-13T06:46:00Z,0.0,,2.0,,
2021-01-13T06:55:00Z,1.0,339.0,2.0,,
2021-01-13T07:04:00Z,1.0,339.0,4.0,,
