datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2021-01-13T00:00:00Z,5.0,209.0,,,
2021-01-13T00:15:00Z,5.99,157.0,,,
2021-01-13T00:30:00Z,7.0,137.0,,,
2021-01-13T00:45:00Z,3.0,158.0,,,
2021-01-13T01:00:00Z,1.0,96.0,,,
2021-01-13T01:15:00Z,0.0,,,,
2021-01-13T01:30:00Z,2.0,73.0,,,
2021-01-13T01:45:00Z,3.0,155.0,,,
2021-01-13T02:00:00Z,2.0,277.0,,,
2021-01-13T02:15:00Z,3.0,220.0,,,
2021-01-13T02:30:00Z,7.0,155.0,,,
2021-01-13T02:45:00Z,7.0,176.0,,,
2021-01-13T03:00:00Z,9.0,186.0,,,
2021-01-13T03:15:00Z,9.0,220.0,,,
2021-01-13T03:30:00Z,11.0,242.0,,,
2021-01-13T03:45:00Z,4.0,239.0,,,
2021-01-13T04:00:00Z,8.0,297.0,,,
2021-01-13T04:15:00Z,20.0,285.0,,,
2021-01-13T04:30:00Z,20.0,286.0,,,
2021-01-13T04:45:00Z,22.99,290.0,,,
2021-01-13T05:00:00Z,23.99,290.0,,,
2021-01-13T05:15:00Z,28.0,286.0,,,
2021-01-13T05:30:00Z,23.99,283.0,,,
2021-01-13T05:45:00Z,25.0,287.0,,,
2021-01-13T06:00:00Z,28.0,287.0,,,
2021-01-13T07:00:00Z,,,,,
2021-01-13T07:15:00Z,31.0,283.0,,,
2021-01-13T07:30:00Z,29.0,282.0,,,
2021-01-13T07:45:00Z,31.0,284.0,,,
2021-01-13T08:00:00Z,30.0,287.0,,,
2021-01-13T08:15:00Z,25.0,303.0,,,
2021-01-13T08:30:00Z,22.99,322.0,,,
2021-01-13T08:45:00Z,30.0,299.0,,,
2021-01-13T09:00:00Z,40.0,284.0,,,
2021-01-13T09:15:00Z,39.0,287.0,,,
2021-01-13T09:30:00Z,41.99,286.0,,,
