datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2021-01-13T00:05:00Z,1.96,274.0,4.95,,
2021-01-13T00:35:00Z,1.96,340.0,4.95,,
2021-01-13T01:05:00Z,0.0,,5.98,,
2021-01-13T01:35:00Z,1.04,152.0,1.96,,
2021-01-13T02:05:00Z,5.98,323.0,5.98,,
2021-01-13T02:35:00Z,2.99,285.0,10.01,,
2021-01-13T03:05:00Z,8.06,251.0,8.98,,
2021-01-13T03:40:00Z,8.06,256.0,17.03,,
2021-01-13T04:10:00Z,4.95,274.0,18.99,,
2021-01-13T04:40:00Z,5.98,259.0,18.99,,
2021-01-13T05:10:00Z,2.99,283.0,7.02,,
2021-01-13T05:40:00Z,1.96,338.0,8.98,,
2021-01-13T06:10:00Z,8.06,258.0,11.97,,
2021-01-13T06:40:00Z,5.98,246.0,11.97,,
2021-01-13T07:15:00Z,4.95,227.0,11.97,,
2021-01-13T07:45:00Z,4.03,298.0,7.02,,
2021-01-13T08:15:00Z,10.01,281.0,14.04,,
2021-01-13T08:45:00Z,4.95,250.0,21.98,,
2021-01-13T09:15:00Z,7.02,278.0,14.04,,
2021-01-13T09:45:00Z,8.98,336.0,11.97,,
2021-01-13T10:15:00Z,4.95,247.0,13.0,,
2021-01-13T10:50:00Z,7.02,238.0,13.0,,
2021-01-13T11:20:00Z,8.98,261.0,13.0,,
2021-01-13T11:50:00Z,7.02,256.0,10.01,,
2021-01-13T12:20:00Z,4.03,323.0,14.96,,
2021-01-13T12:50:00Z,8.98,265.0,21.98,,
2021-01-13T13:20:00Z,7.02,326.0,17.03,,
2021-01-13T13:55:00Z,8.98,337.0,17.03,,
2021-01-13T14:25:00Z,4.95,340.0,18.07,,
2021-01-13T14:55:00Z,4.95,250.0,18.07,,
2021-01-13T15:25:00Z,4.95,259.0,14.96,,
2021-01-13T15:55:00Z,4.03,295.0,14.04,,
2021-01-13T16:25:00Z,7.02,223.0,24.97,,
2021-01-13T16:55:00Z,8.98,301.0,18.07,,
2021-01-13T17:25:00Z,8.06,302.0,21.06,,
2021-01-13T18:00:00Z,8.98,245.0,18.07,,
2021-01-13T18:30:00Z,4.03,217.0,18.07,,
2021-01-13T19:00:00Z,4.03,319.0,20.02,,
2021-01-13T19:30:00Z,4.03,291.0,18.07,,
2021-01-13T20:00:00Z,1.96,25.0,14.96,,
2021-01-13T20:30:00Z,1.96,10.0,4.03,,
2021-01-13T21:00:00Z,1.96,189.0,4.95,,
2021-01-13T21:35:00Z,0.0,,11.97,,
2021-01-13T22:05:00Z,10.01,236.0,10.01,,
2021-01-13T22:35:00Z,7.02,313.0,14.96,,
2021-01-13T23:05:00Z,1.96,4.0,7.02,,
2021-01-13T23:35:00Z,1.04,332.0,11.97,,
2021-01-14T00:05:00Z,4.03,223.0,5.98,,
2021-01-14T00:35:00Z,1.04,11.0,8.06,,
2021-01-14T01:10:00Z,4.03,282.0,11.97,,
2021-01-14T01:40:00Z,7.02,17.0,13.0,,
2021-01-14T02:10:00Z,1.04,214.0,14.04,,
2021-01-14T02:40:00Z,0.0,,7.02,,
2021-01-14T03:10:00Z,2.99,17.0,4.03,,
2021-01-14T03:40:00Z,17.03,268.0,18.07,,
2021-01-14T04:10:00Z,4.95,316.0,14.96,,
2021-01-14T04:45:00Z,2.99,352.0,7.02,,
2021-01-14T05:15:00Z,1.04,293.0,2.99,,
2021-01-14T05:45:00Z,4.03,323.0,8.98,,
2021-01-14T06:15:00Z,2.99,152.0,10.01,,
2021-01-14T06:45:00Z,5.98,264.0,18.07,,
2021-01-14T07:15:00Z,1.04,316.0,14.96,,
2021-01-14T07:45:00Z,4.95,11.0,11.97,,
2021-01-14T08:20:00Z,1.96,21.0,8.06,,
2021-01-14T08:50:00Z,1.04,67.0,4.95,,
2021-01-14T09:20:00Z,4.03,269.0,10.01,,
2021-01-14T09:50:00Z,4.95,277.0,8.06,,
2021-01-14T10:20:00Z,2.99,239.0,8.06,,
2021-01-14T10:50:00Z,5.98,313.0,8.98,,
2021-01-14T11:25:00Z,1.04,146.0,10.01,,
2021-01-14T11:55:00Z,2.99,235.0,4.03,,
2021-01-14T12:25:00Z,1.96,348.0,2.99,,
2021-01-14T12:55:00Z,4.03,252.0,8.06,,
2021-01-14T13:25:00Z,0.0,,5.98,,
2021-01-14T13:55:00Z,1.96,261.0,2.99,,
2021-01-14T14:25:00Z,0.0,,5.98,,
2021-01-14T15:00:00Z,1.96,121.0,8.06,,
2021-01-14T15:30:00Z,7.02,166.0,10.01,,
2021-01-14T16:00:00Z,11.97,259.0,11.97,,
2021-01-14T16:30:00Z,4.95,250.0,10.01,,
2021-01-14T17:00:00Z,4.95,322.0,13.0,,
2021-01-14T17:30:00Z,1.04,148.0,11.05,,
2021-01-14T18:00:00Z,1.96,242.0,8.06,,
2021-01-14T18:35:00Z,4.95,230.0,14.96,,
2021-01-14T19:05:00Z,0.0,,14.04,,
2021-01-14T19:35:00Z,1.96,239.0,5.98,,
2021-01-14T20:05:00Z,1.96,201.0,7.02,,
2021-01-14T20:35:00Z,2.99,236.0,11.97,,
2021-01-14T21:05:00Z,2.99,250.0,11.97,,
