datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:51:00Z,1.01,280.0,5.99,5.99,254.0,69.01,20.0
2018-11-07T01:51:00Z,0.0,,3.0,3.0,124.0,63.0,27.0
2018-11-07T02:51:00Z,0.0,,2.01,2.01,0.0,55.0,36.0
2018-11-07T03:51:00Z,0.0,,2.01,2.01,335.0,53.01,36.0
2018-11-07T04:51:00Z,0.0,,1.01,1.01,310.0,51.01,38.0
2018-11-07T05:51:00Z,0.0,,2.01,2.01,109.0,48.0,42.0
2018-11-07T06:51:00Z,1.01,122.0,4.0,4.0,114.0,48.0,41.0
2018-11-07T07:51:00Z,0.0,,3.0,3.0,347.0,46.0,44.0
2018-11-07T08:51:00Z,0.0,,2.01,2.01,2.0,46.99,40.0
2018-11-07T09:51:00Z,0.0,,2.01,2.01,164.0,46.0,38.0
2018-11-07T10:51:00Z,0.0,,2.01,2.01,342.0,45.0,39.0
2018-11-07T11:51:00Z,0.0,,2.01,2.01,152.0,45.0,37.0
2018-11-07T12:51:00Z,0.0,,0.0,0.0,132.0,43.0,40.0
2018-11-07T13:51:00Z,0.0,,1.01,1.01,352.0,43.0,38.0
2018-11-07T14:51:00Z,0.0,,1.01,1.01,353.0,44.01,35.0
2018-11-07T15:51:00Z,0.0,,1.01,1.01,330.0,53.01,31.0
2018-11-07T16:51:00Z,0.0,,2.01,2.01,134.0,62.01,24.0
2018-11-07T17:51:00Z,2.01,232.0,4.99,4.99,210.0,68.0,18.0
2018-11-07T18:51:00Z,4.99,276.0,10.0,10.0,241.0,68.0,17.0
2018-11-07T19:51:00Z,4.99,258.0,8.99,8.99,271.0,70.0,18.0
2018-11-07T20:51:00Z,3.0,295.0,11.01,11.01,252.0,72.0,16.0
2018-11-07T21:51:00Z,4.0,293.0,10.0,10.0,275.0,73.0,17.0
2018-11-07T22:51:00Z,4.0,269.0,10.0,10.0,274.0,72.0,17.0
2018-11-07T23:51:00Z,3.0,281.0,10.0,10.0,241.0,71.01,18.0
2018-11-08T00:51:00Z,0.0,,7.0,7.0,263.0,64.99,23.0
2018-11-08T01:51:00Z,1.01,355.0,3.0,3.0,1.0,57.99,28.0
2018-11-08T02:51:00Z,0.0,,3.0,3.0,81.0,54.0,34.0
2018-11-08T03:51:00Z,0.0,,2.01,2.01,80.0,50.0,38.0
2018-11-08T04:51:00Z,1.01,89.0,5.99,5.99,111.0,48.99,41.0
2018-11-08T05:51:00Z,0.0,,4.0,4.0,96.0,50.0,36.0
2018-11-08T06:51:00Z,0.0,,5.99,5.99,3.0,51.01,30.0
2018-11-08T07:51:00Z,3.0,328.0,7.0,7.0,320.0,57.99,17.0
2018-11-08T08:51:00Z,2.01,339.0,5.99,5.99,304.0,55.99,18.0
2018-11-08T09:51:00Z,1.01,317.0,7.0,7.0,341.0,57.0,18.0
2018-11-08T10:51:00Z,3.0,324.0,7.0,7.0,57.0,57.99,17.0
2018-11-08T11:51:00Z,2.01,52.0,8.01,8.01,359.0,57.99,17.0
2018-11-08T12:51:00Z,1.01,348.0,10.0,10.0,15.0,57.0,16.0
2018-11-08T13:51:00Z,3.0,18.0,10.0,10.0,288.0,54.0,19.0
2018-11-08T14:51:00Z,2.01,355.0,14.0,14.0,12.0,54.0,17.0
2018-11-08T15:51:00Z,3.0,325.0,8.99,8.99,333.0,57.99,17.0
2018-11-08T16:51:00Z,4.0,329.0,12.01,12.01,336.0,64.0,12.0
2018-11-08T17:51:00Z,4.99,332.0,13.0,13.0,323.0,68.0,11.0
2018-11-08T18:51:00Z,5.99,300.0,15.99,15.99,267.0,66.0,13.0
2018-11-08T19:51:00Z,3.0,329.0,15.99,15.99,289.0,75.0,7.0
2018-11-08T20:51:00Z,3.0,32.0,14.0,14.0,9.0,78.01,5.0
2018-11-08T21:51:00Z,4.0,61.0,14.0,14.0,72.0,78.01,5.0
2018-11-08T22:51:00Z,4.0,30.0,13.0,13.0,317.0,79.0,5.0
2018-11-08T23:51:00Z,4.0,357.0,15.99,15.99,74.0,75.0,5.0
2018-11-09T00:51:00Z,3.0,10.0,12.01,12.01,17.0,70.0,6.0
2018-11-09T01:51:00Z,4.0,32.0,17.0,17.0,337.0,66.99,7.0
2018-11-09T02:51:00Z,3.0,35.0,14.99,14.99,62.0,64.99,6.0
2018-11-09T03:51:00Z,2.01,92.0,13.0,13.0,13.0,64.0,5.0
2018-11-09T04:51:00Z,4.0,4.0,15.99,15.99,344.0,64.0,5.0
2018-11-09T05:51:00Z,2.01,213.0,13.0,13.0,89.0,64.99,5.0
2018-11-09T06:51:00Z,1.01,163.0,8.99,8.99,233.0,61.0,6.0
2018-11-09T07:51:00Z,0.0,,4.99,4.99,116.0,59.0,7.0
2018-11-09T08:51:00Z,0.0,,4.99,4.99,73.0,55.99,8.0
2018-11-09T09:51:00Z,1.01,7.0,2.01,2.01,23.0,55.99,9.0
2018-11-09T10:51:00Z,0.0,,2.01,2.01,348.0,51.01,11.0
2018-11-09T11:51:00Z,0.0,,4.99,4.99,109.0,48.99,12.0
2018-11-09T12:51:00Z,1.01,328.0,4.99,4.99,95.0,46.99,14.0
2018-11-09T13:51:00Z,1.01,337.0,4.0,4.0,116.0,48.0,13.0
2018-11-09T14:51:00Z,0.0,,3.0,3.0,60.0,46.99,14.0
2018-11-09T15:51:00Z,0.0,,3.0,3.0,335.0,54.0,15.0
2018-11-09T16:51:00Z,0.0,,2.01,2.01,165.0,62.01,13.0
2018-11-09T17:51:00Z,3.0,159.0,5.99,5.99,189.0,64.0,9.0
2018-11-09T18:51:00Z,3.0,175.0,7.0,7.0,187.0,66.99,9.0
2018-11-09T19:51:00Z,4.99,228.0,10.0,10.0,238.0,66.99,11.0
2018-11-09T20:51:00Z,1.01,314.0,8.01,8.01,252.0,61.0,14.0
2018-11-09T21:51:00Z,1.01,172.0,2.01,2.01,42.0,62.01,13.0
2018-11-09T22:51:00Z,0.0,,3.0,3.0,178.0,61.0,16.0
2018-11-09T23:51:00Z,0.0,,2.01,2.01,62.0,57.0,17.0
2018-11-10T00:51:00Z,0.0,,4.0,4.0,90.0,54.0,19.0
2018-11-10T01:51:00Z,0.0,,3.0,3.0,306.0,50.0,26.0
2018-11-10T02:51:00Z,0.0,,2.01,2.01,162.0,46.0,34.0
2018-11-10T03:51:00Z,0.0,,4.0,4.0,106.0,44.01,41.0
2018-11-10T04:51:00Z,0.0,,3.0,3.0,83.0,43.0,41.0
2018-11-10T05:51:00Z,0.0,,3.0,3.0,87.0,42.01,42.0
2018-11-10T06:51:00Z,1.01,352.0,3.0,3.0,355.0,45.0,34.0
2018-11-10T07:51:00Z,0.0,,3.0,3.0,75.0,42.01,38.0
2018-11-10T08:51:00Z,0.0,,1.01,1.01,340.0,43.0,35.0
2018-11-10T09:51:00Z,0.0,,2.01,2.01,130.0,41.0,39.0
2018-11-10T10:51:00Z,0.0,,3.0,3.0,97.0,39.99,40.0
2018-11-10T11:51:00Z,0.0,,1.01,1.01,345.0,42.01,37.0
2018-11-10T12:51:00Z,0.0,,3.0,3.0,94.0,42.01,36.0
2018-11-10T13:51:00Z,0.0,,2.01,2.01,122.0,43.0,34.0
2018-11-10T14:51:00Z,0.0,,2.01,2.01,117.0,39.99,38.0
2018-11-10T15:51:00Z,0.0,,1.01,1.01,131.0,46.99,33.0
2018-11-10T16:51:00Z,0.0,,2.01,2.01,112.0,55.0,26.0
2018-11-10T17:51:00Z,2.01,194.0,4.0,4.0,193.0,59.0,21.0
2018-11-10T18:51:00Z,2.01,190.0,4.0,4.0,182.0,59.0,21.0
2018-11-10T19:51:00Z,1.01,174.0,3.0,3.0,186.0,60.01,22.0
2018-11-10T20:51:00Z,2.01,202.0,4.0,4.0,186.0,63.0,20.0
2018-11-10T21:51:00Z,0.0,,4.0,4.0,302.0,64.0,20.0
2018-11-10T22:51:00Z,1.01,202.0,3.0,3.0,264.0,62.01,23.0
2018-11-10T23:51:00Z,0.0,,3.0,3.0,204.0,57.99,27.0
