datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:27:00Z,4.0,262.0,8.99,8.99,278.0,55.99,17.0
2018-11-07T01:27:00Z,4.0,76.0,5.99,5.99,256.0,48.99,20.0
2018-11-07T02:27:00Z,3.0,344.0,4.99,4.99,74.0,50.0,18.0
2018-11-07T03:27:00Z,1.01,113.0,5.99,5.99,351.0,48.0,16.0
2018-11-07T04:27:00Z,3.0,295.0,4.99,4.99,297.0,48.99,15.0
2018-11-07T05:27:00Z,3.0,316.0,4.0,4.0,312.0,48.99,10.0
2018-11-07T06:27:00Z,2.01,292.0,8.01,8.01,318.0,48.0,4.0
2018-11-07T07:27:00Z,4.0,278.0,5.99,5.99,273.0,46.99,3.0
2018-11-07T08:27:00Z,4.99,312.0,8.99,8.99,306.0,46.0,4.0
2018-11-07T09:27:00Z,5.99,317.0,10.0,10.0,314.0,46.99,4.0
2018-11-07T10:27:00Z,4.99,310.0,8.01,8.01,297.0,46.0,3.0
2018-11-07T11:27:00Z,4.0,315.0,8.99,8.99,319.0,46.0,2.0
2018-11-07T12:27:00Z,5.99,321.0,11.01,11.01,325.0,46.0,2.0
2018-11-07T13:27:00Z,4.99,307.0,8.99,8.99,309.0,46.0,3.0
2018-11-07T14:27:00Z,4.99,310.0,8.99,8.99,314.0,45.0,3.0
2018-11-07T15:27:00Z,4.0,314.0,11.01,11.01,301.0,45.0,4.0
2018-11-07T16:27:00Z,4.0,356.0,10.0,10.0,344.0,51.01,6.0
2018-11-07T17:27:00Z,5.99,321.0,13.0,13.0,336.0,53.01,6.0
2018-11-07T18:27:00Z,4.99,279.0,12.01,12.01,317.0,54.0,8.0
2018-11-07T19:27:00Z,4.99,288.0,11.01,11.01,255.0,54.0,11.0
2018-11-07T20:27:00Z,7.0,256.0,14.0,14.0,278.0,55.0,9.0
2018-11-07T21:27:00Z,8.01,272.0,14.0,14.0,299.0,54.0,10.0
2018-11-07T22:27:00Z,4.99,275.0,13.0,13.0,284.0,55.0,12.0
2018-11-07T23:27:00Z,4.99,313.0,12.01,12.01,286.0,53.01,15.0
2018-11-08T00:27:00Z,4.99,298.0,10.0,10.0,272.0,50.0,14.0
2018-11-08T01:27:00Z,4.99,83.0,10.0,10.0,99.0,43.0,16.0
2018-11-08T02:27:00Z,4.99,107.0,10.0,10.0,63.0,39.99,14.0
2018-11-08T03:27:00Z,8.99,95.0,17.0,17.0,114.0,39.99,15.0
2018-11-08T04:27:00Z,10.0,95.0,23.0,23.0,101.0,37.0,25.0
2018-11-08T05:27:00Z,12.01,92.0,20.0,20.0,83.0,35.01,25.0
2018-11-08T06:27:00Z,13.0,116.0,24.0,24.0,84.0,36.0,26.0
2018-11-08T07:27:00Z,10.0,106.0,22.01,22.01,89.0,34.0,32.0
