datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:54:00Z,3.0,340.0,7.0,7.0,328.0,55.0,16.0
2018-11-07T01:54:00Z,1.01,172.0,5.99,5.99,318.0,53.01,17.0
2018-11-07T02:54:00Z,3.0,55.0,5.99,5.99,26.0,55.0,17.0
2018-11-07T03:54:00Z,1.01,70.0,5.99,5.99,51.0,54.0,9.0
2018-11-07T04:54:00Z,3.0,3.0,8.01,8.01,342.0,54.0,12.0
2018-11-07T05:54:00Z,3.0,7.0,4.99,4.99,348.0,54.0,9.0
2018-11-07T06:54:00Z,1.01,18.0,7.0,7.0,1.0,54.0,4.0
2018-11-07T07:54:00Z,4.0,335.0,8.99,8.99,342.0,52.0,5.0
2018-11-07T08:54:00Z,4.0,357.0,10.0,10.0,345.0,51.01,5.0
2018-11-07T09:54:00Z,0.0,,8.99,8.99,340.0,48.99,5.0
2018-11-07T10:54:00Z,2.01,327.0,5.99,5.99,351.0,50.0,4.0
2018-11-07T11:54:00Z,1.01,297.0,4.99,4.99,341.0,48.99,3.0
2018-11-07T12:54:00Z,0.0,,3.0,3.0,317.0,50.0,4.0
2018-11-07T13:54:00Z,0.0,,2.01,2.01,322.0,48.0,5.0
2018-11-07T14:54:00Z,2.01,322.0,4.0,4.0,338.0,48.0,5.0
2018-11-07T15:54:00Z,2.01,357.0,4.99,4.99,327.0,48.0,6.0
2018-11-07T16:54:00Z,4.99,345.0,8.01,8.01,335.0,53.01,5.0
2018-11-07T17:54:00Z,4.99,338.0,8.99,8.99,328.0,55.99,5.0
2018-11-07T18:54:00Z,7.0,341.0,14.0,14.0,339.0,55.99,6.0
2018-11-07T19:54:00Z,7.0,338.0,14.99,14.99,1.0,55.99,7.0
2018-11-07T20:54:00Z,4.99,347.0,13.0,13.0,335.0,57.0,11.0
2018-11-07T21:54:00Z,3.0,334.0,12.01,12.01,348.0,57.0,12.0
2018-11-07T22:54:00Z,3.0,325.0,11.01,11.01,312.0,54.0,13.0
2018-11-07T23:54:00Z,4.99,340.0,10.0,10.0,332.0,53.01,12.0
2018-11-08T00:54:00Z,3.0,348.0,10.0,10.0,331.0,50.0,12.0
2018-11-08T01:54:00Z,1.01,108.0,7.0,7.0,54.0,50.0,13.0
2018-11-08T02:54:00Z,4.0,113.0,11.01,11.01,111.0,46.99,10.0
2018-11-08T03:54:00Z,4.99,104.0,17.0,17.0,124.0,45.0,18.0
2018-11-08T04:54:00Z,4.99,105.0,15.99,15.99,130.0,43.0,21.0
2018-11-08T05:54:00Z,7.0,129.0,15.99,15.99,132.0,42.01,21.0
2018-11-08T06:54:00Z,7.0,118.0,18.01,18.01,133.0,42.01,24.0
2018-11-08T07:54:00Z,8.99,115.0,21.0,21.0,122.0,39.99,27.0
2018-11-08T08:54:00Z,8.01,108.0,31.0,31.0,117.0,39.0,30.0
2018-11-08T09:54:00Z,8.01,112.0,24.0,24.0,97.0,37.99,31.0
2018-11-08T10:54:00Z,8.01,107.0,25.99,25.99,125.0,37.0,32.0
2018-11-08T11:54:00Z,8.01,110.0,24.0,24.0,116.0,37.0,31.0
2018-11-08T12:54:00Z,7.0,102.0,28.01,28.01,135.0,36.0,34.0
2018-11-08T13:54:00Z,10.0,119.0,27.0,27.0,125.0,36.0,34.0
2018-11-08T14:54:00Z,14.99,125.0,34.0,34.0,123.0,35.01,34.0
2018-11-08T15:54:00Z,10.0,115.0,32.99,32.99,149.0,37.0,28.0
2018-11-08T16:54:00Z,11.01,123.0,28.01,28.01,130.0,39.99,22.0
2018-11-08T17:54:00Z,8.99,126.0,24.0,24.0,123.0,44.01,18.0
2018-11-08T18:54:00Z,5.99,104.0,24.0,24.0,123.0,46.99,16.0
2018-11-08T19:54:00Z,8.01,119.0,24.99,24.99,123.0,48.99,15.0
2018-11-08T20:54:00Z,4.99,102.0,17.0,17.0,118.0,51.01,14.0
