datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:02:00Z,1.01,146.0,4.0,4.0,118.0,64.0,7.0
2018-11-07T01:02:00Z,2.01,291.0,4.0,4.0,170.0,45.0,29.0
2018-11-07T02:02:00Z,2.01,294.0,4.0,4.0,295.0,36.0,31.0
2018-11-07T03:02:00Z,3.0,297.0,4.99,4.99,296.0,32.0,29.0
2018-11-07T04:02:00Z,3.0,314.0,8.99,8.99,348.0,37.0,17.0
2018-11-07T05:02:00Z,1.01,269.0,8.01,8.01,321.0,35.01,18.0
2018-11-07T06:02:00Z,2.01,288.0,4.99,4.99,280.0,28.99,29.0
2018-11-07T07:02:00Z,1.01,302.0,3.0,3.0,320.0,25.0,30.0
2018-11-07T08:02:00Z,1.01,311.0,4.0,4.0,288.0,26.01,26.0
2018-11-07T09:02:00Z,0.0,,2.01,2.01,270.0,24.01,37.0
2018-11-07T10:02:00Z,0.0,,4.0,4.0,290.0,21.99,38.0
2018-11-07T11:02:00Z,0.0,,3.0,3.0,308.0,21.99,41.0
2018-11-07T12:02:00Z,0.0,,3.0,3.0,314.0,19.99,39.0
2018-11-07T13:02:00Z,0.0,,3.0,3.0,297.0,19.0,42.0
2018-11-07T14:02:00Z,0.0,,3.0,3.0,292.0,19.0,43.0
2018-11-07T15:02:00Z,1.01,300.0,3.0,3.0,300.0,18.0,47.0
2018-11-07T16:02:00Z,0.0,,2.01,2.01,301.0,30.0,34.0
2018-11-07T17:02:00Z,2.01,146.0,4.0,4.0,136.0,43.0,22.0
2018-11-07T18:02:00Z,1.01,159.0,4.99,4.99,163.0,46.99,24.0
2018-11-07T19:02:00Z,3.0,162.0,4.99,4.99,162.0,53.01,18.0
2018-11-07T20:02:00Z,3.0,138.0,4.99,4.99,168.0,57.0,21.0
2018-11-07T21:02:00Z,4.0,136.0,7.0,7.0,163.0,60.01,11.0
2018-11-07T22:02:00Z,3.0,171.0,7.0,7.0,169.0,62.01,15.0
2018-11-07T23:02:00Z,4.99,110.0,8.99,8.99,113.0,62.01,11.0
2018-11-08T00:02:00Z,4.0,57.0,12.01,12.01,95.0,59.0,10.0
2018-11-08T01:02:00Z,3.0,62.0,10.0,10.0,60.0,48.99,9.0
2018-11-08T02:02:00Z,1.01,11.0,8.01,8.01,43.0,41.0,14.0
2018-11-08T03:02:00Z,3.0,352.0,14.99,14.99,60.0,37.0,22.0
2018-11-08T04:02:00Z,4.0,341.0,14.0,14.0,32.0,41.0,23.0
2018-11-08T05:02:00Z,3.0,5.0,12.01,12.01,318.0,39.99,24.0
2018-11-08T06:02:00Z,3.0,330.0,10.0,10.0,45.0,36.0,30.0
2018-11-08T07:02:00Z,1.01,274.0,10.0,10.0,15.0,35.01,34.0
2018-11-08T08:02:00Z,3.0,37.0,7.0,7.0,322.0,32.0,41.0
2018-11-08T09:02:00Z,4.0,59.0,15.99,15.99,59.0,35.01,37.0
2018-11-08T10:02:00Z,2.01,358.0,8.01,8.01,78.0,32.0,40.0
2018-11-08T11:02:00Z,1.01,81.0,12.01,12.01,46.0,33.01,40.0
2018-11-08T12:02:00Z,2.01,36.0,14.0,14.0,74.0,30.99,43.0
2018-11-08T13:02:00Z,2.01,46.0,10.0,10.0,42.0,30.99,43.0
2018-11-08T14:02:00Z,5.99,39.0,14.99,14.99,64.0,30.99,44.0
2018-11-08T15:02:00Z,8.01,50.0,14.99,14.99,64.0,32.0,43.0
2018-11-08T16:02:00Z,7.0,53.0,18.99,18.99,28.0,35.01,39.0
2018-11-08T17:02:00Z,8.99,58.0,17.0,17.0,66.0,37.99,35.0
2018-11-08T18:02:00Z,11.01,54.0,22.01,22.01,21.0,42.01,27.0
2018-11-08T19:02:00Z,11.01,55.0,23.0,23.0,38.0,45.0,23.0
2018-11-08T20:02:00Z,11.01,55.0,23.0,23.0,86.0,46.99,19.0
2018-11-08T21:02:00Z,10.0,54.0,22.01,22.01,46.0,48.99,17.0
2018-11-08T22:02:00Z,7.0,62.0,22.01,22.01,83.0,50.0,17.0
2018-11-08T23:02:00Z,10.0,46.0,18.01,18.01,19.0,50.0,16.0
2018-11-09T00:02:00Z,8.99,49.0,20.0,20.0,59.0,48.0,17.0
2018-11-09T01:02:00Z,7.0,38.0,18.01,18.01,84.0,43.0,21.0
2018-11-09T02:02:00Z,4.0,45.0,14.99,14.99,37.0,41.0,23.0
2018-11-09T03:02:00Z,5.99,47.0,14.99,14.99,30.0,39.99,27.0
2018-11-09T04:02:00Z,4.99,32.0,13.0,13.0,55.0,37.99,29.0
2018-11-09T05:02:00Z,4.99,39.0,14.99,14.99,39.0,37.99,29.0
2018-11-09T06:02:00Z,2.01,271.0,11.01,11.01,50.0,32.0,35.0
2018-11-09T07:02:00Z,2.01,282.0,5.99,5.99,313.0,26.01,46.0
2018-11-09T08:02:00Z,1.01,320.0,5.99,5.99,343.0,26.01,42.0
2018-11-09T09:02:00Z,2.01,270.0,4.99,4.99,269.0,25.0,48.0
2018-11-09T10:02:00Z,1.01,307.0,4.0,4.0,280.0,21.0,52.0
2018-11-09T11:02:00Z,2.01,291.0,4.0,4.0,284.0,19.0,56.0
2018-11-09T12:02:00Z,2.01,279.0,4.0,4.0,266.0,18.0,57.0
2018-11-09T13:02:00Z,2.01,295.0,4.0,4.0,298.0,16.0,57.0
2018-11-09T14:02:00Z,2.01,296.0,3.0,3.0,299.0,15.01,58.0
2018-11-09T15:02:00Z,2.01,304.0,3.0,3.0,267.0,14.0,61.0
2018-11-09T16:02:00Z,0.0,,3.0,3.0,282.0,25.0,41.0
2018-11-09T17:02:00Z,4.99,167.0,8.01,8.01,172.0,41.0,34.0
2018-11-09T18:02:00Z,5.99,164.0,11.01,11.01,178.0,46.0,27.0
2018-11-09T19:02:00Z,5.99,161.0,11.01,11.01,159.0,48.0,22.0
2018-11-09T20:02:00Z,4.99,151.0,10.0,10.0,154.0,52.0,19.0
2018-11-09T21:02:00Z,4.99,153.0,8.99,8.99,150.0,54.0,18.0
