datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:47:00Z,1.01,101.0,8.01,8.01,227.0,61.0,9.0
2018-11-07T01:47:00Z,3.0,36.0,7.0,7.0,32.0,55.99,11.0
2018-11-07T02:47:00Z,0.0,,4.99,4.99,23.0,52.0,14.0
2018-11-07T03:47:00Z,1.01,151.0,4.0,4.0,221.0,51.01,14.0
2018-11-07T04:47:00Z,2.01,203.0,4.0,4.0,91.0,48.99,14.0
2018-11-07T05:47:00Z,1.01,284.0,4.0,4.0,189.0,46.0,17.0
2018-11-07T06:47:00Z,2.01,263.0,4.99,4.99,107.0,43.0,18.0
2018-11-07T07:47:00Z,1.01,153.0,2.01,2.01,37.0,42.01,18.0
2018-11-07T08:47:00Z,0.0,,3.0,3.0,14.0,41.0,19.0
2018-11-07T09:47:00Z,0.0,,3.0,3.0,227.0,39.0,22.0
2018-11-07T10:47:00Z,0.0,,4.0,4.0,143.0,37.0,22.0
2018-11-07T11:47:00Z,1.01,135.0,3.0,3.0,146.0,37.0,22.0
2018-11-07T12:47:00Z,0.0,,3.0,3.0,132.0,34.0,25.0
2018-11-07T13:47:00Z,0.0,,3.0,3.0,142.0,35.01,24.0
2018-11-07T14:47:00Z,0.0,,2.01,2.01,103.0,33.01,26.0
2018-11-07T15:47:00Z,1.01,190.0,3.0,3.0,167.0,37.0,25.0
2018-11-07T16:47:00Z,0.0,,3.0,3.0,154.0,42.01,24.0
2018-11-07T17:47:00Z,1.01,237.0,4.99,4.99,123.0,44.01,22.0
2018-11-07T18:47:00Z,3.0,222.0,5.99,5.99,233.0,48.0,20.0
2018-11-07T19:47:00Z,3.0,220.0,7.0,7.0,219.0,54.0,18.0
2018-11-07T20:47:00Z,3.0,235.0,8.01,8.01,198.0,59.0,14.0
2018-11-07T21:47:00Z,5.99,234.0,10.0,10.0,228.0,64.0,9.0
2018-11-07T22:47:00Z,8.99,252.0,13.0,13.0,246.0,66.0,8.0
2018-11-07T23:47:00Z,7.0,271.0,14.0,14.0,249.0,64.99,7.0
2018-11-08T00:47:00Z,11.01,34.0,22.01,22.01,52.0,55.99,12.0
2018-11-08T01:47:00Z,20.0,49.0,34.0,34.0,61.0,51.01,15.0
2018-11-08T02:47:00Z,7.0,90.0,28.99,28.99,52.0,48.99,16.0
2018-11-08T03:47:00Z,13.0,49.0,27.0,27.0,27.0,46.99,14.0
2018-11-08T04:47:00Z,12.01,54.0,30.0,30.0,47.0,45.0,21.0
2018-11-08T05:47:00Z,8.99,57.0,30.0,30.0,58.0,43.0,25.0
2018-11-08T06:47:00Z,10.0,54.0,30.0,30.0,65.0,42.01,26.0
2018-11-08T07:47:00Z,8.01,77.0,24.0,24.0,48.0,39.99,29.0
2018-11-08T08:47:00Z,10.0,80.0,25.99,25.99,61.0,39.0,32.0
2018-11-08T09:47:00Z,8.99,91.0,27.0,27.0,91.0,37.99,34.0
2018-11-08T10:47:00Z,21.0,66.0,30.0,30.0,58.0,37.99,34.0
2018-11-08T11:47:00Z,14.99,62.0,28.01,28.01,72.0,37.0,35.0
2018-11-08T12:47:00Z,18.99,62.0,35.99,35.99,73.0,37.0,38.0
2018-11-08T13:47:00Z,17.0,90.0,32.99,32.99,63.0,37.99,35.0
2018-11-08T14:47:00Z,21.0,76.0,32.01,32.01,84.0,37.0,33.0
2018-11-08T15:47:00Z,20.0,74.0,32.99,32.99,51.0,39.0,33.0
2018-11-08T16:47:00Z,12.01,61.0,34.0,34.0,80.0,39.99,29.0
2018-11-08T17:47:00Z,12.01,52.0,30.0,30.0,51.0,43.0,29.0
2018-11-08T18:47:00Z,18.01,60.0,34.99,34.99,65.0,45.0,25.0
2018-11-08T19:47:00Z,18.99,60.0,32.01,32.01,51.0,48.0,21.0
2018-11-08T20:47:00Z,14.99,49.0,32.01,32.01,63.0,51.01,19.0
2018-11-08T21:47:00Z,18.99,47.0,32.99,32.99,39.0,51.01,19.0
2018-11-08T22:47:00Z,20.0,62.0,37.0,37.0,58.0,50.0,18.0
2018-11-08T23:47:00Z,15.99,43.0,34.0,34.0,58.0,48.99,19.0
2018-11-09T00:47:00Z,21.0,53.0,35.99,35.99,59.0,45.0,21.0
2018-11-09T01:47:00Z,25.99,48.0,41.0,41.0,59.0,43.0,21.0
2018-11-09T02:47:00Z,14.0,45.0,38.99,38.99,63.0,43.0,20.0
2018-11-09T03:47:00Z,10.0,63.0,30.0,30.0,55.0,42.01,20.0
2018-11-09T04:47:00Z,4.0,214.0,14.99,14.99,97.0,42.01,18.0
2018-11-09T05:47:00Z,1.01,320.0,5.99,5.99,244.0,37.99,19.0
2018-11-09T06:47:00Z,7.0,93.0,12.01,12.01,117.0,39.0,20.0
2018-11-09T07:47:00Z,2.01,66.0,11.01,11.01,95.0,37.0,23.0
2018-11-09T08:47:00Z,3.0,277.0,4.0,4.0,277.0,37.0,22.0
2018-11-09T09:47:00Z,2.01,28.0,5.99,5.99,264.0,35.01,25.0
2018-11-09T10:47:00Z,4.0,49.0,4.99,4.99,58.0,36.0,24.0
2018-11-09T11:47:00Z,1.01,130.0,3.0,3.0,347.0,34.0,26.0
2018-11-09T12:47:00Z,1.01,177.0,4.99,4.99,346.0,33.01,28.0
2018-11-09T13:47:00Z,1.01,2.0,3.0,3.0,35.0,32.0,29.0
2018-11-09T14:47:00Z,1.01,274.0,4.99,4.99,23.0,32.0,30.0
2018-11-09T15:47:00Z,1.01,304.0,4.99,4.99,267.0,39.0,25.0
2018-11-09T16:47:00Z,3.0,269.0,5.99,5.99,266.0,41.0,24.0
2018-11-09T17:47:00Z,7.0,280.0,10.0,10.0,274.0,42.01,23.0
2018-11-09T18:47:00Z,4.0,200.0,8.99,8.99,292.0,45.0,21.0
2018-11-09T19:47:00Z,4.99,212.0,12.01,12.01,243.0,50.0,17.0
2018-11-09T20:47:00Z,5.99,230.0,11.01,11.01,236.0,54.0,16.0
2018-11-09T21:47:00Z,8.01,245.0,13.0,13.0,257.0,57.0,13.0
2018-11-09T22:47:00Z,7.0,243.0,13.0,13.0,256.0,59.0,13.0
2018-11-09T23:47:00Z,5.99,249.0,12.01,12.01,232.0,59.0,14.0
2018-11-10T00:47:00Z,2.01,230.0,8.01,8.01,247.0,54.0,18.0
2018-11-10T01:47:00Z,2.01,327.0,4.0,4.0,353.0,48.99,21.0
2018-11-10T02:47:00Z,0.0,,4.0,4.0,50.0,46.99,22.0
2018-11-10T03:47:00Z,0.0,,4.99,4.99,59.0,45.0,23.0
2018-11-10T04:47:00Z,1.01,91.0,3.0,3.0,33.0,42.01,27.0
2018-11-10T05:47:00Z,2.01,317.0,4.0,4.0,297.0,39.0,29.0
2018-11-10T06:47:00Z,2.01,103.0,8.01,8.01,318.0,37.0,31.0
2018-11-10T07:47:00Z,1.01,215.0,4.0,4.0,233.0,37.0,31.0
2018-11-10T08:47:00Z,1.01,16.0,4.0,4.0,33.0,36.0,32.0
2018-11-10T09:47:00Z,0.0,,3.0,3.0,110.0,34.0,35.0
2018-11-10T10:47:00Z,1.01,279.0,4.0,4.0,109.0,33.01,36.0
2018-11-10T11:47:00Z,2.01,222.0,3.0,3.0,219.0,33.01,36.0
2018-11-10T12:47:00Z,2.01,92.0,4.0,4.0,288.0,30.0,40.0
2018-11-10T13:47:00Z,0.0,,2.01,2.01,113.0,28.99,42.0
2018-11-10T14:47:00Z,1.01,115.0,3.0,3.0,144.0,28.0,44.0
2018-11-10T15:47:00Z,0.0,,2.01,2.01,126.0,34.0,37.0
2018-11-10T16:47:00Z,0.0,,3.0,3.0,270.0,36.0,33.0
2018-11-10T17:47:00Z,1.01,235.0,3.0,3.0,254.0,39.0,33.0
2018-11-10T18:47:00Z,2.01,239.0,5.99,5.99,209.0,44.01,27.0
2018-11-10T19:47:00Z,3.0,232.0,7.0,7.0,240.0,48.99,21.0
2018-11-10T20:47:00Z,4.0,224.0,8.99,8.99,240.0,55.0,17.0
2018-11-10T21:47:00Z,4.99,229.0,8.99,8.99,224.0,57.99,16.0
2018-11-10T22:47:00Z,4.0,224.0,8.99,8.99,261.0,61.0,15.0
2018-11-10T23:47:00Z,3.0,230.0,8.99,8.99,252.0,62.01,16.0
