datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:54:00Z,4.0,176.0,7.0,7.0,279.0,71.01,16.0
2018-11-07T01:54:00Z,4.99,140.0,7.0,7.0,151.0,62.01,25.0
2018-11-07T02:54:00Z,2.01,82.0,5.99,5.99,144.0,57.0,28.0
2018-11-07T03:54:00Z,4.0,41.0,4.99,4.99,46.0,57.0,32.0
2018-11-07T04:54:00Z,4.0,68.0,4.99,4.99,36.0,52.0,38.0
2018-11-07T05:54:00Z,5.99,41.0,8.99,8.99,31.0,52.0,37.0
2018-11-07T06:54:00Z,4.0,43.0,8.99,8.99,29.0,52.0,35.0
2018-11-07T07:54:00Z,4.99,62.0,7.0,7.0,55.0,46.0,44.0
2018-11-07T08:54:00Z,4.99,52.0,5.99,5.99,47.0,48.99,37.0
2018-11-07T09:54:00Z,4.0,61.0,8.01,8.01,63.0,48.99,34.0
2018-11-07T10:54:00Z,2.01,111.0,8.01,8.01,82.0,50.0,31.0
2018-11-07T11:54:00Z,4.0,57.0,5.99,5.99,33.0,46.0,37.0
2018-11-07T12:54:00Z,4.99,42.0,5.99,5.99,36.0,45.0,37.0
2018-11-07T13:54:00Z,4.0,70.0,5.99,5.99,31.0,44.01,41.0
2018-11-07T14:54:00Z,5.99,42.0,7.0,7.0,39.0,41.0,48.0
2018-11-07T15:54:00Z,4.99,38.0,7.0,7.0,50.0,54.0,27.0
2018-11-07T16:54:00Z,2.01,59.0,7.0,7.0,26.0,64.0,17.0
2018-11-07T17:54:00Z,4.0,204.0,7.0,7.0,210.0,66.0,19.0
2018-11-07T18:54:00Z,7.0,292.0,11.01,11.01,288.0,66.99,19.0
2018-11-07T19:54:00Z,4.99,292.0,10.0,10.0,295.0,70.0,16.0
2018-11-07T20:54:00Z,4.99,259.0,10.0,10.0,280.0,72.0,17.0
2018-11-07T21:54:00Z,4.0,267.0,10.0,10.0,267.0,73.0,18.0
2018-11-07T22:54:00Z,4.0,290.0,8.01,8.01,293.0,73.0,18.0
2018-11-07T23:54:00Z,3.0,234.0,7.0,7.0,285.0,73.0,17.0
2018-11-08T00:54:00Z,5.99,144.0,7.0,7.0,142.0,66.0,24.0
2018-11-08T01:54:00Z,3.0,141.0,8.01,8.01,164.0,61.0,25.0
