datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:51:00Z,3.0,17.0,15.99,15.99,359.0,73.0,9.0
2018-11-07T01:51:00Z,2.01,77.0,7.0,7.0,359.0,70.0,9.0
2018-11-07T02:51:00Z,2.01,134.0,5.99,5.99,69.0,68.0,10.0
2018-11-07T03:51:00Z,0.0,,4.99,4.99,167.0,66.99,11.0
2018-11-07T04:51:00Z,1.01,117.0,4.0,4.0,81.0,64.99,11.0
2018-11-07T05:51:00Z,3.0,353.0,4.99,4.99,329.0,66.0,9.0
2018-11-07T06:51:00Z,2.01,145.0,5.99,5.99,0.0,64.0,10.0
2018-11-07T07:51:00Z,1.01,89.0,4.99,4.99,230.0,62.01,13.0
2018-11-07T08:51:00Z,0.0,,3.0,3.0,77.0,62.01,13.0
2018-11-07T09:51:00Z,2.01,77.0,4.0,4.0,297.0,61.0,14.0
2018-11-07T10:51:00Z,3.0,302.0,4.0,4.0,282.0,59.0,14.0
2018-11-07T11:51:00Z,1.01,94.0,4.0,4.0,340.0,59.0,17.0
2018-11-07T12:51:00Z,3.0,84.0,4.99,4.99,98.0,57.99,16.0
2018-11-07T13:51:00Z,2.01,295.0,4.99,4.99,95.0,57.99,16.0
2018-11-07T14:51:00Z,0.0,,2.01,2.01,315.0,57.0,17.0
2018-11-07T15:51:00Z,3.0,13.0,4.99,4.99,2.0,61.0,16.0
2018-11-07T16:51:00Z,3.0,248.0,4.0,4.0,258.0,64.99,15.0
2018-11-07T17:51:00Z,4.0,244.0,5.99,5.99,247.0,64.99,18.0
2018-11-07T18:51:00Z,4.0,263.0,7.0,7.0,269.0,68.0,17.0
2018-11-07T19:51:00Z,4.99,243.0,10.0,10.0,262.0,66.99,17.0
2018-11-07T20:51:00Z,4.99,298.0,8.99,8.99,250.0,69.01,17.0
2018-11-07T21:51:00Z,7.0,274.0,13.0,13.0,274.0,71.01,15.0
2018-11-07T22:51:00Z,8.99,294.0,17.0,17.0,281.0,72.0,10.0
2018-11-07T23:51:00Z,8.01,311.0,15.99,15.99,293.0,71.01,7.0
2018-11-08T00:51:00Z,7.0,332.0,14.0,14.0,332.0,68.0,9.0
2018-11-08T01:51:00Z,5.99,12.0,18.01,18.01,334.0,63.0,10.0
2018-11-08T02:51:00Z,4.99,352.0,10.0,10.0,334.0,61.0,10.0
2018-11-08T03:51:00Z,4.99,70.0,10.0,10.0,52.0,60.01,9.0
2018-11-08T04:51:00Z,2.01,264.0,8.01,8.01,59.0,59.0,11.0
2018-11-08T05:51:00Z,3.0,88.0,4.99,4.99,99.0,59.0,11.0
2018-11-08T06:51:00Z,3.0,349.0,5.99,5.99,72.0,57.99,13.0
2018-11-08T07:51:00Z,3.0,323.0,5.99,5.99,286.0,55.99,15.0
2018-11-08T08:51:00Z,4.0,57.0,5.99,5.99,58.0,55.99,15.0
2018-11-08T09:51:00Z,5.99,35.0,13.0,13.0,18.0,55.99,16.0
2018-11-08T10:51:00Z,3.0,346.0,8.01,8.01,34.0,55.99,16.0
2018-11-08T11:51:00Z,3.0,227.0,4.99,4.99,293.0,55.0,16.0
