datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:21:00Z,0.0,,10.0,10.0,244.0,55.0,14.0
2018-11-07T01:21:00Z,2.01,22.0,3.0,3.0,23.0,45.0,16.0
2018-11-07T02:21:00Z,3.0,32.0,4.0,4.0,22.0,43.0,11.0
2018-11-07T03:21:00Z,1.01,34.0,4.0,4.0,22.0,41.0,11.0
2018-11-07T04:21:00Z,0.0,,3.0,3.0,8.0,39.99,14.0
2018-11-07T05:21:00Z,2.01,272.0,4.99,4.99,248.0,43.0,13.0
2018-11-07T06:21:00Z,1.01,250.0,4.99,4.99,281.0,42.01,9.0
2018-11-07T07:21:00Z,2.01,255.0,4.99,4.99,247.0,43.0,6.0
2018-11-07T08:21:00Z,4.0,239.0,7.0,7.0,241.0,43.0,4.0
2018-11-07T09:21:00Z,1.01,265.0,8.99,8.99,241.0,43.0,4.0
2018-11-07T10:21:00Z,1.01,265.0,8.01,8.01,252.0,42.01,4.0
2018-11-07T11:21:00Z,1.01,258.0,4.99,4.99,245.0,42.01,4.0
2018-11-07T12:21:00Z,3.0,269.0,8.01,8.01,342.0,42.01,3.0
2018-11-07T13:21:00Z,2.01,257.0,7.0,7.0,312.0,42.01,3.0
2018-11-07T14:21:00Z,2.01,256.0,8.99,8.99,243.0,42.01,3.0
2018-11-07T15:21:00Z,3.0,250.0,8.99,8.99,233.0,41.0,3.0
2018-11-07T16:21:00Z,3.0,246.0,8.01,8.01,243.0,45.0,5.0
2018-11-07T17:21:00Z,4.0,274.0,14.0,14.0,266.0,50.0,5.0
2018-11-07T18:21:00Z,3.0,296.0,12.01,12.01,249.0,52.0,5.0
2018-11-07T19:21:00Z,5.99,254.0,15.99,15.99,235.0,52.0,6.0
2018-11-07T20:21:00Z,7.0,233.0,18.01,18.01,240.0,52.0,8.0
2018-11-07T21:21:00Z,5.99,238.0,14.99,14.99,236.0,52.0,7.0
2018-11-07T22:21:00Z,5.99,240.0,14.0,14.0,215.0,51.01,10.0
2018-11-07T23:21:00Z,2.01,344.0,13.0,13.0,224.0,52.0,12.0
2018-11-08T00:21:00Z,3.0,70.0,10.0,10.0,94.0,48.99,14.0
2018-11-08T01:21:00Z,4.99,62.0,8.99,8.99,35.0,39.0,13.0
2018-11-08T02:21:00Z,5.99,62.0,11.01,11.01,73.0,36.0,16.0
2018-11-08T03:21:00Z,8.01,60.0,13.0,13.0,45.0,34.0,22.0
2018-11-08T04:21:00Z,8.01,61.0,14.0,14.0,50.0,30.99,32.0
2018-11-08T05:21:00Z,7.0,63.0,13.0,13.0,75.0,28.99,33.0
2018-11-08T06:21:00Z,8.01,61.0,12.01,12.01,59.0,27.0,42.0
2018-11-08T07:21:00Z,8.01,58.0,13.0,13.0,54.0,26.01,47.0
