datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:10:00Z,8.99,303.0,15.99,15.99,281.0,64.0,16.0
2018-11-07T01:10:00Z,11.01,335.0,14.99,14.99,325.0,62.01,12.0
2018-11-07T02:10:00Z,10.0,346.0,14.0,14.0,326.0,62.01,12.0
2018-11-07T03:10:00Z,8.01,1.0,13.0,13.0,337.0,62.01,13.0
2018-11-07T04:10:00Z,5.99,358.0,11.01,11.01,339.0,61.0,14.0
2018-11-07T05:10:00Z,3.0,257.0,5.99,5.99,3.0,59.0,17.0
2018-11-07T06:10:00Z,2.01,268.0,3.0,3.0,267.0,57.99,16.0
2018-11-07T07:10:00Z,4.99,109.0,7.0,7.0,112.0,55.0,11.0
2018-11-07T08:10:00Z,2.01,164.0,11.01,11.01,92.0,55.99,14.0
2018-11-07T09:10:00Z,1.01,167.0,5.99,5.99,277.0,55.0,15.0
2018-11-07T10:10:00Z,5.99,85.0,7.0,7.0,87.0,53.01,13.0
2018-11-07T11:10:00Z,7.0,90.0,10.0,10.0,101.0,52.0,15.0
2018-11-07T12:10:00Z,4.99,126.0,7.0,7.0,91.0,53.01,15.0
2018-11-07T13:10:00Z,4.0,113.0,5.99,5.99,127.0,53.01,18.0
2018-11-07T14:10:00Z,3.0,93.0,5.99,5.99,122.0,52.0,17.0
2018-11-07T15:10:00Z,3.0,149.0,5.99,5.99,172.0,54.0,21.0
2018-11-07T16:10:00Z,3.0,62.0,4.99,4.99,165.0,55.0,19.0
2018-11-07T17:10:00Z,3.0,77.0,5.99,5.99,98.0,59.0,21.0
2018-11-07T18:10:00Z,2.01,87.0,4.99,4.99,73.0,62.01,22.0
2018-11-07T19:10:00Z,5.99,255.0,8.99,8.99,263.0,63.0,21.0
2018-11-07T20:10:00Z,7.0,247.0,12.01,12.01,241.0,64.99,24.0
2018-11-07T21:10:00Z,7.0,245.0,12.01,12.01,268.0,64.99,21.0
2018-11-07T22:10:00Z,8.01,253.0,12.01,12.01,243.0,64.99,20.0
2018-11-07T23:10:00Z,8.01,259.0,13.0,13.0,256.0,64.99,22.0
2018-11-08T00:10:00Z,7.0,249.0,11.01,11.01,262.0,61.0,25.0
2018-11-08T01:10:00Z,5.99,272.0,8.99,8.99,252.0,53.01,32.0
2018-11-08T02:10:00Z,8.01,341.0,11.01,11.01,314.0,53.01,28.0
2018-11-08T03:10:00Z,4.99,7.0,10.0,10.0,349.0,54.0,26.0
2018-11-08T04:10:00Z,14.99,63.0,24.0,24.0,79.0,51.01,30.0
2018-11-08T05:10:00Z,14.99,53.0,24.0,24.0,70.0,51.01,19.0
2018-11-08T06:10:00Z,17.0,55.0,30.0,30.0,53.0,50.0,17.0
2018-11-08T07:10:00Z,21.0,59.0,32.01,32.01,73.0,50.0,18.0
2018-11-08T08:10:00Z,23.0,63.0,32.99,32.99,55.0,48.99,20.0
2018-11-08T09:10:00Z,22.01,59.0,32.99,32.99,72.0,46.99,23.0
2018-11-08T10:10:00Z,18.99,55.0,32.99,32.99,59.0,46.99,24.0
2018-11-08T11:10:00Z,18.01,51.0,32.99,32.99,57.0,45.0,24.0
2018-11-08T12:10:00Z,24.0,55.0,42.99,42.99,60.0,46.0,24.0
2018-11-08T13:10:00Z,22.01,57.0,40.0,40.0,71.0,46.0,22.0
2018-11-08T14:10:00Z,18.01,56.0,32.99,32.99,67.0,45.0,21.0
2018-11-08T15:10:00Z,18.01,67.0,34.0,34.0,80.0,46.99,17.0
2018-11-08T16:10:00Z,13.0,50.0,34.0,34.0,58.0,48.0,16.0
2018-11-08T17:10:00Z,12.01,64.0,28.01,28.01,56.0,52.0,16.0
