datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:21:00Z,0.0,,4.0,4.0,296.0,60.01,17.0
2018-11-07T01:21:00Z,0.0,,2.01,2.01,198.0,52.0,26.0
2018-11-07T02:21:00Z,0.0,,2.01,2.01,115.0,46.0,30.0
2018-11-07T03:21:00Z,1.01,117.0,2.01,2.01,111.0,44.01,32.0
2018-11-07T04:21:00Z,1.01,124.0,3.0,3.0,157.0,42.01,34.0
2018-11-07T05:21:00Z,0.0,,3.0,3.0,111.0,41.0,32.0
2018-11-07T06:21:00Z,0.0,,3.0,3.0,118.0,39.0,28.0
2018-11-07T07:21:00Z,0.0,,3.0,3.0,113.0,39.0,25.0
2018-11-07T08:21:00Z,0.0,,3.0,3.0,157.0,39.0,24.0
2018-11-07T09:21:00Z,0.0,,2.01,2.01,116.0,37.99,22.0
2018-11-07T10:21:00Z,1.01,120.0,2.01,2.01,114.0,37.99,21.0
2018-11-07T11:21:00Z,0.0,,3.0,3.0,111.0,37.0,22.0
2018-11-07T12:21:00Z,1.01,118.0,2.01,2.01,109.0,36.0,21.0
2018-11-07T13:21:00Z,0.0,,2.01,2.01,114.0,35.01,23.0
2018-11-07T14:21:00Z,1.01,115.0,2.01,2.01,115.0,35.01,21.0
2018-11-07T15:21:00Z,0.0,,2.01,2.01,117.0,35.01,24.0
2018-11-07T16:21:00Z,0.0,,2.01,2.01,114.0,37.0,27.0
2018-11-07T17:21:00Z,0.0,,2.01,2.01,141.0,46.99,29.0
2018-11-07T18:21:00Z,1.01,253.0,4.99,4.99,187.0,63.0,7.0
2018-11-07T19:21:00Z,1.01,315.0,7.0,7.0,325.0,66.0,8.0
2018-11-07T20:21:00Z,1.01,302.0,5.99,5.99,263.0,66.0,10.0
2018-11-07T23:21:00Z,1.01,249.0,7.0,7.0,272.0,61.0,9.0
2018-11-08T00:21:00Z,1.01,319.0,7.0,7.0,301.0,57.0,10.0
2018-11-08T01:21:00Z,0.0,,5.99,5.99,228.0,50.0,15.0
2018-11-08T02:21:00Z,1.01,117.0,3.0,3.0,77.0,43.0,24.0
2018-11-08T03:21:00Z,3.0,109.0,8.01,8.01,68.0,48.0,12.0
2018-11-08T04:21:00Z,2.01,83.0,12.01,12.01,123.0,50.0,10.0
2018-11-08T05:21:00Z,2.01,53.0,12.01,12.01,47.0,50.0,13.0
2018-11-08T06:21:00Z,2.01,39.0,12.01,12.01,34.0,48.0,19.0
2018-11-08T07:21:00Z,2.01,44.0,10.0,10.0,66.0,46.99,21.0
2018-11-08T08:21:00Z,1.01,25.0,8.01,8.01,58.0,45.0,24.0
2018-11-08T09:21:00Z,2.01,64.0,8.99,8.99,145.0,46.0,21.0
2018-11-08T10:21:00Z,1.01,77.0,7.0,7.0,118.0,44.01,20.0
2018-11-08T11:21:00Z,3.0,46.0,13.0,13.0,67.0,46.0,18.0
2018-11-08T12:21:00Z,1.01,47.0,13.0,13.0,73.0,42.01,20.0
2018-11-08T13:21:00Z,1.01,140.0,11.01,11.01,93.0,42.01,23.0
2018-11-08T14:21:00Z,1.01,69.0,4.0,4.0,170.0,37.0,29.0
2018-11-08T15:21:00Z,2.01,14.0,8.01,8.01,233.0,39.0,27.0
2018-11-08T16:21:00Z,2.01,256.0,11.01,11.01,242.0,42.01,26.0
2018-11-08T17:21:00Z,1.01,31.0,11.01,11.01,127.0,51.01,17.0
2018-11-08T18:21:00Z,3.0,31.0,13.0,13.0,132.0,57.0,11.0
2018-11-08T19:21:00Z,2.01,48.0,13.0,13.0,134.0,60.01,11.0
2018-11-08T20:21:00Z,3.0,70.0,12.01,12.01,129.0,62.01,9.0
2018-11-08T21:21:00Z,1.01,99.0,12.01,12.01,60.0,64.99,8.0
2018-11-08T22:21:00Z,3.0,176.0,8.01,8.01,144.0,64.0,7.0
2018-11-08T23:21:00Z,1.01,266.0,8.99,8.99,318.0,60.01,10.0
2018-11-09T00:21:00Z,0.0,,5.99,5.99,158.0,54.0,16.0
2018-11-09T01:21:00Z,0.0,,4.0,4.0,70.0,45.0,19.0
2018-11-09T02:21:00Z,1.01,65.0,3.0,3.0,124.0,41.0,22.0
2018-11-09T03:21:00Z,2.01,84.0,4.0,4.0,166.0,39.99,21.0
2018-11-09T04:21:00Z,2.01,73.0,5.99,5.99,125.0,46.0,14.0
2018-11-09T05:21:00Z,1.01,75.0,8.99,8.99,142.0,48.0,12.0
2018-11-09T06:21:00Z,1.01,115.0,5.99,5.99,136.0,46.99,12.0
2018-11-09T07:21:00Z,2.01,106.0,7.0,7.0,55.0,48.0,12.0
2018-11-09T08:21:00Z,2.01,63.0,11.01,11.01,51.0,48.99,11.0
2018-11-09T09:21:00Z,3.0,96.0,14.0,14.0,71.0,50.0,11.0
