datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:15:00Z,0.0,,2.01,2.01,108.0,64.0,13.0
2018-11-07T01:15:00Z,0.0,,1.01,1.01,92.0,53.01,18.0
2018-11-07T02:15:00Z,0.0,,0.0,0.0,256.0,46.99,22.0
2018-11-07T03:15:00Z,0.0,,0.0,0.0,284.0,44.01,26.0
2018-11-07T04:15:00Z,0.0,,1.01,1.01,256.0,41.0,31.0
2018-11-07T05:15:00Z,0.0,,1.01,1.01,191.0,37.0,34.0
2018-11-07T06:15:00Z,0.0,,2.01,2.01,354.0,35.01,39.0
2018-11-07T07:15:00Z,0.0,,1.01,1.01,276.0,33.01,43.0
2018-11-07T08:15:00Z,0.0,,1.01,1.01,277.0,32.0,44.0
2018-11-07T09:15:00Z,0.0,,0.0,0.0,279.0,28.99,47.0
2018-11-07T10:15:00Z,0.0,,0.0,0.0,0.0,27.0,50.0
2018-11-07T11:15:00Z,0.0,,1.01,1.01,264.0,27.0,46.0
2018-11-07T12:15:00Z,0.0,,1.01,1.01,246.0,26.01,49.0
2018-11-07T13:15:00Z,0.0,,0.0,0.0,276.0,26.01,49.0
2018-11-07T14:15:00Z,0.0,,0.0,0.0,0.0,24.01,48.0
2018-11-07T15:15:00Z,0.0,,1.01,1.01,257.0,25.0,55.0
2018-11-07T16:15:00Z,1.01,129.0,3.0,3.0,101.0,30.0,45.0
2018-11-07T17:15:00Z,1.01,122.0,3.0,3.0,127.0,37.0,33.0
2018-11-07T18:15:00Z,1.01,110.0,4.0,4.0,118.0,44.01,24.0
2018-11-07T19:15:00Z,1.01,151.0,4.99,4.99,111.0,51.01,19.0
2018-11-07T20:15:00Z,1.01,90.0,5.99,5.99,110.0,60.01,14.0
2018-11-07T21:15:00Z,1.01,331.0,4.99,4.99,9.0,66.99,10.0
2018-11-07T22:15:00Z,1.01,343.0,4.0,4.0,119.0,68.0,7.0
2018-11-07T23:15:00Z,1.01,322.0,3.0,3.0,14.0,69.01,7.0
2018-11-08T00:15:00Z,0.0,,2.01,2.01,301.0,60.01,11.0
2018-11-08T01:15:00Z,1.01,315.0,5.99,5.99,7.0,55.0,13.0
2018-11-08T02:15:00Z,1.01,239.0,4.99,4.99,344.0,48.99,17.0
2018-11-08T03:15:00Z,0.0,,4.0,4.0,155.0,45.0,20.0
2018-11-08T04:15:00Z,1.01,102.0,4.0,4.0,104.0,45.0,18.0
2018-11-08T05:15:00Z,0.0,,4.99,4.99,113.0,42.01,24.0
2018-11-08T06:15:00Z,0.0,,3.0,3.0,116.0,37.99,29.0
2018-11-08T07:15:00Z,1.01,278.0,3.0,3.0,111.0,32.0,39.0
