datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2018-11-07T00:18:00Z,4.99,12.0,11.01,11.01,9.0,53.01,5.0
2018-11-07T01:18:00Z,4.99,36.0,11.01,11.01,4.0,50.0,6.0
2018-11-07T02:18:00Z,5.99,36.0,11.01,11.01,14.0,48.99,6.0
2018-11-07T03:18:00Z,8.01,58.0,11.01,11.01,41.0,51.01,7.0
2018-11-07T04:18:00Z,1.01,333.0,8.99,8.99,66.0,48.99,7.0
2018-11-07T05:18:00Z,4.99,291.0,8.01,8.01,277.0,48.99,7.0
2018-11-07T06:18:00Z,8.01,286.0,12.01,12.01,272.0,48.0,10.0
2018-11-07T07:18:00Z,8.01,271.0,12.01,12.01,269.0,46.99,14.0
2018-11-07T08:18:00Z,4.99,299.0,12.01,12.01,284.0,46.99,13.0
2018-11-07T09:18:00Z,5.99,303.0,14.0,14.0,281.0,46.0,11.0
2018-11-07T10:18:00Z,1.01,336.0,13.0,13.0,294.0,44.01,12.0
2018-11-07T11:18:00Z,3.0,323.0,10.0,10.0,276.0,44.01,9.0
2018-11-07T12:18:00Z,2.01,325.0,11.01,11.01,281.0,44.01,8.0
2018-11-07T13:18:00Z,8.01,290.0,13.0,13.0,284.0,44.01,8.0
2018-11-07T14:18:00Z,4.0,302.0,12.01,12.01,291.0,43.0,6.0
2018-11-07T15:18:00Z,4.0,306.0,8.01,8.01,306.0,46.99,5.0
2018-11-07T16:18:00Z,3.0,302.0,10.0,10.0,290.0,50.0,7.0
2018-11-07T17:18:00Z,2.01,343.0,8.99,8.99,293.0,53.01,9.0
2018-11-07T18:18:00Z,3.0,301.0,11.01,11.01,281.0,55.0,10.0
2018-11-07T19:18:00Z,11.01,273.0,18.01,18.01,266.0,55.0,11.0
2018-11-07T20:18:00Z,12.01,268.0,17.0,17.0,255.0,55.99,13.0
2018-11-07T21:18:00Z,10.0,259.0,17.0,17.0,255.0,57.99,15.0
2018-11-07T22:18:00Z,10.0,264.0,20.0,20.0,254.0,55.99,16.0
2018-11-07T23:18:00Z,12.01,261.0,17.0,17.0,263.0,55.0,18.0
2018-11-08T00:18:00Z,8.99,249.0,15.99,15.99,265.0,52.0,23.0
2018-11-08T01:18:00Z,2.01,313.0,11.01,11.01,262.0,45.0,32.0
2018-11-08T02:18:00Z,8.01,53.0,13.0,13.0,43.0,44.01,27.0
2018-11-08T03:18:00Z,14.0,48.0,24.0,24.0,68.0,41.0,18.0
2018-11-08T04:18:00Z,21.0,51.0,32.01,32.01,65.0,37.99,20.0
2018-11-08T05:18:00Z,20.0,50.0,34.99,34.99,44.0,37.0,24.0
2018-11-08T06:18:00Z,22.01,53.0,34.0,34.0,49.0,36.0,27.0
2018-11-08T07:18:00Z,23.0,53.0,35.99,35.99,56.0,34.0,30.0
2018-11-08T08:18:00Z,25.99,52.0,37.0,37.0,52.0,33.01,35.0
2018-11-08T09:18:00Z,28.01,53.0,47.0,47.0,64.0,32.0,36.0
2018-11-08T10:18:00Z,27.0,49.0,42.99,42.99,52.0,30.99,37.0
2018-11-08T11:18:00Z,30.0,52.0,52.01,52.01,67.0,30.0,41.0
2018-11-08T12:18:00Z,34.99,54.0,55.01,55.01,70.0,30.0,39.0
2018-11-08T13:18:00Z,28.99,50.0,53.02,53.02,56.0,30.0,38.0
2018-11-08T14:18:00Z,31.0,49.0,55.01,55.01,79.0,30.0,33.0
2018-11-08T15:18:00Z,24.0,43.0,55.01,55.01,54.0,30.0,29.0
2018-11-08T16:18:00Z,25.99,45.0,55.01,55.01,59.0,32.0,24.0
2018-11-08T17:18:00Z,23.0,49.0,59.01,59.01,52.0,35.01,18.0
2018-11-08T18:18:00Z,24.0,47.0,52.01,52.01,16.0,37.0,18.0
2018-11-08T19:18:00Z,18.99,44.0,50.0,50.0,70.0,37.99,18.0
2018-11-08T20:18:00Z,22.01,46.0,49.01,49.01,68.0,39.99,17.0
2018-11-08T21:18:00Z,18.01,48.0,47.0,47.0,60.0,39.99,15.0
2018-11-08T22:18:00Z,14.99,45.0,40.0,40.0,60.0,39.99,15.0
