datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2020-08-09T00:45:00Z,2.0,147.0,5.99,5.99,126.0,83.0,78.0
2020-08-09T01:45:00Z,3.0,133.0,5.99,5.99,134.0,79.0,86.0
2020-08-09T02:45:00Z,3.0,143.0,7.0,7.0,141.0,79.0,87.0
2020-08-09T03:45:00Z,4.0,141.0,8.0,8.0,156.0,78.0,88.0
2020-08-09T04:45:00Z,4.0,141.0,8.0,8.0,138.0,77.0,91.0
2020-08-09T05:45:00Z,3.0,137.0,8.0,8.0,123.0,77.0,94.0
2020-08-09T06:45:00Z,4.0,147.0,13.0,13.0,102.0,76.0,97.0
2020-08-09T07:45:00Z,3.0,164.0,10.0,10.0,175.0,76.0,100.0
2020-08-09T08:45:00Z,3.0,167.0,8.0,8.0,166.0,76.0,100.0
2020-08-09T09:45:00Z,0.0,,20.0,20.0,335.0,76.0,96.0
2020-08-09T10:45:00Z,2.0,169.0,5.0,5.0,119.0,75.0,100.0
2020-08-09T11:45:00Z,7.0,143.0,14.01,14.01,125.0,75.0,100.0
2020-08-09T12:45:00Z,8.0,316.0,17.0,17.0,149.0,77.0,92.0
2020-08-09T13:45:00Z,4.0,242.0,14.99,14.99,332.0,76.0,78.0
2020-08-09T14:45:00Z,5.0,208.0,11.0,11.0,203.0,81.0,75.0
2020-08-09T15:45:00Z,3.0,150.0,5.99,5.99,103.0,87.0,60.0
2020-08-09T16:45:00Z,7.0,198.0,13.0,13.0,207.0,90.0,51.0
2020-08-09T17:45:00Z,11.0,200.0,20.0,20.0,224.0,89.0,53.0
2020-08-09T18:45:00Z,7.0,196.0,19.0,19.0,204.0,90.0,55.0
2020-08-09T19:45:00Z,8.0,205.0,16.0,16.0,210.0,91.0,55.0
2020-08-09T20:45:00Z,9.0,198.0,16.0,16.0,207.0,90.0,57.0
2020-08-09T21:45:00Z,7.0,209.0,14.01,14.01,181.0,90.0,59.0
2020-08-09T22:45:00Z,5.0,193.0,13.0,13.0,208.0,90.0,62.0
2020-08-09T23:45:00Z,5.99,203.0,12.0,12.0,200.0,88.0,65.0
2020-08-10T00:45:00Z,1.0,162.0,5.99,5.99,210.0,87.0,69.0
2020-08-10T01:45:00Z,1.0,147.0,4.0,4.0,198.0,81.0,83.0
2020-08-10T02:45:00Z,1.0,159.0,5.99,5.99,162.0,79.0,91.0
2020-08-10T03:45:00Z,4.0,189.0,7.0,7.0,198.0,80.0,88.0
2020-08-10T04:45:00Z,4.0,192.0,9.0,9.0,200.0,80.0,86.0
2020-08-10T05:45:00Z,4.0,187.0,9.0,9.0,170.0,79.0,87.0
2020-08-10T06:45:00Z,3.0,180.0,7.0,7.0,216.0,78.0,93.0
2020-08-10T07:45:00Z,0.0,,5.99,5.99,202.0,77.0,96.0
2020-08-10T08:45:00Z,0.0,,3.0,3.0,45.0,75.0,100.0
2020-08-10T09:45:00Z,0.0,,4.0,4.0,178.0,75.0,100.0
2020-08-10T10:45:00Z,5.0,170.0,12.0,12.0,213.0,77.0,92.0
2020-08-10T11:45:00Z,3.0,317.0,10.0,10.0,328.0,74.0,100.0
2020-08-10T12:45:00Z,2.0,324.0,4.0,4.0,344.0,76.0,95.0
2020-08-10T13:45:00Z,3.0,20.0,8.0,8.0,2.0,80.0,85.0
2020-08-10T14:45:00Z,8.0,43.0,43.99,43.99,329.0,63.0,96.0
