datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2020-08-09T00:11:00Z,5.0,122.0,9.0,9.0,115.0,82.0,75.0
2020-08-09T01:11:00Z,4.0,121.0,9.0,9.0,134.0,81.0,79.0
2020-08-09T02:11:00Z,5.0,83.0,9.0,9.0,105.0,79.0,86.0
2020-08-09T03:11:00Z,7.0,98.0,11.0,11.0,100.0,78.0,85.0
2020-08-09T04:11:00Z,7.0,109.0,12.0,12.0,110.0,78.0,86.0
2020-08-09T05:11:00Z,8.0,121.0,16.0,16.0,134.0,77.0,90.0
2020-08-09T06:11:00Z,8.0,112.0,16.0,16.0,110.0,76.0,93.0
2020-08-09T07:11:00Z,8.0,136.0,14.99,14.99,135.0,76.0,95.0
2020-08-09T08:11:00Z,9.0,143.0,14.99,14.99,132.0,75.0,97.0
2020-08-09T09:11:00Z,5.99,170.0,12.0,12.0,133.0,75.0,98.0
2020-08-09T10:11:00Z,3.0,178.0,20.0,20.0,302.0,76.0,95.0
2020-08-09T11:11:00Z,4.0,183.0,8.0,8.0,201.0,75.0,99.0
2020-08-09T12:11:00Z,12.0,172.0,25.0,25.0,159.0,76.0,98.0
2020-08-09T13:11:00Z,7.0,295.0,29.0,29.0,166.0,77.0,61.0
2020-08-09T14:11:00Z,7.0,160.0,16.0,16.0,186.0,75.0,81.0
2020-08-09T15:11:00Z,5.99,152.0,13.0,13.0,161.0,81.0,71.0
2020-08-09T16:11:00Z,5.99,188.0,11.0,11.0,179.0,86.0,59.0
2020-08-09T17:11:00Z,9.0,176.0,17.0,17.0,163.0,87.0,57.0
2020-08-09T18:11:00Z,8.0,196.0,18.0,18.0,191.0,87.0,59.0
2020-08-09T19:11:00Z,8.0,171.0,22.0,22.0,161.0,87.0,58.0
2020-08-09T20:11:00Z,9.0,178.0,17.0,17.0,164.0,88.0,60.0
2020-08-09T21:11:00Z,8.0,193.0,17.0,17.0,202.0,88.0,63.0
2020-08-09T22:11:00Z,5.0,204.0,14.99,14.99,188.0,88.0,62.0
2020-08-09T23:11:00Z,5.99,182.0,14.99,14.99,200.0,88.0,65.0
2020-08-10T00:11:00Z,4.0,185.0,14.01,14.01,169.0,86.0,69.0
2020-08-10T01:11:00Z,4.0,143.0,8.0,8.0,157.0,83.0,76.0
2020-08-10T02:11:00Z,4.0,116.0,7.0,7.0,135.0,80.0,84.0
2020-08-10T03:11:00Z,5.0,133.0,5.99,5.99,128.0,78.0,91.0
2020-08-10T04:11:00Z,4.0,173.0,7.0,7.0,131.0,78.0,90.0
2020-08-10T05:11:00Z,5.0,165.0,10.0,10.0,155.0,78.0,90.0
2020-08-10T06:11:00Z,5.0,148.0,9.0,9.0,198.0,77.0,90.0
2020-08-10T07:11:00Z,5.99,178.0,11.0,11.0,187.0,77.0,92.0
2020-08-10T08:11:00Z,4.0,157.0,9.0,9.0,187.0,78.0,87.0
2020-08-10T09:11:00Z,2.0,13.0,5.99,5.99,173.0,75.0,94.0
2020-08-10T10:11:00Z,5.99,144.0,9.0,9.0,141.0,74.0,98.0
2020-08-10T11:11:00Z,7.0,184.0,12.0,12.0,166.0,75.0,97.0
2020-08-10T12:11:00Z,3.0,305.0,12.0,12.0,321.0,74.0,91.0
2020-08-10T13:11:00Z,2.0,239.0,9.0,9.0,334.0,77.0,88.0
2020-08-10T14:11:00Z,21.0,304.0,51.0,51.0,294.0,72.0,79.0
2020-08-10T15:11:00Z,9.0,36.0,42.0,42.0,315.0,64.0,88.0
2020-08-10T16:11:00Z,8.0,29.0,16.0,16.0,39.0,70.0,74.0
2020-08-10T17:11:00Z,7.0,36.0,18.0,18.0,349.0,71.0,61.0
2020-08-10T18:11:00Z,7.0,123.0,12.0,12.0,52.0,76.0,57.0
2020-08-10T19:11:00Z,9.0,149.0,14.01,14.01,139.0,79.0,54.0
2020-08-10T20:11:00Z,4.0,271.0,13.0,13.0,149.0,83.0,51.0
2020-08-10T21:11:00Z,5.99,336.0,10.0,10.0,330.0,82.0,52.0
2020-08-10T22:11:00Z,8.0,329.0,16.0,16.0,318.0,81.0,53.0
2020-08-10T23:11:00Z,8.0,354.0,14.99,14.99,345.0,80.0,55.0
2020-08-11T00:11:00Z,5.0,13.0,14.01,14.01,329.0,76.0,61.0
2020-08-11T01:11:00Z,4.0,40.0,13.0,13.0,14.0,72.0,71.0
2020-08-11T02:11:00Z,4.0,40.0,7.0,7.0,45.0,69.0,80.0
2020-08-11T03:11:00Z,5.0,47.0,10.0,10.0,55.0,68.0,83.0
2020-08-11T04:11:00Z,4.0,59.0,7.0,7.0,64.0,65.0,86.0
2020-08-11T05:11:00Z,3.0,73.0,9.0,9.0,53.0,64.0,79.0
2020-08-11T06:11:00Z,4.0,84.0,8.0,8.0,104.0,62.0,78.0
2020-08-11T07:11:00Z,5.0,82.0,9.0,9.0,90.0,61.0,82.0
2020-08-11T08:11:00Z,3.0,76.0,7.0,7.0,91.0,60.0,87.0
2020-08-11T09:11:00Z,4.0,89.0,5.99,5.99,83.0,60.0,89.0
2020-08-11T10:11:00Z,3.0,73.0,7.0,7.0,104.0,59.0,90.0
2020-08-11T11:11:00Z,0.0,,5.0,5.0,54.0,58.0,91.0
2020-08-11T12:11:00Z,3.0,72.0,5.0,5.0,92.0,59.0,94.0
2020-08-11T13:11:00Z,5.99,99.0,10.0,10.0,93.0,64.0,84.0
2020-08-11T14:11:00Z,5.0,157.0,9.0,9.0,120.0,70.0,71.0
2020-08-11T15:11:00Z,5.99,151.0,12.0,12.0,151.0,74.0,61.0
2020-08-11T16:11:00Z,5.0,146.0,9.0,9.0,161.0,78.0,59.0
2020-08-11T17:11:00Z,7.0,137.0,12.0,12.0,137.0,80.0,61.0
2020-08-11T18:11:00Z,5.0,144.0,10.0,10.0,147.0,83.0,60.0
2020-08-11T19:11:00Z,5.0,169.0,11.0,11.0,190.0,84.0,60.0
2020-08-11T20:11:00Z,4.0,169.0,11.0,11.0,123.0,86.0,59.0
2020-08-11T21:11:00Z,5.0,133.0,13.0,13.0,160.0,85.0,59.0
2020-08-11T22:11:00Z,5.0,137.0,10.0,10.0,165.0,85.0,61.0
2020-08-11T23:11:00Z,7.0,143.0,13.0,13.0,136.0,85.0,63.0
