datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2019-10-22T00:29:00Z,7.0,11.0,13.0,13.0,38.0
2019-10-22T01:29:00Z,7.0,349.0,13.0,13.0,345.0
2019-10-22T02:29:00Z,8.99,350.0,18.01,18.01,355.0
2019-10-22T03:29:00Z,8.01,345.0,15.99,15.99,339.0
2019-10-22T04:29:00Z,7.0,336.0,14.99,14.99,347.0
2019-10-22T05:29:00Z,8.01,352.0,14.0,14.0,343.0
2019-10-22T06:29:00Z,5.99,340.0,13.0,13.0,0.0
2019-10-22T07:29:00Z,10.0,351.0,18.01,18.01,342.0
2019-10-22T08:29:00Z,8.99,345.0,15.99,15.99,3.0
2019-10-22T09:29:00Z,3.0,329.0,13.0,13.0,357.0
2019-10-22T10:29:00Z,4.99,6.0,12.01,12.01,11.0
2019-10-22T11:29:00Z,4.99,9.0,12.01,12.01,345.0
2019-10-22T12:29:00Z,7.0,343.0,14.0,14.0,352.0
2019-10-22T13:29:00Z,5.99,9.0,14.0,14.0,358.0
2019-10-22T14:29:00Z,4.99,55.0,14.0,14.0,17.0
2019-10-22T15:29:00Z,4.0,110.0,10.0,10.0,12.0
2019-10-22T16:29:00Z,4.99,25.0,14.0,14.0,24.0
2019-10-22T17:29:00Z,4.99,52.0,11.01,11.01,25.0
2019-10-22T18:29:00Z,4.99,53.0,11.01,11.01,321.0
2019-10-22T19:29:00Z,4.0,38.0,11.01,11.01,40.0
2019-10-22T20:29:00Z,5.99,44.0,12.01,12.01,24.0
2019-10-22T21:29:00Z,4.0,21.0,10.0,10.0,13.0
2019-10-22T22:29:00Z,4.99,26.0,12.01,12.01,21.0
2019-10-22T23:29:00Z,4.99,36.0,12.01,12.01,25.0
2019-10-23T00:29:00Z,3.0,34.0,8.01,8.01,352.0
2019-10-23T01:29:00Z,4.0,15.0,8.99,8.99,17.0
2019-10-23T02:29:00Z,3.0,2.0,7.0,7.0,19.0
2019-10-23T03:29:00Z,5.99,334.0,10.0,10.0,340.0
2019-10-23T04:29:00Z,7.0,335.0,13.0,13.0,339.0
2019-10-23T05:29:00Z,8.01,328.0,14.99,14.99,355.0
2019-10-23T06:29:00Z,8.99,341.0,14.99,14.99,354.0
2019-10-23T07:29:00Z,10.0,333.0,17.0,17.0,323.0
2019-10-23T08:29:00Z,8.99,336.0,20.0,20.0,354.0
2019-10-23T09:29:00Z,7.0,354.0,15.99,15.99,339.0
2019-10-23T10:29:00Z,5.99,2.0,15.99,15.99,11.0
2019-10-23T11:29:00Z,7.0,347.0,14.0,14.0,342.0
2019-10-23T12:29:00Z,10.0,1.0,15.99,15.99,3.0
2019-10-23T13:29:00Z,12.01,351.0,24.0,24.0,351.0
2019-10-23T14:29:00Z,8.99,358.0,23.0,23.0,353.0
2019-10-23T15:29:00Z,8.99,0.0,18.01,18.01,355.0
2019-10-23T16:29:00Z,5.99,29.0,18.99,18.99,342.0
2019-10-23T17:29:00Z,7.0,40.0,14.99,14.99,25.0
2019-10-23T18:29:00Z,10.0,23.0,23.0,23.0,31.0
2019-10-23T19:29:00Z,11.01,8.0,21.0,21.0,45.0
2019-10-23T20:29:00Z,11.01,7.0,20.0,20.0,351.0
2019-10-23T21:29:00Z,7.0,31.0,20.0,20.0,349.0
2019-10-23T22:29:00Z,7.0,29.0,20.0,20.0,21.0
2019-10-23T23:29:00Z,8.01,33.0,17.0,17.0,327.0
2019-10-24T00:29:00Z,5.99,355.0,14.0,14.0,340.0
2019-10-24T01:29:00Z,8.01,359.0,22.01,22.01,10.0
2019-10-24T02:29:00Z,7.0,54.0,18.01,18.01,24.0
2019-10-24T03:29:00Z,5.99,27.0,18.99,18.99,10.0
2019-10-24T04:29:00Z,8.01,27.0,22.01,22.01,351.0
2019-10-24T05:29:00Z,8.99,41.0,21.0,21.0,27.0
2019-10-24T06:29:00Z,8.99,4.0,21.0,21.0,15.0
2019-10-24T07:29:00Z,8.01,1.0,20.0,20.0,341.0
2019-10-24T08:29:00Z,8.99,29.0,22.01,22.01,9.0
2019-10-24T09:29:00Z,7.0,15.0,18.01,18.01,20.0
2019-10-24T10:29:00Z,11.01,332.0,18.01,18.01,306.0
2019-10-24T11:29:00Z,7.0,19.0,20.0,20.0,17.0
2019-10-24T12:29:00Z,7.0,28.0,15.99,15.99,21.0
2019-10-24T13:29:00Z,4.99,59.0,14.99,14.99,63.0
