datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2019-10-22T00:01:00Z,3.0,268.0,12.01,12.01,299.0
2019-10-22T01:01:00Z,8.01,295.0,11.01,11.01,269.0
2019-10-22T02:01:00Z,5.99,328.0,11.01,11.01,298.0
2019-10-22T03:01:00Z,8.99,310.0,11.01,11.01,305.0
2019-10-22T04:01:00Z,5.99,332.0,11.01,11.01,317.0
2019-10-22T05:01:00Z,7.0,322.0,8.99,8.99,335.0
2019-10-22T06:01:00Z,10.0,0.0,14.0,14.0,15.0
2019-10-22T07:01:00Z,8.99,347.0,17.0,17.0,13.0
2019-10-22T08:01:00Z,8.99,342.0,14.0,14.0,349.0
2019-10-22T09:01:00Z,10.0,304.0,13.0,13.0,326.0
2019-10-22T10:01:00Z,11.01,308.0,12.01,12.01,310.0
2019-10-22T11:01:00Z,13.0,317.0,15.99,15.99,321.0
2019-10-22T12:01:00Z,14.99,314.0,18.01,18.01,324.0
2019-10-22T13:01:00Z,14.0,309.0,20.0,20.0,320.0
2019-10-22T14:01:00Z,14.0,307.0,18.99,18.99,315.0
2019-10-22T15:01:00Z,7.0,14.0,18.01,18.01,316.0
2019-10-22T16:01:00Z,4.0,92.0,7.0,7.0,32.0
2019-10-22T17:01:00Z,4.99,40.0,11.01,11.01,54.0
2019-10-22T18:01:00Z,4.99,321.0,10.0,10.0,35.0
2019-10-22T19:01:00Z,5.99,298.0,11.01,11.01,312.0
2019-10-22T20:01:00Z,5.99,284.0,11.01,11.01,300.0
2019-10-22T21:01:00Z,8.01,294.0,12.01,12.01,283.0
2019-10-22T22:01:00Z,8.99,263.0,14.99,14.99,254.0
2019-10-22T23:01:00Z,7.0,254.0,13.0,13.0,252.0
2019-10-23T00:01:00Z,12.01,261.0,15.99,15.99,267.0
2019-10-23T01:01:00Z,8.99,306.0,18.99,18.99,266.0
2019-10-23T02:01:00Z,8.99,321.0,14.0,14.0,323.0
2019-10-23T03:01:00Z,12.01,335.0,17.0,17.0,328.0
2019-10-23T04:01:00Z,7.0,50.0,17.0,17.0,339.0
2019-10-23T05:01:00Z,7.0,93.0,11.01,11.01,64.0
2019-10-23T06:01:00Z,4.0,79.0,8.99,8.99,87.0
2019-10-23T07:01:00Z,4.99,28.0,8.99,8.99,54.0
2019-10-23T08:01:00Z,8.99,11.0,12.01,12.01,1.0
2019-10-23T09:01:00Z,11.01,357.0,18.01,18.01,8.0
2019-10-23T10:01:00Z,12.01,305.0,17.0,17.0,309.0
2019-10-23T11:01:00Z,11.01,337.0,18.01,18.01,314.0
2019-10-23T12:01:00Z,12.01,14.0,18.01,18.01,18.0
2019-10-23T13:01:00Z,14.0,333.0,20.0,20.0,335.0
2019-10-23T14:01:00Z,14.0,328.0,20.0,20.0,344.0
2019-10-23T15:01:00Z,12.01,16.0,23.0,23.0,331.0
2019-10-23T16:01:00Z,18.99,20.0,30.0,30.0,7.0
2019-10-23T17:01:00Z,14.0,30.0,28.01,28.01,37.0
2019-10-23T18:01:00Z,11.01,72.0,22.01,22.01,23.0
2019-10-23T19:01:00Z,15.99,78.0,23.0,23.0,79.0
2019-10-23T20:01:00Z,5.99,95.0,27.0,27.0,50.0
2019-10-23T21:01:00Z,14.0,55.0,20.0,20.0,48.0
2019-10-23T22:01:00Z,12.01,66.0,22.01,22.01,60.0
2019-10-23T23:01:00Z,12.01,72.0,20.0,20.0,69.0
2019-10-24T00:01:00Z,11.01,77.0,21.0,21.0,73.0
2019-10-24T01:01:00Z,8.99,69.0,25.99,25.99,81.0
2019-10-24T02:01:00Z,7.0,25.0,13.0,13.0,9.0
2019-10-24T03:01:00Z,8.99,66.0,18.01,18.01,30.0
2019-10-24T04:01:00Z,12.01,45.0,18.01,18.01,52.0
2019-10-24T05:01:00Z,28.01,74.0,34.99,34.99,78.0
2019-10-24T06:01:00Z,24.99,68.0,38.01,38.01,75.0
2019-10-24T07:01:00Z,28.99,71.0,37.0,37.0,68.0
2019-10-24T08:01:00Z,18.99,87.0,44.0,44.0,67.0
2019-10-24T09:01:00Z,21.0,75.0,38.01,38.01,73.0
2019-10-24T10:01:00Z,14.99,67.0,28.99,28.99,80.0
2019-10-24T11:01:00Z,14.99,54.0,22.01,22.01,40.0
2019-10-24T12:01:00Z,12.01,48.0,20.0,20.0,36.0
2019-10-24T13:01:00Z,13.0,67.0,28.01,28.01,70.0
2019-10-24T14:01:00Z,7.0,151.0,15.99,15.99,63.0
2019-10-24T15:01:00Z,8.99,122.0,15.99,15.99,132.0
2019-10-24T16:01:00Z,4.99,140.0,13.0,13.0,124.0
2019-10-24T17:01:00Z,13.0,87.0,17.0,17.0,70.0
2019-10-24T18:01:00Z,11.01,94.0,18.99,18.99,93.0
2019-10-24T19:01:00Z,11.01,112.0,18.99,18.99,75.0
2019-10-24T20:01:00Z,14.0,96.0,18.99,18.99,109.0
2019-10-24T21:01:00Z,11.01,112.0,18.99,18.99,110.0
2019-10-24T22:01:00Z,12.01,111.0,15.99,15.99,106.0
2019-10-24T23:01:00Z,11.01,123.0,17.0,17.0,113.0
2019-10-25T00:01:00Z,8.01,113.0,14.99,14.99,108.0
2019-10-25T01:01:00Z,5.99,114.0,11.01,11.01,94.0
2019-10-25T02:01:00Z,4.0,112.0,8.99,8.99,141.0
2019-10-25T03:01:00Z,4.0,100.0,7.0,7.0,105.0
2019-10-25T04:01:00Z,3.0,76.0,5.99,5.99,120.0
2019-10-25T05:01:00Z,2.01,70.0,4.0,4.0,62.0
2019-10-25T06:01:00Z,1.01,80.0,3.0,3.0,87.0
2019-10-25T07:01:00Z,2.01,93.0,2.01,2.01,92.0
2019-10-25T08:01:00Z,0.0,,2.01,2.01,82.0
2019-10-25T09:01:00Z,5.99,306.0,7.0,7.0,296.0
2019-10-25T10:01:00Z,7.0,296.0,8.99,8.99,286.0
2019-10-25T11:01:00Z,8.01,308.0,10.0,10.0,300.0
2019-10-25T12:01:00Z,10.0,316.0,13.0,13.0,313.0
2019-10-25T13:01:00Z,8.99,321.0,12.01,12.01,316.0
2019-10-25T14:01:00Z,11.01,327.0,14.0,14.0,338.0
2019-10-25T15:01:00Z,8.99,332.0,13.0,13.0,333.0
2019-10-25T16:01:00Z,5.99,348.0,13.0,13.0,344.0
2019-10-25T17:01:00Z,4.99,317.0,14.0,14.0,350.0
2019-10-25T18:01:00Z,7.0,306.0,14.99,14.99,307.0
2019-10-25T19:01:00Z,8.01,259.0,17.0,17.0,270.0
2019-10-25T20:01:00Z,12.01,259.0,23.0,23.0,260.0
2019-10-25T21:01:00Z,14.99,257.0,27.0,27.0,253.0
2019-10-25T22:01:00Z,18.01,260.0,28.01,28.01,241.0
2019-10-25T23:01:00Z,18.99,262.0,32.99,32.99,263.0
