datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2019-10-22T00:36:00Z,1.01,151.0,8.01,8.01,162.0
2019-10-22T01:36:00Z,4.0,350.0,5.99,5.99,349.0
2019-10-22T02:36:00Z,4.0,356.0,11.01,11.01,342.0
2019-10-22T03:36:00Z,5.99,357.0,12.01,12.01,8.0
2019-10-22T04:36:00Z,5.99,360.0,14.99,14.99,328.0
2019-10-22T05:36:00Z,7.0,358.0,10.0,10.0,15.0
2019-10-22T06:36:00Z,11.01,348.0,14.0,14.0,352.0
2019-10-22T07:36:00Z,11.01,339.0,17.0,17.0,345.0
2019-10-22T08:36:00Z,8.01,317.0,13.0,13.0,342.0
2019-10-22T09:36:00Z,13.0,318.0,18.01,18.01,328.0
2019-10-22T10:36:00Z,12.01,329.0,17.0,17.0,333.0
2019-10-22T11:36:00Z,12.01,329.0,17.0,17.0,316.0
2019-10-22T12:36:00Z,8.01,338.0,14.99,14.99,329.0
2019-10-22T13:36:00Z,8.99,329.0,12.01,12.01,327.0
2019-10-22T14:36:00Z,8.01,339.0,13.0,13.0,333.0
2019-10-22T15:36:00Z,3.0,8.0,8.99,8.99,343.0
2019-10-22T16:36:00Z,3.0,9.0,5.99,5.99,347.0
2019-10-22T17:36:00Z,3.0,321.0,8.01,8.01,36.0
2019-10-22T18:36:00Z,4.0,333.0,7.0,7.0,325.0
2019-10-22T19:36:00Z,5.99,335.0,8.99,8.99,321.0
2019-10-22T20:36:00Z,5.99,169.0,11.01,11.01,204.0
2019-10-22T21:36:00Z,8.99,177.0,15.99,15.99,189.0
2019-10-22T22:36:00Z,10.0,197.0,15.99,15.99,175.0
2019-10-22T23:36:00Z,8.99,190.0,17.0,17.0,181.0
2019-10-23T00:36:00Z,8.01,218.0,14.99,14.99,217.0
2019-10-23T01:36:00Z,5.99,220.0,11.01,11.01,192.0
2019-10-23T02:36:00Z,4.99,40.0,7.0,7.0,64.0
2019-10-23T03:36:00Z,4.99,43.0,8.01,8.01,55.0
2019-10-23T04:36:00Z,5.99,349.0,8.99,8.99,56.0
2019-10-23T05:36:00Z,5.99,357.0,8.99,8.99,32.0
2019-10-23T06:36:00Z,5.99,349.0,12.01,12.01,342.0
2019-10-23T07:36:00Z,7.0,357.0,14.0,14.0,326.0
2019-10-23T08:36:00Z,4.99,315.0,12.01,12.01,343.0
2019-10-23T09:36:00Z,12.01,325.0,15.99,15.99,311.0
2019-10-23T10:36:00Z,8.99,339.0,15.99,15.99,331.0
2019-10-23T11:36:00Z,8.99,351.0,15.99,15.99,344.0
2019-10-23T12:36:00Z,8.01,338.0,14.0,14.0,319.0
