datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2019-10-22T00:15:00Z,5.99,248.0,14.0,14.0,260.0
2019-10-22T01:15:00Z,4.99,310.0,10.0,10.0,276.0
2019-10-22T02:15:00Z,4.99,40.0,10.0,10.0,4.0
2019-10-22T03:15:00Z,5.99,10.0,8.01,8.01,21.0
2019-10-22T04:15:00Z,3.0,352.0,8.99,8.99,23.0
2019-10-22T05:15:00Z,4.99,12.0,7.0,7.0,6.0
2019-10-22T06:15:00Z,5.99,10.0,10.0,10.0,7.0
2019-10-22T07:15:00Z,7.0,16.0,8.99,8.99,26.0
2019-10-22T08:15:00Z,4.0,359.0,12.01,12.01,8.0
2019-10-22T09:15:00Z,4.99,358.0,14.0,14.0,2.0
2019-10-22T10:15:00Z,7.0,339.0,8.99,8.99,346.0
2019-10-22T11:15:00Z,8.99,20.0,11.01,11.01,12.0
2019-10-22T12:15:00Z,11.01,10.0,14.0,14.0,1.0
2019-10-22T13:15:00Z,8.99,5.0,17.0,17.0,346.0
2019-10-22T14:15:00Z,12.01,19.0,17.0,17.0,25.0
2019-10-22T15:15:00Z,8.01,360.0,15.99,15.99,0.0
2019-10-22T16:15:00Z,1.01,96.0,10.0,10.0,18.0
2019-10-22T17:15:00Z,2.01,238.0,4.99,4.99,209.0
2019-10-22T18:15:00Z,1.01,284.0,4.0,4.0,188.0
2019-10-22T19:15:00Z,2.01,244.0,5.99,5.99,187.0
2019-10-22T20:15:00Z,4.0,215.0,8.01,8.01,222.0
2019-10-22T21:15:00Z,5.99,324.0,8.01,8.01,337.0
2019-10-22T22:15:00Z,8.01,317.0,13.0,13.0,243.0
2019-10-22T23:15:00Z,10.0,265.0,14.0,14.0,265.0
2019-10-23T00:15:00Z,8.99,262.0,15.99,15.99,279.0
2019-10-23T01:15:00Z,8.01,330.0,13.0,13.0,281.0
2019-10-23T02:15:00Z,8.99,1.0,14.0,14.0,6.0
2019-10-23T03:15:00Z,10.0,14.0,17.0,17.0,23.0
2019-10-23T04:15:00Z,4.0,63.0,14.0,14.0,29.0
2019-10-23T05:15:00Z,4.0,124.0,5.99,5.99,67.0
2019-10-23T06:15:00Z,0.0,,5.99,5.99,139.0
2019-10-23T07:15:00Z,2.01,74.0,4.99,4.99,71.0
2019-10-23T08:15:00Z,4.0,2.0,7.0,7.0,352.0
2019-10-23T09:15:00Z,4.99,353.0,8.01,8.01,9.0
2019-10-23T10:15:00Z,5.99,10.0,13.0,13.0,10.0
2019-10-23T11:15:00Z,8.99,353.0,12.01,12.01,352.0
2019-10-23T12:15:00Z,12.01,36.0,17.0,17.0,39.0
2019-10-23T13:15:00Z,13.0,32.0,18.99,18.99,56.0
2019-10-23T14:15:00Z,12.01,15.0,18.01,18.01,4.0
2019-10-23T15:15:00Z,10.0,10.0,21.0,21.0,346.0
2019-10-23T16:15:00Z,8.99,9.0,17.0,17.0,17.0
2019-10-23T17:15:00Z,10.0,12.0,22.01,22.01,9.0
2019-10-23T18:15:00Z,4.99,219.0,22.01,22.01,0.0
2019-10-23T19:15:00Z,7.0,215.0,10.0,10.0,189.0
2019-10-23T20:15:00Z,4.99,253.0,10.0,10.0,225.0
2019-10-23T21:15:00Z,4.0,259.0,11.01,11.01,136.0
2019-10-23T22:15:00Z,4.0,333.0,11.01,11.01,187.0
2019-10-23T23:15:00Z,5.99,22.0,13.0,13.0,18.0
2019-10-24T00:15:00Z,7.0,59.0,14.0,14.0,34.0
2019-10-24T01:15:00Z,11.01,59.0,18.99,18.99,56.0
2019-10-24T02:15:00Z,10.0,28.0,17.0,17.0,33.0
2019-10-24T03:15:00Z,8.99,66.0,18.01,18.01,82.0
2019-10-24T04:15:00Z,8.99,32.0,17.0,17.0,61.0
2019-10-24T05:15:00Z,10.0,67.0,28.99,28.99,30.0
2019-10-24T06:15:00Z,7.0,22.0,27.0,27.0,20.0
2019-10-24T07:15:00Z,20.0,52.0,30.0,30.0,49.0
2019-10-24T08:15:00Z,23.0,51.0,42.01,42.01,51.0
2019-10-24T09:15:00Z,28.99,49.0,44.0,44.0,33.0
2019-10-24T10:15:00Z,14.0,33.0,42.99,42.99,60.0
2019-10-24T11:15:00Z,12.01,30.0,18.01,18.01,34.0
2019-10-24T12:15:00Z,7.0,26.0,15.99,15.99,30.0
2019-10-24T13:15:00Z,15.99,68.0,20.0,20.0,71.0
2019-10-24T14:15:00Z,12.01,86.0,20.0,20.0,73.0
2019-10-24T15:15:00Z,12.01,86.0,24.99,24.99,90.0
2019-10-24T16:15:00Z,24.0,64.0,38.01,38.01,50.0
2019-10-24T17:15:00Z,14.0,62.0,35.99,35.99,60.0
