datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2019-10-22T00:57:00Z,1.01,355.0,8.99,8.99,66.0
2019-10-22T01:57:00Z,1.01,230.0,4.0,4.0,186.0
2019-10-22T02:57:00Z,2.01,217.0,3.0,3.0,286.0
2019-10-22T03:57:00Z,2.01,208.0,4.0,4.0,222.0
2019-10-22T04:57:00Z,2.01,254.0,4.0,4.0,272.0
2019-10-22T05:57:00Z,1.01,288.0,4.0,4.0,269.0
2019-10-22T06:57:00Z,3.0,271.0,4.0,4.0,273.0
2019-10-22T07:57:00Z,2.01,292.0,4.0,4.0,295.0
2019-10-22T08:57:00Z,1.01,265.0,3.0,3.0,263.0
2019-10-22T09:57:00Z,1.01,220.0,4.0,4.0,20.0
2019-10-22T10:57:00Z,0.0,,4.0,4.0,309.0
2019-10-22T11:57:00Z,1.01,337.0,4.0,4.0,33.0
2019-10-22T12:57:00Z,4.0,38.0,4.99,4.99,39.0
2019-10-22T13:57:00Z,1.01,153.0,4.99,4.99,38.0
2019-10-22T14:57:00Z,3.0,264.0,3.0,3.0,279.0
2019-10-22T15:57:00Z,1.01,90.0,3.0,3.0,242.0
2019-10-22T16:57:00Z,0.0,,4.0,4.0,228.0
2019-10-22T17:57:00Z,4.0,260.0,5.99,5.99,263.0
2019-10-22T18:57:00Z,1.01,70.0,4.99,4.99,5.0
2019-10-22T19:57:00Z,4.0,58.0,7.0,7.0,16.0
2019-10-22T20:57:00Z,3.0,3.0,8.01,8.01,88.0
2019-10-22T21:57:00Z,4.0,72.0,10.0,10.0,45.0
2019-10-22T22:57:00Z,3.0,65.0,8.99,8.99,53.0
2019-10-22T23:57:00Z,2.01,68.0,8.99,8.99,104.0
2019-10-23T00:57:00Z,1.01,16.0,7.0,7.0,107.0
2019-10-23T01:57:00Z,1.01,149.0,4.0,4.0,164.0
2019-10-23T02:57:00Z,3.0,168.0,4.99,4.99,34.0
2019-10-23T03:57:00Z,3.0,140.0,5.99,5.99,132.0
2019-10-23T04:57:00Z,4.0,136.0,7.0,7.0,148.0
2019-10-23T05:57:00Z,3.0,157.0,7.0,7.0,143.0
2019-10-23T06:57:00Z,2.01,169.0,4.99,4.99,144.0
2019-10-23T07:57:00Z,2.01,277.0,4.99,4.99,278.0
2019-10-23T08:57:00Z,0.0,,4.0,4.0,295.0
2019-10-23T09:57:00Z,1.01,95.0,4.0,4.0,283.0
2019-10-23T10:57:00Z,1.01,63.0,3.0,3.0,274.0
2019-10-23T11:57:00Z,3.0,245.0,4.0,4.0,260.0
2019-10-23T12:57:00Z,1.01,62.0,4.99,4.99,270.0
2019-10-23T13:57:00Z,2.01,222.0,4.0,4.0,44.0
2019-10-23T14:57:00Z,4.0,287.0,5.99,5.99,278.0
2019-10-23T15:57:00Z,4.0,87.0,8.01,8.01,50.0
2019-10-23T16:57:00Z,4.0,91.0,7.0,7.0,66.0
2019-10-23T17:57:00Z,3.0,84.0,8.99,8.99,102.0
2019-10-23T18:57:00Z,7.0,95.0,18.01,18.01,88.0
2019-10-23T19:57:00Z,8.01,93.0,21.0,21.0,58.0
2019-10-23T20:57:00Z,5.99,84.0,22.01,22.01,104.0
2019-10-23T21:57:00Z,4.99,58.0,21.0,21.0,68.0
2019-10-23T22:57:00Z,8.01,87.0,24.0,24.0,31.0
2019-10-23T23:57:00Z,5.99,69.0,15.99,15.99,34.0
2019-10-24T00:57:00Z,5.99,91.0,13.0,13.0,33.0
2019-10-24T01:57:00Z,3.0,45.0,17.0,17.0,29.0
2019-10-24T02:57:00Z,4.99,55.0,15.99,15.99,31.0
2019-10-24T03:57:00Z,7.0,67.0,18.01,18.01,53.0
2019-10-24T04:57:00Z,4.0,49.0,20.0,20.0,71.0
2019-10-24T05:57:00Z,3.0,274.0,18.01,18.01,34.0
2019-10-24T06:57:00Z,5.99,56.0,18.01,18.01,67.0
2019-10-24T07:57:00Z,5.99,102.0,15.99,15.99,66.0
2019-10-24T08:57:00Z,2.01,272.0,18.99,18.99,75.0
2019-10-24T09:57:00Z,7.0,79.0,11.01,11.01,40.0
2019-10-24T10:57:00Z,2.01,76.0,17.0,17.0,18.0
2019-10-24T11:57:00Z,4.99,84.0,18.01,18.01,73.0
2019-10-24T12:57:00Z,12.01,98.0,24.0,24.0,84.0
2019-10-24T13:57:00Z,4.0,75.0,27.0,27.0,122.0
2019-10-24T14:57:00Z,3.0,93.0,21.0,21.0,99.0
2019-10-24T15:57:00Z,4.99,113.0,12.01,12.01,55.0
2019-10-24T16:57:00Z,5.99,97.0,18.99,18.99,111.0
2019-10-24T17:57:00Z,8.99,98.0,22.01,22.01,101.0
2019-10-24T18:57:00Z,8.01,97.0,23.0,23.0,98.0
2019-10-24T19:57:00Z,8.01,106.0,17.0,17.0,110.0
2019-10-24T20:57:00Z,7.0,54.0,14.0,14.0,85.0
2019-10-24T21:57:00Z,8.99,96.0,14.0,14.0,95.0
2019-10-24T22:57:00Z,7.0,95.0,13.0,13.0,120.0
2019-10-24T23:57:00Z,3.0,108.0,11.01,11.01,107.0
2019-10-25T00:57:00Z,3.0,120.0,8.01,8.01,111.0
2019-10-25T01:57:00Z,4.0,142.0,7.0,7.0,198.0
2019-10-25T02:57:00Z,4.0,158.0,8.01,8.01,144.0
2019-10-25T03:57:00Z,3.0,171.0,5.99,5.99,146.0
2019-10-25T04:57:00Z,3.0,188.0,4.0,4.0,194.0
2019-10-25T05:57:00Z,0.0,,4.0,4.0,152.0
2019-10-25T06:57:00Z,4.0,148.0,4.99,4.99,141.0
2019-10-25T07:57:00Z,1.01,160.0,8.01,8.01,135.0
2019-10-25T08:57:00Z,3.0,151.0,4.99,4.99,149.0
2019-10-25T09:57:00Z,1.01,283.0,4.99,4.99,166.0
2019-10-25T10:57:00Z,0.0,,3.0,3.0,218.0
2019-10-25T11:57:00Z,1.01,215.0,3.0,3.0,205.0
2019-10-25T12:57:00Z,1.01,273.0,3.0,3.0,214.0
2019-10-25T13:57:00Z,0.0,,2.01,2.01,291.0
2019-10-25T14:57:00Z,0.0,,3.0,3.0,211.0
2019-10-25T15:57:00Z,0.0,,2.01,2.01,226.0
2019-10-25T16:57:00Z,2.01,61.0,4.0,4.0,315.0
2019-10-25T17:57:00Z,1.01,45.0,4.99,4.99,58.0
2019-10-25T18:57:00Z,4.0,294.0,11.01,11.01,308.0
2019-10-25T19:57:00Z,8.99,299.0,17.0,17.0,292.0
2019-10-25T20:57:00Z,12.01,305.0,18.99,18.99,304.0
