datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2019-10-22T00:09:00Z,10.0,34.0,28.99,28.99,30.0
2019-10-22T01:09:00Z,7.0,31.0,18.99,18.99,28.0
2019-10-22T02:09:00Z,7.0,19.0,14.0,14.0,25.0
2019-10-22T03:09:00Z,7.0,36.0,14.0,14.0,12.0
2019-10-22T04:09:00Z,7.0,21.0,17.0,17.0,350.0
2019-10-22T05:09:00Z,4.99,21.0,13.0,13.0,28.0
2019-10-22T06:09:00Z,5.99,19.0,18.99,18.99,25.0
2019-10-22T07:09:00Z,8.01,22.0,15.99,15.99,20.0
2019-10-22T08:09:00Z,10.0,5.0,18.01,18.01,17.0
2019-10-22T09:09:00Z,10.0,14.0,18.99,18.99,10.0
2019-10-22T10:09:00Z,8.99,16.0,20.0,20.0,2.0
2019-10-22T11:09:00Z,7.0,23.0,17.0,17.0,44.0
2019-10-22T12:09:00Z,8.01,28.0,17.0,17.0,17.0
2019-10-22T13:09:00Z,8.99,11.0,15.99,15.99,19.0
2019-10-22T14:09:00Z,10.0,18.0,23.0,23.0,6.0
2019-10-22T15:09:00Z,8.01,19.0,18.99,18.99,17.0
2019-10-22T16:09:00Z,10.0,26.0,18.99,18.99,17.0
2019-10-22T17:09:00Z,8.01,21.0,22.01,22.01,1.0
2019-10-22T18:09:00Z,10.0,34.0,20.0,20.0,10.0
2019-10-22T19:09:00Z,11.01,22.0,22.01,22.01,23.0
2019-10-22T20:09:00Z,8.01,37.0,18.01,18.01,37.0
2019-10-22T21:09:00Z,7.0,41.0,20.0,20.0,9.0
2019-10-22T22:09:00Z,8.99,42.0,20.0,20.0,46.0
2019-10-22T23:09:00Z,3.0,45.0,14.99,14.99,34.0
2019-10-23T00:09:00Z,5.99,35.0,14.99,14.99,13.0
2019-10-23T01:09:00Z,4.0,11.0,11.01,11.01,0.0
2019-10-23T02:09:00Z,5.99,16.0,10.0,10.0,22.0
2019-10-23T03:09:00Z,11.01,24.0,20.0,20.0,8.0
2019-10-23T04:09:00Z,12.01,23.0,23.0,23.0,19.0
2019-10-23T05:09:00Z,14.0,28.0,28.01,28.01,16.0
2019-10-23T06:09:00Z,12.01,25.0,28.99,28.99,21.0
2019-10-23T07:09:00Z,14.0,25.0,28.01,28.01,11.0
2019-10-23T08:09:00Z,14.0,27.0,28.01,28.01,18.0
2019-10-23T09:09:00Z,13.0,25.0,23.0,23.0,20.0
2019-10-23T10:09:00Z,12.01,30.0,25.99,25.99,9.0
2019-10-23T11:09:00Z,12.01,28.0,27.0,27.0,26.0
2019-10-23T12:09:00Z,13.0,28.0,23.0,23.0,74.0
2019-10-23T13:09:00Z,8.99,27.0,27.0,27.0,14.0
2019-10-23T14:09:00Z,8.99,23.0,25.99,25.99,18.0
2019-10-23T15:09:00Z,17.0,20.0,31.0,31.0,19.0
2019-10-23T16:09:00Z,22.01,19.0,35.99,35.99,15.0
2019-10-23T17:09:00Z,21.0,22.0,38.01,38.01,9.0
2019-10-23T18:09:00Z,13.0,34.0,31.0,31.0,40.0
2019-10-23T19:09:00Z,18.99,38.0,35.99,35.99,27.0
2019-10-23T20:09:00Z,15.99,31.0,37.0,37.0,17.0
2019-10-23T21:09:00Z,18.01,28.0,34.0,34.0,18.0
2019-10-23T22:09:00Z,18.01,29.0,34.99,34.99,41.0
2019-10-23T23:09:00Z,17.0,29.0,32.01,32.01,26.0
2019-10-24T00:09:00Z,17.0,30.0,31.0,31.0,39.0
2019-10-24T01:09:00Z,13.0,21.0,32.99,32.99,29.0
2019-10-24T02:09:00Z,14.0,23.0,27.0,27.0,35.0
2019-10-24T03:09:00Z,14.0,31.0,31.0,31.0,24.0
2019-10-24T04:09:00Z,21.0,33.0,38.99,38.99,15.0
2019-10-24T05:09:00Z,27.0,29.0,41.0,41.0,24.0
2019-10-24T06:09:00Z,20.0,28.0,41.0,41.0,23.0
2019-10-24T07:09:00Z,13.0,14.0,32.01,32.01,24.0
