datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2019-10-22T00:33:00Z,4.99,334.0,8.99,8.99,333.0
2019-10-22T01:33:00Z,8.01,346.0,11.01,11.01,345.0
2019-10-22T02:33:00Z,8.01,357.0,11.01,11.01,6.0
2019-10-22T03:33:00Z,8.01,9.0,12.01,12.01,1.0
2019-10-22T04:33:00Z,8.01,10.0,11.01,11.01,21.0
2019-10-22T05:33:00Z,7.0,19.0,11.01,11.01,9.0
2019-10-22T06:33:00Z,5.99,0.0,11.01,11.01,353.0
2019-10-22T07:33:00Z,7.0,354.0,11.01,11.01,359.0
2019-10-22T08:33:00Z,8.01,2.0,14.0,14.0,0.0
2019-10-22T09:33:00Z,8.01,359.0,13.0,13.0,9.0
2019-10-22T10:33:00Z,8.01,354.0,12.01,12.01,8.0
2019-10-22T11:33:00Z,11.01,346.0,18.01,18.01,13.0
2019-10-22T12:33:00Z,12.01,343.0,18.01,18.01,350.0
2019-10-22T13:33:00Z,10.0,2.0,17.0,17.0,359.0
2019-10-22T14:33:00Z,10.0,352.0,17.0,17.0,39.0
2019-10-22T15:33:00Z,8.99,348.0,14.99,14.99,352.0
2019-10-22T16:33:00Z,4.99,351.0,13.0,13.0,4.0
2019-10-22T17:33:00Z,4.99,337.0,8.01,8.01,344.0
2019-10-22T18:33:00Z,4.0,325.0,8.01,8.01,337.0
2019-10-22T19:33:00Z,4.99,332.0,8.99,8.99,347.0
2019-10-22T20:33:00Z,4.99,331.0,8.99,8.99,332.0
2019-10-22T21:33:00Z,7.0,322.0,14.0,14.0,311.0
2019-10-22T22:33:00Z,8.99,327.0,15.99,15.99,315.0
2019-10-22T23:33:00Z,4.99,327.0,14.99,14.99,344.0
2019-10-23T00:33:00Z,3.0,320.0,8.99,8.99,309.0
2019-10-23T01:33:00Z,8.99,346.0,15.99,15.99,321.0
2019-10-23T02:33:00Z,8.99,351.0,20.0,20.0,359.0
2019-10-23T03:33:00Z,8.99,349.0,15.99,15.99,359.0
2019-10-23T04:33:00Z,7.0,4.0,14.0,14.0,352.0
2019-10-23T05:33:00Z,5.99,23.0,13.0,13.0,34.0
2019-10-23T06:33:00Z,5.99,41.0,8.99,8.99,33.0
2019-10-23T07:33:00Z,4.99,52.0,8.01,8.01,22.0
2019-10-23T08:33:00Z,5.99,65.0,8.01,8.01,62.0
2019-10-23T09:33:00Z,3.0,52.0,7.0,7.0,53.0
2019-10-23T10:33:00Z,7.0,19.0,8.99,8.99,21.0
2019-10-23T11:33:00Z,10.0,354.0,14.99,14.99,341.0
2019-10-23T12:33:00Z,10.0,342.0,14.99,14.99,352.0
2019-10-23T13:33:00Z,8.01,346.0,17.0,17.0,354.0
2019-10-23T14:33:00Z,8.01,347.0,17.0,17.0,10.0
2019-10-23T15:33:00Z,8.99,344.0,15.99,15.99,349.0
2019-10-23T16:33:00Z,8.01,341.0,18.01,18.01,355.0
2019-10-23T17:33:00Z,5.99,340.0,11.01,11.01,11.0
2019-10-23T18:33:00Z,4.99,343.0,8.99,8.99,336.0
2019-10-23T19:33:00Z,4.0,24.0,12.01,12.01,4.0
2019-10-23T20:33:00Z,5.99,12.0,14.99,14.99,352.0
2019-10-23T21:33:00Z,5.99,338.0,17.0,17.0,41.0
2019-10-23T22:33:00Z,8.99,339.0,18.01,18.01,322.0
