datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2019-10-22T00:29:00Z,3.0,3.0,13.0,13.0,41.0
2019-10-22T01:29:00Z,4.99,334.0,8.99,8.99,348.0
2019-10-22T02:29:00Z,2.01,26.0,8.99,8.99,338.0
2019-10-22T03:29:00Z,7.0,337.0,11.01,11.01,335.0
2019-10-22T04:29:00Z,4.99,26.0,10.0,10.0,331.0
2019-10-22T05:29:00Z,5.99,18.0,11.01,11.01,22.0
2019-10-22T06:29:00Z,1.01,36.0,13.0,13.0,31.0
2019-10-22T07:29:00Z,2.01,29.0,8.01,8.01,15.0
2019-10-22T08:29:00Z,5.99,344.0,11.01,11.01,338.0
2019-10-22T09:29:00Z,5.99,19.0,10.0,10.0,325.0
2019-10-22T10:29:00Z,3.0,30.0,8.99,8.99,44.0
2019-10-22T11:29:00Z,2.01,35.0,11.01,11.01,319.0
2019-10-22T12:29:00Z,3.0,40.0,5.99,5.99,19.0
2019-10-22T13:29:00Z,2.01,13.0,7.0,7.0,43.0
2019-10-22T14:29:00Z,0.0,,4.99,4.99,337.0
2019-10-22T15:29:00Z,2.01,313.0,3.0,3.0,285.0
2019-10-22T16:29:00Z,1.01,24.0,4.0,4.0,60.0
2019-10-22T17:29:00Z,3.0,227.0,4.99,4.99,245.0
2019-10-22T18:29:00Z,3.0,214.0,5.99,5.99,220.0
2019-10-22T19:29:00Z,3.0,240.0,7.0,7.0,255.0
2019-10-22T20:29:00Z,4.99,266.0,11.01,11.01,268.0
2019-10-22T21:29:00Z,5.99,252.0,12.01,12.01,259.0
2019-10-22T22:29:00Z,7.0,263.0,11.01,11.01,269.0
2019-10-22T23:29:00Z,4.99,242.0,11.01,11.01,243.0
2019-10-23T00:29:00Z,8.01,222.0,11.01,11.01,236.0
2019-10-23T01:29:00Z,3.0,160.0,11.01,11.01,194.0
2019-10-23T02:29:00Z,4.99,194.0,7.0,7.0,191.0
2019-10-23T03:29:00Z,4.0,331.0,5.99,5.99,335.0
2019-10-23T04:29:00Z,2.01,2.0,5.99,5.99,20.0
2019-10-23T05:29:00Z,4.0,326.0,7.0,7.0,326.0
2019-10-23T06:29:00Z,2.01,2.0,4.99,4.99,324.0
2019-10-23T07:29:00Z,5.99,334.0,8.99,8.99,326.0
2019-10-23T08:29:00Z,4.99,349.0,11.01,11.01,339.0
2019-10-23T09:29:00Z,3.0,6.0,11.01,11.01,347.0
2019-10-23T10:29:00Z,4.0,5.0,10.0,10.0,332.0
2019-10-23T11:29:00Z,4.99,360.0,17.0,17.0,331.0
2019-10-23T12:29:00Z,5.99,349.0,12.01,12.01,352.0
2019-10-23T13:29:00Z,8.99,348.0,15.99,15.99,342.0
2019-10-23T14:29:00Z,4.0,28.0,17.0,17.0,330.0
2019-10-23T15:29:00Z,3.0,14.0,7.0,7.0,14.0
2019-10-23T16:29:00Z,4.0,33.0,8.01,8.01,2.0
2019-10-23T17:29:00Z,4.0,253.0,10.0,10.0,314.0
2019-10-23T18:29:00Z,7.0,89.0,13.0,13.0,98.0
2019-10-23T19:29:00Z,8.01,51.0,17.0,17.0,60.0
2019-10-23T20:29:00Z,7.0,44.0,20.0,20.0,68.0
2019-10-23T21:29:00Z,8.01,45.0,23.0,23.0,69.0
2019-10-23T22:29:00Z,8.99,44.0,21.0,21.0,58.0
2019-10-23T23:29:00Z,8.01,56.0,24.0,24.0,63.0
2019-10-24T00:29:00Z,7.0,40.0,17.0,17.0,7.0
2019-10-24T01:29:00Z,5.99,34.0,14.99,14.99,59.0
2019-10-24T02:29:00Z,8.01,43.0,18.99,18.99,64.0
2019-10-24T03:29:00Z,17.0,48.0,32.99,32.99,57.0
2019-10-24T04:29:00Z,17.0,49.0,32.99,32.99,46.0
2019-10-24T05:29:00Z,11.01,55.0,37.0,37.0,60.0
2019-10-24T06:29:00Z,8.01,41.0,22.01,22.01,74.0
2019-10-24T07:29:00Z,8.01,48.0,27.0,27.0,57.0
2019-10-24T08:29:00Z,10.0,44.0,25.99,25.99,39.0
2019-10-24T09:29:00Z,8.99,54.0,28.01,28.01,62.0
2019-10-24T10:29:00Z,8.01,35.0,25.99,25.99,60.0
2019-10-24T11:29:00Z,4.99,0.0,25.99,25.99,53.0
2019-10-24T12:29:00Z,7.0,49.0,20.0,20.0,53.0
2019-10-24T13:29:00Z,8.99,68.0,28.99,28.99,58.0
2019-10-24T14:29:00Z,3.0,63.0,14.0,14.0,76.0
2019-10-24T15:29:00Z,4.99,63.0,14.99,14.99,78.0
2019-10-24T16:29:00Z,13.0,72.0,22.01,22.01,63.0
2019-10-24T17:29:00Z,8.01,85.0,23.0,23.0,98.0
2019-10-24T18:29:00Z,11.01,64.0,21.0,21.0,87.0
2019-10-24T19:29:00Z,8.99,66.0,21.0,21.0,56.0
2019-10-24T20:29:00Z,7.0,94.0,14.99,14.99,53.0
2019-10-24T21:29:00Z,5.99,97.0,14.0,14.0,87.0
2019-10-24T22:29:00Z,3.0,113.0,14.0,14.0,103.0
2019-10-24T23:29:00Z,3.0,103.0,8.01,8.01,154.0
2019-10-25T00:29:00Z,5.99,192.0,10.0,10.0,184.0
2019-10-25T01:29:00Z,1.01,144.0,8.99,8.99,197.0
2019-10-25T02:29:00Z,4.0,68.0,8.01,8.01,70.0
2019-10-25T03:29:00Z,1.01,111.0,5.99,5.99,59.0
2019-10-25T04:29:00Z,4.0,348.0,5.99,5.99,336.0
2019-10-25T05:29:00Z,3.0,336.0,8.01,8.01,314.0
2019-10-25T06:29:00Z,0.0,,4.99,4.99,333.0
2019-10-25T07:29:00Z,2.01,346.0,3.0,3.0,327.0
2019-10-25T08:29:00Z,4.0,13.0,5.99,5.99,13.0
2019-10-25T09:29:00Z,1.01,23.0,4.99,4.99,329.0
2019-10-25T10:29:00Z,1.01,153.0,3.0,3.0,184.0
2019-10-25T11:29:00Z,2.01,71.0,3.0,3.0,78.0
2019-10-25T12:29:00Z,0.0,,2.01,2.01,63.0
2019-10-25T13:29:00Z,3.0,76.0,4.0,4.0,88.0
2019-10-25T14:29:00Z,1.01,100.0,4.0,4.0,107.0
2019-10-25T15:29:00Z,1.01,335.0,3.0,3.0,311.0
2019-10-25T16:29:00Z,0.0,,3.0,3.0,338.0
2019-10-25T17:29:00Z,0.0,,2.01,2.01,225.0
2019-10-25T18:29:00Z,2.01,187.0,4.0,4.0,170.0
2019-10-25T19:29:00Z,3.0,193.0,5.99,5.99,201.0
2019-10-25T20:29:00Z,4.0,223.0,7.0,7.0,206.0
2019-10-25T21:29:00Z,4.99,229.0,10.0,10.0,238.0
2019-10-25T22:29:00Z,5.99,212.0,10.0,10.0,201.0
2019-10-25T23:29:00Z,8.01,194.0,11.01,11.01,230.0
