datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2019-10-22T00:36:00Z,11.01,24.0,22.01,22.01,36.0
2019-10-22T01:36:00Z,7.0,27.0,18.01,18.01,16.0
2019-10-22T02:36:00Z,4.0,346.0,13.0,13.0,5.0
2019-10-22T03:36:00Z,8.99,326.0,13.0,13.0,329.0
2019-10-22T04:36:00Z,5.99,343.0,14.99,14.99,328.0
2019-10-22T05:36:00Z,8.99,336.0,15.99,15.99,345.0
2019-10-22T06:36:00Z,8.99,355.0,14.0,14.0,346.0
2019-10-22T07:36:00Z,8.01,357.0,14.99,14.99,355.0
2019-10-22T08:36:00Z,8.01,333.0,14.0,14.0,340.0
2019-10-22T09:36:00Z,7.0,342.0,14.0,14.0,339.0
2019-10-22T10:36:00Z,7.0,329.0,13.0,13.0,343.0
2019-10-22T11:36:00Z,4.99,345.0,11.01,11.01,355.0
2019-10-22T12:36:00Z,8.01,317.0,11.01,11.01,322.0
2019-10-22T13:36:00Z,5.99,338.0,13.0,13.0,352.0
2019-10-22T14:36:00Z,7.0,344.0,14.0,14.0,354.0
2019-10-22T15:36:00Z,7.0,5.0,13.0,13.0,332.0
2019-10-22T16:36:00Z,8.01,6.0,12.01,12.01,6.0
2019-10-22T17:36:00Z,5.99,22.0,10.0,10.0,31.0
2019-10-22T18:36:00Z,5.99,29.0,12.01,12.01,352.0
2019-10-22T19:36:00Z,8.99,28.0,14.0,14.0,30.0
2019-10-22T20:36:00Z,8.99,22.0,15.99,15.99,25.0
2019-10-22T21:36:00Z,8.01,16.0,14.99,14.99,11.0
2019-10-22T22:36:00Z,8.99,9.0,14.99,14.99,8.0
2019-10-22T23:36:00Z,5.99,15.0,14.99,14.99,0.0
2019-10-23T00:36:00Z,8.01,18.0,13.0,13.0,18.0
2019-10-23T01:36:00Z,4.0,336.0,11.01,11.01,14.0
2019-10-23T02:36:00Z,5.99,359.0,11.01,11.01,347.0
2019-10-23T03:36:00Z,8.01,353.0,14.99,14.99,0.0
2019-10-23T04:36:00Z,8.99,5.0,17.0,17.0,7.0
2019-10-23T05:36:00Z,11.01,352.0,21.0,21.0,0.0
2019-10-23T06:36:00Z,11.01,355.0,24.0,24.0,337.0
2019-10-23T07:36:00Z,12.01,8.0,23.0,23.0,0.0
2019-10-23T08:36:00Z,7.0,345.0,21.0,21.0,349.0
2019-10-23T09:36:00Z,7.0,349.0,15.99,15.99,342.0
2019-10-23T10:36:00Z,7.0,345.0,15.99,15.99,354.0
2019-10-23T11:36:00Z,4.0,352.0,13.0,13.0,3.0
2019-10-23T12:36:00Z,10.0,13.0,14.99,14.99,343.0
2019-10-23T13:36:00Z,7.0,26.0,20.0,20.0,355.0
2019-10-23T14:36:00Z,8.01,347.0,15.99,15.99,2.0
2019-10-23T15:36:00Z,14.0,355.0,28.99,28.99,354.0
2019-10-23T16:36:00Z,21.0,3.0,35.99,35.99,0.0
2019-10-23T17:36:00Z,15.99,14.0,34.99,34.99,359.0
2019-10-23T18:36:00Z,22.01,19.0,35.99,35.99,23.0
2019-10-23T19:36:00Z,23.0,16.0,34.0,34.0,15.0
2019-10-23T20:36:00Z,20.0,18.0,34.99,34.99,8.0
2019-10-23T21:36:00Z,18.99,21.0,32.01,32.01,25.0
2019-10-23T22:36:00Z,20.0,8.0,32.99,32.99,14.0
