datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:29:00Z,13.0,224.0,15.99,15.99,212.0,80.01,14.0
2019-10-26T01:29:00Z,10.0,248.0,17.0,17.0,210.0,77.0,15.0
2019-10-26T02:29:00Z,10.0,254.0,14.99,14.99,259.0,75.99,16.0
2019-10-26T03:29:00Z,12.01,261.0,17.0,17.0,251.0,73.99,16.0
2019-10-26T04:29:00Z,11.01,270.0,15.99,15.99,273.0,73.99,18.0
2019-10-26T05:29:00Z,5.99,270.0,15.99,15.99,285.0,72.0,18.0
2019-10-26T06:29:00Z,5.99,327.0,8.01,8.01,278.0,75.0,17.0
2019-10-26T07:29:00Z,4.99,314.0,7.0,7.0,332.0,72.0,18.0
2019-10-26T08:29:00Z,5.99,28.0,8.99,8.99,20.0,71.01,19.0
2019-10-26T09:29:00Z,4.99,49.0,8.99,8.99,26.0,70.0,18.0
2019-10-26T10:29:00Z,5.99,38.0,8.99,8.99,37.0,70.0,18.0
2019-10-26T11:29:00Z,4.99,32.0,7.0,7.0,27.0,70.0,14.0
2019-10-26T12:29:00Z,4.0,28.0,7.0,7.0,33.0,71.01,15.0
2019-10-26T13:29:00Z,4.99,11.0,5.99,5.99,8.0,69.01,15.0
2019-10-26T14:29:00Z,3.0,55.0,8.99,8.99,21.0,68.0,14.0
2019-10-26T15:29:00Z,3.0,46.0,4.99,4.99,26.0,72.0,15.0
2019-10-26T16:29:00Z,4.0,49.0,8.01,8.01,25.0,73.99,15.0
2019-10-26T17:29:00Z,4.99,38.0,10.0,10.0,6.0,73.99,19.0
2019-10-26T18:29:00Z,4.99,43.0,10.0,10.0,15.0,73.99,20.0
2019-10-26T19:29:00Z,4.0,57.0,8.01,8.01,53.0,75.0,22.0
2019-10-26T20:29:00Z,4.0,73.0,8.01,8.01,31.0,75.99,21.0
2019-10-26T21:29:00Z,4.0,70.0,8.01,8.01,85.0,77.0,21.0
2019-10-26T22:29:00Z,4.0,275.0,8.01,8.01,239.0,82.0,19.0
2019-10-26T23:29:00Z,8.99,200.0,12.01,12.01,224.0,80.01,17.0
2019-10-27T00:29:00Z,7.0,205.0,11.01,11.01,218.0,77.0,19.0
2019-10-27T01:29:00Z,3.0,181.0,8.01,8.01,201.0,71.01,23.0
2019-10-27T02:29:00Z,4.99,123.0,8.01,8.01,138.0,70.0,26.0
2019-10-27T03:29:00Z,5.99,118.0,7.0,7.0,112.0,68.0,24.0
2019-10-27T04:29:00Z,4.99,100.0,8.01,8.01,107.0,69.01,25.0
2019-10-27T05:29:00Z,2.01,58.0,5.99,5.99,98.0,69.01,30.0
2019-10-27T06:29:00Z,3.0,34.0,8.99,8.99,20.0,64.0,31.0
2019-10-27T07:29:00Z,8.99,31.0,18.99,18.99,19.0,60.01,32.0
2019-10-27T08:29:00Z,14.99,355.0,24.99,24.99,19.0,57.0,15.0
2019-10-27T09:29:00Z,14.0,350.0,30.0,30.0,338.0,55.0,15.0
2019-10-27T10:29:00Z,12.01,359.0,27.0,27.0,354.0,52.0,18.0
2019-10-27T11:29:00Z,11.01,4.0,25.99,25.99,8.0,50.0,20.0
2019-10-27T12:29:00Z,13.0,12.0,28.99,28.99,346.0,48.99,20.0
2019-10-27T13:29:00Z,10.0,14.0,31.0,31.0,357.0,46.99,22.0
2019-10-27T14:29:00Z,8.99,6.0,35.99,35.99,25.0,46.99,21.0
2019-10-27T15:29:00Z,10.0,38.0,31.0,31.0,356.0,48.0,24.0
2019-10-27T16:29:00Z,12.01,31.0,27.0,27.0,35.0,51.01,22.0
2019-10-27T17:29:00Z,13.0,12.0,28.99,28.99,344.0,52.0,21.0
2019-10-27T18:29:00Z,14.0,12.0,32.99,32.99,42.0,54.0,19.0
2019-10-27T19:29:00Z,13.0,13.0,34.0,34.0,2.0,55.99,18.0
2019-10-27T20:29:00Z,11.01,16.0,35.99,35.99,342.0,59.0,16.0
2019-10-27T21:29:00Z,10.0,38.0,28.01,28.01,13.0,60.01,16.0
2019-10-27T22:29:00Z,10.0,16.0,24.0,24.0,55.0,60.01,16.0
2019-10-27T23:29:00Z,10.0,28.0,24.99,24.99,15.0,60.01,16.0
2019-10-28T00:29:00Z,10.0,20.0,24.0,24.0,358.0,57.0,17.0
2019-10-28T01:29:00Z,11.01,7.0,25.99,25.99,340.0,54.0,18.0
2019-10-28T02:29:00Z,10.0,14.0,27.0,27.0,6.0,54.0,18.0
2019-10-28T03:29:00Z,8.99,49.0,22.01,22.01,28.0,53.01,19.0
2019-10-28T04:29:00Z,8.01,9.0,23.0,23.0,27.0,53.01,18.0
2019-10-28T05:29:00Z,14.0,350.0,24.0,24.0,329.0,53.01,17.0
2019-10-28T06:29:00Z,8.99,45.0,24.99,24.99,17.0,53.01,13.0
2019-10-28T07:29:00Z,10.0,15.0,24.99,24.99,28.0,51.01,15.0
2019-10-28T08:29:00Z,11.01,358.0,25.99,25.99,329.0,51.01,14.0
2019-10-28T09:29:00Z,11.01,355.0,21.0,21.0,345.0,50.0,14.0
2019-10-28T10:29:00Z,8.99,11.0,18.01,18.01,338.0,50.0,14.0
2019-10-28T11:29:00Z,8.99,25.0,18.99,18.99,34.0,50.0,13.0
2019-10-28T12:29:00Z,5.99,36.0,18.99,18.99,353.0,48.0,14.0
2019-10-28T13:29:00Z,4.99,33.0,13.0,13.0,5.0,48.0,14.0
2019-10-28T14:29:00Z,4.0,48.0,8.99,8.99,34.0,46.99,14.0
2019-10-28T15:29:00Z,4.99,46.0,13.0,13.0,29.0,52.0,12.0
2019-10-28T16:29:00Z,4.99,33.0,14.99,14.99,13.0,55.0,12.0
2019-10-28T17:29:00Z,4.99,46.0,12.01,12.01,33.0,59.0,11.0
2019-10-28T18:29:00Z,4.0,56.0,11.01,11.01,341.0,61.0,10.0
2019-10-28T19:29:00Z,4.99,74.0,8.99,8.99,32.0,61.0,10.0
2019-10-28T20:29:00Z,4.0,76.0,8.99,8.99,101.0,64.99,9.0
2019-10-28T21:29:00Z,4.99,228.0,8.99,8.99,71.0,68.0,8.0
2019-10-28T22:29:00Z,8.99,200.0,12.01,12.01,216.0,69.01,10.0
2019-10-28T23:29:00Z,12.01,215.0,14.99,14.99,216.0,66.0,10.0
