datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:01:00Z,18.99,260.0,37.0,37.0,257.0,75.0,17.0
2019-10-26T01:01:00Z,11.01,270.0,25.99,25.99,264.0,71.01,21.0
2019-10-26T02:01:00Z,13.0,292.0,17.0,17.0,278.0,66.99,23.0
2019-10-26T03:01:00Z,14.0,310.0,22.01,22.01,295.0,68.0,23.0
2019-10-26T04:01:00Z,14.99,307.0,24.0,24.0,321.0,68.0,23.0
2019-10-26T05:01:00Z,15.99,312.0,21.0,21.0,326.0,69.01,21.0
2019-10-26T06:01:00Z,8.01,341.0,24.0,24.0,324.0,71.01,21.0
2019-10-26T07:01:00Z,8.99,334.0,14.99,14.99,340.0,71.01,20.0
2019-10-26T08:01:00Z,4.0,353.0,14.0,14.0,335.0,71.01,20.0
2019-10-26T09:01:00Z,14.0,316.0,17.0,17.0,319.0,69.01,22.0
2019-10-26T10:01:00Z,15.99,306.0,21.0,21.0,312.0,64.99,27.0
2019-10-26T11:01:00Z,8.01,356.0,22.01,22.01,323.0,70.0,21.0
2019-10-26T12:01:00Z,17.0,318.0,24.99,24.99,323.0,66.0,25.0
2019-10-26T13:01:00Z,14.0,306.0,22.01,22.01,336.0,64.99,26.0
2019-10-26T14:01:00Z,17.0,312.0,23.0,23.0,316.0,64.99,29.0
2019-10-26T15:01:00Z,17.0,308.0,22.01,22.01,298.0,64.99,29.0
2019-10-26T16:01:00Z,11.01,320.0,21.0,21.0,319.0,66.99,25.0
2019-10-26T17:01:00Z,2.01,98.0,13.0,13.0,320.0,70.0,28.0
2019-10-26T18:01:00Z,4.0,124.0,7.0,7.0,140.0,72.0,27.0
2019-10-26T19:01:00Z,4.0,128.0,8.99,8.99,128.0,73.99,23.0
2019-10-26T20:01:00Z,8.99,257.0,14.0,14.0,270.0,72.0,25.0
2019-10-26T21:01:00Z,7.0,269.0,14.0,14.0,262.0,73.0,21.0
2019-10-26T22:01:00Z,8.99,256.0,14.0,14.0,241.0,73.99,20.0
2019-10-26T23:01:00Z,10.0,267.0,18.01,18.01,258.0,73.0,24.0
2019-10-27T00:01:00Z,8.99,266.0,14.99,14.99,269.0,72.0,27.0
2019-10-27T01:01:00Z,7.0,273.0,12.01,12.01,261.0,70.0,25.0
2019-10-27T02:01:00Z,8.01,308.0,10.0,10.0,293.0,66.99,25.0
2019-10-27T03:01:00Z,11.01,302.0,14.99,14.99,293.0,64.99,33.0
2019-10-27T04:01:00Z,14.0,303.0,18.01,18.01,313.0,64.0,39.0
2019-10-27T05:01:00Z,12.01,297.0,18.01,18.01,320.0,64.0,38.0
2019-10-27T06:01:00Z,4.0,322.0,14.99,14.99,292.0,60.01,47.0
2019-10-27T07:01:00Z,3.0,72.0,8.99,8.99,315.0,59.0,48.0
2019-10-27T08:01:00Z,10.0,103.0,12.01,12.01,112.0,53.01,43.0
2019-10-27T09:01:00Z,22.01,68.0,32.99,32.99,54.0,51.01,24.0
2019-10-27T10:01:00Z,28.01,50.0,44.98,44.98,56.0,51.01,9.0
2019-10-27T11:01:00Z,15.99,80.0,32.99,32.99,55.0,50.0,7.0
2019-10-27T12:01:00Z,12.01,90.0,31.0,31.0,69.0,46.99,8.0
2019-10-27T13:01:00Z,25.99,73.0,41.0,41.0,50.0,48.99,6.0
2019-10-27T14:01:00Z,8.01,51.0,32.99,32.99,65.0,45.0,9.0
2019-10-27T15:01:00Z,17.0,60.0,28.01,28.01,25.0,46.99,10.0
2019-10-27T16:01:00Z,17.0,73.0,28.01,28.01,69.0,48.0,15.0
2019-10-27T17:01:00Z,12.01,57.0,25.99,25.99,60.0,48.99,14.0
2019-10-27T18:01:00Z,14.0,70.0,22.01,22.01,91.0,52.0,14.0
2019-10-27T19:01:00Z,18.01,69.0,24.99,24.99,63.0,54.0,12.0
2019-10-27T20:01:00Z,14.99,80.0,24.99,24.99,95.0,55.99,11.0
2019-10-27T21:01:00Z,23.0,68.0,37.0,37.0,68.0,55.99,9.0
2019-10-27T22:01:00Z,20.0,70.0,34.99,34.99,73.0,55.0,9.0
2019-10-27T23:01:00Z,18.01,60.0,27.0,27.0,63.0,55.0,11.0
2019-10-28T00:01:00Z,10.0,60.0,21.0,21.0,71.0,54.0,13.0
2019-10-28T01:01:00Z,11.01,42.0,20.0,20.0,62.0,52.0,15.0
2019-10-28T02:01:00Z,4.99,47.0,17.0,17.0,34.0,50.0,16.0
2019-10-28T03:01:00Z,10.0,11.0,14.99,14.99,15.0,48.99,16.0
2019-10-28T04:01:00Z,15.99,53.0,24.0,24.0,49.0,48.99,16.0
