datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:36:00Z,12.01,241.0,18.01,18.01,231.0,69.01,21.0
2019-10-26T01:36:00Z,11.01,333.0,18.01,18.01,247.0,64.0,27.0
2019-10-26T02:36:00Z,14.0,329.0,18.99,18.99,326.0,64.0,27.0
2019-10-26T03:36:00Z,8.99,348.0,21.0,21.0,332.0,62.01,26.0
2019-10-26T04:36:00Z,3.0,269.0,17.0,17.0,340.0,64.99,21.0
2019-10-26T05:36:00Z,10.0,338.0,14.0,14.0,342.0,63.0,23.0
2019-10-26T06:36:00Z,4.99,159.0,10.0,10.0,344.0,66.0,20.0
2019-10-26T07:36:00Z,5.99,195.0,8.99,8.99,189.0,64.99,20.0
2019-10-26T08:36:00Z,4.99,202.0,8.01,8.01,192.0,64.99,20.0
2019-10-26T09:36:00Z,7.0,206.0,8.99,8.99,203.0,64.0,20.0
2019-10-26T10:36:00Z,4.0,212.0,8.99,8.99,198.0,63.0,19.0
2019-10-26T11:36:00Z,4.99,218.0,8.01,8.01,197.0,63.0,20.0
2019-10-26T12:36:00Z,5.99,340.0,8.99,8.99,337.0,61.0,25.0
2019-10-26T13:36:00Z,7.0,329.0,10.0,10.0,332.0,62.01,21.0
2019-10-26T14:36:00Z,4.99,291.0,8.01,8.01,302.0,62.01,21.0
2019-10-26T15:36:00Z,4.0,169.0,5.99,5.99,167.0,64.99,20.0
2019-10-26T16:36:00Z,8.01,156.0,12.01,12.01,155.0,66.0,22.0
2019-10-26T17:36:00Z,8.99,169.0,14.99,14.99,171.0,66.99,21.0
2019-10-26T18:36:00Z,8.99,150.0,14.99,14.99,153.0,70.0,21.0
2019-10-26T19:36:00Z,7.0,168.0,14.0,14.0,169.0,72.0,22.0
2019-10-26T20:36:00Z,8.01,182.0,14.0,14.0,175.0,71.01,22.0
2019-10-26T21:36:00Z,8.99,183.0,14.99,14.99,175.0,71.01,20.0
2019-10-26T22:36:00Z,7.0,192.0,14.0,14.0,148.0,73.99,19.0
2019-10-26T23:36:00Z,8.01,205.0,14.0,14.0,175.0,71.01,22.0
2019-10-27T00:36:00Z,7.0,230.0,12.01,12.01,174.0,66.99,25.0
2019-10-27T01:36:00Z,5.99,265.0,8.99,8.99,240.0,61.0,32.0
2019-10-27T02:36:00Z,5.99,301.0,8.01,8.01,308.0,60.01,35.0
2019-10-27T03:36:00Z,4.99,257.0,10.0,10.0,338.0,60.01,34.0
2019-10-27T04:36:00Z,7.0,233.0,8.01,8.01,225.0,59.0,37.0
2019-10-27T05:36:00Z,4.99,171.0,8.01,8.01,185.0,57.99,37.0
2019-10-27T06:36:00Z,5.99,103.0,12.01,12.01,189.0,53.01,44.0
2019-10-27T07:36:00Z,8.01,37.0,15.99,15.99,88.0,45.0,32.0
2019-10-27T08:36:00Z,14.0,358.0,23.0,23.0,343.0,42.01,32.0
2019-10-27T09:36:00Z,13.0,4.0,32.01,32.01,25.0,43.0,12.0
2019-10-27T10:36:00Z,23.0,1.0,42.01,42.01,10.0,43.0,8.0
2019-10-27T11:36:00Z,24.0,359.0,51.0,51.0,20.0,39.99,10.0
2019-10-27T12:36:00Z,17.0,19.0,51.0,51.0,1.0,39.0,11.0
2019-10-27T13:36:00Z,14.0,25.0,32.01,32.01,1.0,37.0,15.0
2019-10-27T14:36:00Z,21.0,4.0,41.0,41.0,15.0,36.0,19.0
2019-10-27T15:36:00Z,21.0,360.0,42.99,42.99,33.0,37.99,23.0
2019-10-27T16:36:00Z,21.0,6.0,47.0,47.0,32.0,39.99,21.0
2019-10-27T17:36:00Z,18.99,8.0,47.0,47.0,12.0,43.0,21.0
2019-10-27T18:36:00Z,18.01,13.0,45.99,45.99,24.0,46.0,17.0
2019-10-27T19:36:00Z,20.0,2.0,44.0,44.0,354.0,46.99,17.0
2019-10-27T20:36:00Z,18.99,15.0,49.01,49.01,39.0,48.0,15.0
2019-10-27T21:36:00Z,17.0,18.0,38.99,38.99,42.0,48.99,16.0
2019-10-27T22:36:00Z,10.0,34.0,28.99,28.99,18.0,50.0,17.0
2019-10-27T23:36:00Z,8.99,17.0,22.01,22.01,13.0,46.99,19.0
2019-10-28T00:36:00Z,18.01,7.0,30.0,30.0,26.0,43.0,22.0
2019-10-28T01:36:00Z,10.0,38.0,34.99,34.99,18.0,42.01,21.0
2019-10-28T02:36:00Z,13.0,12.0,25.99,25.99,86.0,41.0,23.0
2019-10-28T03:36:00Z,14.0,354.0,25.99,25.99,22.0,39.99,24.0
2019-10-28T04:36:00Z,14.99,5.0,38.99,38.99,1.0,41.0,21.0
2019-10-28T05:36:00Z,11.01,10.0,24.99,24.99,28.0,39.99,21.0
2019-10-28T06:36:00Z,8.01,69.0,17.0,17.0,27.0,42.01,17.0
2019-10-28T07:36:00Z,11.01,357.0,14.0,14.0,351.0,41.0,14.0
2019-10-28T08:36:00Z,8.01,37.0,15.99,15.99,354.0,42.01,12.0
2019-10-28T09:36:00Z,8.99,3.0,14.0,14.0,29.0,42.01,10.0
