datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:15:00Z,10.0,279.0,21.0,21.0,281.0,81.0,14.0
2019-10-26T01:15:00Z,8.99,318.0,17.0,17.0,300.0,73.99,19.0
2019-10-26T02:15:00Z,13.0,0.0,18.99,18.99,1.0,71.01,20.0
2019-10-26T03:15:00Z,8.99,12.0,18.99,18.99,13.0,69.01,23.0
2019-10-26T04:15:00Z,11.01,6.0,15.99,15.99,353.0,69.01,23.0
2019-10-26T05:15:00Z,11.01,6.0,17.0,17.0,6.0,70.0,22.0
2019-10-26T06:15:00Z,4.99,2.0,18.99,18.99,1.0,69.01,22.0
2019-10-26T07:15:00Z,7.0,46.0,8.01,8.01,48.0,66.99,23.0
2019-10-26T08:15:00Z,3.0,290.0,8.01,8.01,12.0,70.0,21.0
2019-10-26T09:15:00Z,4.99,343.0,8.01,8.01,333.0,66.99,24.0
2019-10-26T10:15:00Z,13.0,12.0,20.0,20.0,34.0,68.0,26.0
2019-10-26T11:15:00Z,12.01,2.0,18.99,18.99,19.0,69.01,23.0
2019-10-26T12:15:00Z,8.01,346.0,20.0,20.0,26.0,68.0,24.0
2019-10-26T13:15:00Z,7.0,351.0,17.0,17.0,22.0,64.99,28.0
2019-10-26T14:15:00Z,14.0,14.0,21.0,21.0,2.0,68.0,26.0
2019-10-26T15:15:00Z,11.01,1.0,18.99,18.99,352.0,66.99,27.0
2019-10-26T16:15:00Z,2.01,301.0,18.99,18.99,354.0,71.01,27.0
2019-10-26T17:15:00Z,3.0,276.0,4.0,4.0,283.0,72.0,27.0
2019-10-26T18:15:00Z,4.0,265.0,8.01,8.01,330.0,75.0,25.0
2019-10-26T19:15:00Z,4.0,220.0,8.99,8.99,218.0,77.0,24.0
2019-10-26T20:15:00Z,4.99,219.0,10.0,10.0,231.0,77.0,18.0
2019-10-26T21:15:00Z,5.99,221.0,12.01,12.01,252.0,80.01,18.0
2019-10-26T22:15:00Z,4.99,241.0,13.0,13.0,247.0,80.01,18.0
2019-10-26T23:15:00Z,7.0,243.0,14.99,14.99,258.0,81.0,21.0
2019-10-27T00:15:00Z,5.99,280.0,15.99,15.99,230.0,78.01,24.0
2019-10-27T01:15:00Z,3.0,304.0,10.0,10.0,259.0,73.0,24.0
2019-10-27T02:15:00Z,4.0,35.0,5.99,5.99,340.0,66.0,25.0
2019-10-27T03:15:00Z,5.99,339.0,8.01,8.01,323.0,66.99,29.0
2019-10-27T04:15:00Z,4.99,336.0,11.01,11.01,336.0,64.0,42.0
2019-10-27T05:15:00Z,4.0,320.0,8.01,8.01,337.0,60.01,53.0
2019-10-27T06:15:00Z,4.99,28.0,8.99,8.99,344.0,57.99,58.0
2019-10-27T07:15:00Z,3.0,16.0,7.0,7.0,334.0,57.99,55.0
2019-10-27T08:15:00Z,4.99,111.0,14.99,14.99,128.0,55.0,26.0
2019-10-27T09:15:00Z,34.99,36.0,50.0,50.0,38.0,55.0,26.0
2019-10-27T10:15:00Z,31.0,42.0,55.99,55.99,30.0,54.0,13.0
2019-10-27T11:15:00Z,31.0,35.0,49.01,49.01,30.0,54.0,6.0
2019-10-27T12:15:00Z,18.99,46.0,50.0,50.0,30.0,53.01,5.0
2019-10-27T13:15:00Z,32.99,50.0,55.01,55.01,27.0,52.0,6.0
2019-10-27T14:15:00Z,17.0,41.0,45.99,45.99,60.0,48.99,9.0
2019-10-27T15:15:00Z,20.0,36.0,28.01,28.01,53.0,48.99,11.0
2019-10-27T16:15:00Z,4.99,46.0,28.01,28.01,28.0,52.0,12.0
2019-10-27T17:15:00Z,10.0,20.0,24.99,24.99,42.0,53.01,14.0
2019-10-27T18:15:00Z,10.0,30.0,22.01,22.01,48.0,57.0,11.0
2019-10-27T19:15:00Z,14.0,36.0,28.99,28.99,16.0,57.99,10.0
2019-10-27T20:15:00Z,22.01,41.0,34.0,34.0,39.0,57.99,9.0
2019-10-27T21:15:00Z,15.99,26.0,45.99,45.99,41.0,60.01,7.0
2019-10-27T22:15:00Z,11.01,52.0,28.01,28.01,77.0,60.01,11.0
2019-10-27T23:15:00Z,8.01,45.0,20.0,20.0,49.0,60.01,12.0
2019-10-28T00:15:00Z,17.0,25.0,23.0,23.0,18.0,57.99,12.0
2019-10-28T01:15:00Z,4.0,68.0,25.99,25.99,34.0,55.99,13.0
2019-10-28T02:15:00Z,11.01,32.0,25.99,25.99,35.0,52.0,15.0
2019-10-28T03:15:00Z,14.99,20.0,21.0,21.0,23.0,52.0,16.0
2019-10-28T04:15:00Z,8.01,93.0,42.01,42.01,17.0,52.0,15.0
2019-10-28T05:15:00Z,4.0,119.0,31.0,31.0,24.0,52.0,15.0
2019-10-28T06:15:00Z,3.0,310.0,14.0,14.0,0.0,50.0,16.0
2019-10-28T07:15:00Z,0.0,,5.99,5.99,66.0,48.99,17.0
2019-10-28T08:15:00Z,2.01,87.0,7.0,7.0,62.0,48.0,17.0
2019-10-28T09:15:00Z,7.0,66.0,10.0,10.0,68.0,48.0,15.0
2019-10-28T10:15:00Z,2.01,239.0,7.0,7.0,65.0,48.99,16.0
2019-10-28T11:15:00Z,1.01,187.0,5.99,5.99,67.0,48.99,16.0
2019-10-28T12:15:00Z,4.0,48.0,7.0,7.0,37.0,48.0,15.0
2019-10-28T13:15:00Z,3.0,58.0,12.01,12.01,58.0,48.0,12.0
2019-10-28T14:15:00Z,2.01,41.0,5.99,5.99,64.0,48.0,11.0
2019-10-28T15:15:00Z,2.01,60.0,4.0,4.0,76.0,48.99,11.0
2019-10-28T16:15:00Z,1.01,203.0,4.0,4.0,71.0,57.0,10.0
2019-10-28T17:15:00Z,4.99,174.0,8.01,8.01,158.0,60.01,10.0
2019-10-28T18:15:00Z,5.99,181.0,10.0,10.0,184.0,60.01,11.0
2019-10-28T19:15:00Z,4.99,235.0,10.0,10.0,198.0,62.01,12.0
2019-10-28T20:15:00Z,5.99,236.0,10.0,10.0,207.0,64.99,12.0
2019-10-28T21:15:00Z,7.0,252.0,14.99,14.99,265.0,66.0,11.0
2019-10-28T22:15:00Z,5.99,239.0,12.01,12.01,263.0,68.0,11.0
2019-10-28T23:15:00Z,5.99,239.0,12.01,12.01,221.0,70.0,11.0
