datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:57:00Z,8.01,282.0,17.0,17.0,306.0,78.01,16.0
2019-10-26T01:57:00Z,8.01,281.0,14.99,14.99,288.0,73.0,18.0
2019-10-26T02:57:00Z,8.01,289.0,13.0,13.0,285.0,72.0,19.0
2019-10-26T03:57:00Z,7.0,286.0,13.0,13.0,282.0,71.01,21.0
2019-10-26T04:57:00Z,8.01,290.0,11.01,11.01,289.0,71.01,22.0
2019-10-26T05:57:00Z,5.99,296.0,11.01,11.01,288.0,70.0,23.0
2019-10-26T06:57:00Z,4.0,274.0,7.0,7.0,296.0,66.0,27.0
2019-10-26T07:57:00Z,1.01,269.0,4.0,4.0,306.0,64.99,28.0
2019-10-26T08:57:00Z,0.0,,5.99,5.99,263.0,64.99,26.0
2019-10-26T09:57:00Z,1.01,279.0,5.99,5.99,0.0,63.0,27.0
2019-10-26T10:57:00Z,2.01,240.0,4.99,4.99,207.0,62.01,29.0
2019-10-26T11:57:00Z,2.01,353.0,5.99,5.99,212.0,63.0,26.0
2019-10-26T12:57:00Z,2.01,278.0,8.01,8.01,23.0,59.0,32.0
2019-10-26T13:57:00Z,3.0,209.0,4.0,4.0,173.0,63.0,27.0
2019-10-26T14:57:00Z,2.01,183.0,4.99,4.99,232.0,59.0,32.0
2019-10-26T15:57:00Z,2.01,250.0,4.99,4.99,59.0,64.99,30.0
2019-10-26T16:57:00Z,1.01,171.0,3.0,3.0,69.0,71.01,27.0
2019-10-26T17:57:00Z,4.0,52.0,7.0,7.0,61.0,72.0,26.0
2019-10-26T18:57:00Z,4.0,138.0,8.01,8.01,176.0,73.99,24.0
2019-10-26T19:57:00Z,4.0,33.0,8.99,8.99,90.0,78.01,23.0
2019-10-26T20:57:00Z,3.0,6.0,8.99,8.99,20.0,80.01,21.0
2019-10-26T21:57:00Z,4.0,259.0,8.01,8.01,20.0,82.0,19.0
2019-10-26T22:57:00Z,4.99,34.0,10.0,10.0,40.0,80.01,21.0
2019-10-26T23:57:00Z,3.0,34.0,8.01,8.01,7.0,79.0,20.0
2019-10-27T00:57:00Z,1.01,240.0,4.0,4.0,18.0,73.99,27.0
2019-10-27T01:57:00Z,3.0,340.0,5.99,5.99,297.0,70.0,28.0
2019-10-27T02:57:00Z,1.01,273.0,4.0,4.0,147.0,66.0,32.0
2019-10-27T03:57:00Z,1.01,246.0,4.99,4.99,211.0,64.0,34.0
2019-10-27T04:57:00Z,1.01,230.0,4.0,4.0,238.0,63.0,36.0
2019-10-27T05:57:00Z,7.0,105.0,15.99,15.99,89.0,64.0,29.0
2019-10-27T06:57:00Z,12.01,103.0,23.0,23.0,96.0,57.99,18.0
2019-10-27T07:57:00Z,8.01,108.0,23.0,23.0,88.0,55.0,21.0
2019-10-27T08:57:00Z,5.99,68.0,28.01,28.01,58.0,55.99,15.0
2019-10-27T09:57:00Z,8.99,52.0,27.0,27.0,69.0,55.0,10.0
2019-10-27T10:57:00Z,5.99,80.0,31.0,31.0,22.0,52.0,14.0
2019-10-27T11:57:00Z,7.0,93.0,20.0,20.0,48.0,51.01,14.0
2019-10-27T12:57:00Z,8.99,69.0,28.01,28.01,97.0,48.99,15.0
2019-10-27T13:57:00Z,5.99,80.0,28.99,28.99,45.0,46.99,20.0
2019-10-27T14:57:00Z,10.0,58.0,32.01,32.01,55.0,46.99,22.0
2019-10-27T15:57:00Z,5.99,37.0,22.01,22.01,51.0,48.99,24.0
2019-10-27T16:57:00Z,7.0,82.0,20.0,20.0,30.0,51.01,22.0
2019-10-27T17:57:00Z,10.0,64.0,28.99,28.99,115.0,52.0,22.0
2019-10-27T18:57:00Z,7.0,69.0,32.01,32.01,56.0,55.0,19.0
2019-10-27T19:57:00Z,13.0,52.0,28.01,28.01,36.0,55.99,18.0
2019-10-27T20:57:00Z,13.0,57.0,31.0,31.0,48.0,57.0,17.0
2019-10-27T21:57:00Z,12.01,59.0,28.99,28.99,35.0,57.99,15.0
2019-10-27T22:57:00Z,11.01,56.0,30.0,30.0,33.0,57.99,16.0
2019-10-27T23:57:00Z,7.0,60.0,23.0,23.0,31.0,57.99,16.0
2019-10-28T00:57:00Z,4.99,52.0,24.0,24.0,77.0,55.0,17.0
2019-10-28T01:57:00Z,4.99,67.0,14.99,14.99,61.0,54.0,18.0
2019-10-28T02:57:00Z,4.0,292.0,11.01,11.01,249.0,52.0,19.0
2019-10-28T03:57:00Z,5.99,42.0,15.99,15.99,56.0,53.01,18.0
2019-10-28T04:57:00Z,4.99,99.0,18.99,18.99,77.0,53.01,17.0
2019-10-28T05:57:00Z,5.99,54.0,22.01,22.01,49.0,53.01,17.0
2019-10-28T06:57:00Z,8.99,94.0,18.99,18.99,80.0,51.01,17.0
2019-10-28T07:57:00Z,8.99,97.0,21.0,21.0,93.0,51.01,15.0
2019-10-28T08:57:00Z,5.99,148.0,13.0,13.0,153.0,48.99,17.0
2019-10-28T09:57:00Z,7.0,144.0,13.0,13.0,128.0,48.0,17.0
2019-10-28T10:57:00Z,4.0,136.0,14.0,14.0,158.0,48.0,17.0
2019-10-28T11:57:00Z,4.0,133.0,10.0,10.0,171.0,48.0,16.0
2019-10-28T12:57:00Z,5.99,151.0,8.99,8.99,150.0,48.0,16.0
2019-10-28T13:57:00Z,3.0,124.0,7.0,7.0,138.0,46.0,16.0
2019-10-28T14:57:00Z,2.01,150.0,3.0,3.0,158.0,45.0,18.0
2019-10-28T15:57:00Z,3.0,135.0,5.99,5.99,110.0,52.0,19.0
2019-10-28T16:57:00Z,4.0,109.0,8.99,8.99,82.0,55.0,15.0
2019-10-28T17:57:00Z,4.0,108.0,8.01,8.01,108.0,60.01,12.0
2019-10-28T18:57:00Z,3.0,94.0,8.01,8.01,99.0,64.0,10.0
2019-10-28T19:57:00Z,2.01,158.0,10.0,10.0,48.0,64.99,10.0
2019-10-28T20:57:00Z,4.99,49.0,10.0,10.0,44.0,66.99,11.0
2019-10-28T21:57:00Z,4.99,308.0,13.0,13.0,324.0,69.01,11.0
2019-10-28T22:57:00Z,4.0,297.0,11.01,11.01,309.0,70.0,9.0
2019-10-28T23:57:00Z,8.01,296.0,12.01,12.01,271.0,68.0,10.0
