datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:09:00Z,5.99,269.0,14.0,14.0,279.0,84.0,12.0
2019-10-26T01:09:00Z,4.0,287.0,8.99,8.99,290.0,79.0,16.0
2019-10-26T02:09:00Z,1.01,81.0,5.99,5.99,294.0,71.01,20.0
2019-10-26T03:09:00Z,2.01,326.0,5.99,5.99,336.0,64.99,25.0
2019-10-26T04:09:00Z,2.01,19.0,5.99,5.99,46.0,66.0,24.0
2019-10-26T05:09:00Z,4.0,4.0,8.01,8.01,355.0,64.0,26.0
2019-10-26T06:09:00Z,4.0,21.0,4.99,4.99,4.0,64.99,23.0
2019-10-26T07:09:00Z,3.0,354.0,5.99,5.99,333.0,69.01,17.0
2019-10-26T08:09:00Z,2.01,1.0,4.99,4.99,348.0,68.0,17.0
2019-10-26T09:09:00Z,1.01,32.0,3.0,3.0,26.0,61.0,24.0
2019-10-26T10:09:00Z,0.0,,5.99,5.99,4.0,57.0,27.0
2019-10-26T11:09:00Z,2.01,353.0,5.99,5.99,19.0,55.99,29.0
2019-10-26T12:09:00Z,1.01,212.0,4.99,4.99,15.0,57.0,27.0
2019-10-26T13:09:00Z,2.01,349.0,8.99,8.99,330.0,63.0,22.0
2019-10-26T14:09:00Z,4.99,337.0,8.99,8.99,347.0,66.99,25.0
2019-10-26T15:09:00Z,2.01,45.0,10.0,10.0,335.0,66.99,27.0
2019-10-26T16:09:00Z,7.0,14.0,12.01,12.01,6.0,72.0,23.0
2019-10-26T17:09:00Z,8.99,29.0,20.0,20.0,24.0,71.01,26.0
2019-10-26T18:09:00Z,7.0,24.0,14.0,14.0,355.0,73.0,24.0
2019-10-26T19:09:00Z,3.0,157.0,14.0,14.0,33.0,77.0,22.0
2019-10-26T20:09:00Z,5.99,185.0,11.01,11.01,184.0,79.0,19.0
2019-10-26T21:09:00Z,4.99,181.0,18.01,18.01,222.0,81.0,18.0
2019-10-26T22:09:00Z,5.99,171.0,14.0,14.0,178.0,81.0,18.0
2019-10-26T23:09:00Z,4.99,205.0,12.01,12.01,188.0,81.0,18.0
2019-10-27T00:09:00Z,4.0,49.0,8.99,8.99,54.0,77.0,25.0
2019-10-27T01:09:00Z,2.01,2.0,5.99,5.99,62.0,71.01,29.0
2019-10-27T02:09:00Z,4.0,3.0,5.99,5.99,37.0,64.99,35.0
2019-10-27T03:09:00Z,4.99,355.0,7.0,7.0,345.0,61.0,38.0
2019-10-27T04:09:00Z,3.0,5.0,5.99,5.99,347.0,60.01,36.0
2019-10-27T05:09:00Z,4.99,4.0,8.99,8.99,9.0,63.0,30.0
2019-10-27T06:09:00Z,17.0,28.0,30.0,30.0,28.0,63.0,20.0
2019-10-27T07:09:00Z,22.01,30.0,40.0,40.0,20.0,57.0,18.0
2019-10-27T08:09:00Z,31.0,23.0,54.0,54.0,7.0,54.0,18.0
2019-10-27T09:09:00Z,28.01,23.0,53.02,53.02,14.0,53.01,17.0
2019-10-27T10:09:00Z,28.99,26.0,54.0,54.0,353.0,50.0,20.0
2019-10-27T11:09:00Z,34.0,29.0,62.01,62.01,11.0,48.0,21.0
2019-10-27T12:09:00Z,28.01,27.0,51.0,51.0,38.0,46.99,19.0
2019-10-27T13:09:00Z,32.01,19.0,61.0,61.0,20.0,46.0,22.0
2019-10-27T14:09:00Z,35.99,28.0,62.01,62.01,18.0,46.0,25.0
2019-10-27T15:09:00Z,23.0,27.0,50.0,50.0,39.0,46.0,26.0
2019-10-27T16:09:00Z,22.01,20.0,42.99,42.99,7.0,48.0,25.0
2019-10-27T17:09:00Z,23.0,29.0,52.01,52.01,15.0,50.0,25.0
2019-10-27T18:09:00Z,24.99,30.0,42.99,42.99,17.0,52.0,21.0
2019-10-27T19:09:00Z,28.99,23.0,42.99,42.99,8.0,53.01,20.0
2019-10-27T20:09:00Z,25.99,25.0,54.0,54.0,18.0,55.0,18.0
2019-10-27T21:09:00Z,21.0,31.0,44.0,44.0,23.0,57.99,16.0
2019-10-27T22:09:00Z,24.0,30.0,45.99,45.99,23.0,57.99,16.0
2019-10-27T23:09:00Z,24.0,29.0,41.0,41.0,26.0,57.99,16.0
2019-10-28T00:09:00Z,20.0,35.0,42.99,42.99,37.0,57.0,16.0
2019-10-28T01:09:00Z,22.01,27.0,38.01,38.01,29.0,54.0,17.0
2019-10-28T02:09:00Z,14.0,30.0,35.99,35.99,17.0,53.01,18.0
2019-10-28T03:09:00Z,14.99,21.0,34.0,34.0,21.0,53.01,18.0
2019-10-28T04:09:00Z,27.0,24.0,48.0,48.0,9.0,53.01,17.0
2019-10-28T05:09:00Z,28.99,26.0,58.0,58.0,18.0,52.0,16.0
2019-10-28T06:09:00Z,22.01,33.0,55.99,55.99,33.0,51.01,17.0
2019-10-28T07:09:00Z,25.99,23.0,44.98,44.98,23.0,51.01,15.0
2019-10-28T08:09:00Z,21.0,30.0,45.99,45.99,21.0,50.0,16.0
2019-10-28T09:09:00Z,27.0,25.0,49.01,49.01,43.0,50.0,15.0
2019-10-28T10:09:00Z,25.99,27.0,44.98,44.98,22.0,50.0,15.0
2019-10-28T11:09:00Z,23.0,25.0,38.99,38.99,18.0,48.99,15.0
2019-10-28T12:09:00Z,20.0,25.0,40.0,40.0,34.0,48.99,15.0
2019-10-28T13:09:00Z,13.0,13.0,32.99,32.99,22.0,48.99,14.0
2019-10-28T14:09:00Z,11.01,25.0,30.0,30.0,3.0,48.99,13.0
2019-10-28T15:09:00Z,13.0,26.0,24.0,24.0,20.0,51.01,12.0
2019-10-28T16:09:00Z,10.0,15.0,22.01,22.01,27.0,53.01,11.0
2019-10-28T17:09:00Z,8.99,21.0,24.0,24.0,13.0,55.99,10.0
2019-10-28T18:09:00Z,8.99,30.0,22.01,22.01,47.0,59.0,9.0
2019-10-28T19:09:00Z,4.99,357.0,14.99,14.99,31.0,62.01,7.0
2019-10-28T20:09:00Z,,,,,,,
2019-10-28T21:09:00Z,5.99,38.0,13.0,13.0,5.0,66.0,7.0
2019-10-28T22:09:00Z,7.0,201.0,11.01,11.01,213.0,70.0,6.0
2019-10-28T23:09:00Z,5.99,209.0,12.01,12.01,217.0,69.01,7.0
