datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:33:00Z,7.0,317.0,14.0,14.0,307.0,77.0,14.0
2019-10-26T01:33:00Z,4.0,321.0,13.0,13.0,320.0,73.99,16.0
2019-10-26T02:33:00Z,5.99,340.0,10.0,10.0,327.0,70.0,22.0
2019-10-26T03:33:00Z,10.0,340.0,14.99,14.99,330.0,70.0,17.0
2019-10-26T04:33:00Z,8.99,338.0,20.0,20.0,351.0,68.0,14.0
2019-10-26T05:33:00Z,12.01,342.0,18.99,18.99,353.0,71.01,14.0
2019-10-26T06:33:00Z,7.0,340.0,18.01,18.01,353.0,70.0,16.0
2019-10-26T07:33:00Z,8.01,349.0,12.01,12.01,353.0,71.01,16.0
2019-10-26T08:33:00Z,10.0,350.0,14.99,14.99,1.0,71.01,18.0
2019-10-26T09:33:00Z,11.01,348.0,18.01,18.01,347.0,70.0,20.0
2019-10-26T10:33:00Z,10.0,352.0,17.0,17.0,341.0,69.01,23.0
2019-10-26T11:33:00Z,8.01,340.0,17.0,17.0,346.0,69.01,24.0
2019-10-26T12:33:00Z,13.0,340.0,20.0,20.0,347.0,68.0,26.0
2019-10-26T13:33:00Z,14.0,345.0,20.0,20.0,353.0,68.0,27.0
2019-10-26T14:33:00Z,10.0,349.0,22.01,22.01,341.0,64.99,31.0
2019-10-26T15:33:00Z,8.01,359.0,14.99,14.99,333.0,70.0,28.0
2019-10-26T16:33:00Z,7.0,353.0,12.01,12.01,2.0,68.0,31.0
2019-10-26T17:33:00Z,5.99,333.0,11.01,11.01,352.0,73.0,27.0
2019-10-26T18:33:00Z,4.99,334.0,8.01,8.01,338.0,72.0,31.0
2019-10-26T19:33:00Z,4.0,341.0,8.01,8.01,314.0,75.99,27.0
2019-10-26T20:33:00Z,4.0,316.0,8.01,8.01,344.0,78.01,26.0
2019-10-26T21:33:00Z,4.0,316.0,8.01,8.01,327.0,80.01,23.0
2019-10-26T22:33:00Z,4.0,312.0,8.01,8.01,316.0,79.0,28.0
2019-10-26T23:33:00Z,4.0,316.0,8.99,8.99,320.0,78.01,31.0
2019-10-27T00:33:00Z,4.0,4.0,12.01,12.01,329.0,73.99,15.0
2019-10-27T01:33:00Z,7.0,346.0,11.01,11.01,335.0,68.0,27.0
2019-10-27T02:33:00Z,4.99,9.0,12.01,12.01,353.0,64.0,45.0
2019-10-27T03:33:00Z,8.01,11.0,12.01,12.01,16.0,61.0,48.0
2019-10-27T04:33:00Z,8.99,1.0,13.0,13.0,0.0,59.0,54.0
2019-10-27T05:33:00Z,5.99,25.0,17.0,17.0,28.0,64.0,41.0
2019-10-27T06:33:00Z,8.99,29.0,12.01,12.01,34.0,55.0,62.0
2019-10-27T07:33:00Z,10.0,347.0,22.01,22.01,338.0,53.01,54.0
2019-10-27T08:33:00Z,8.01,27.0,18.01,18.01,355.0,57.0,45.0
2019-10-27T09:33:00Z,12.01,65.0,23.0,23.0,75.0,57.0,32.0
2019-10-27T10:33:00Z,14.99,21.0,37.0,37.0,25.0,57.99,23.0
2019-10-27T11:33:00Z,12.01,14.0,40.0,40.0,9.0,57.0,14.0
2019-10-27T12:33:00Z,11.01,12.0,25.99,25.99,30.0,55.99,10.0
2019-10-27T13:33:00Z,10.0,358.0,22.01,22.01,0.0,54.0,9.0
2019-10-27T14:33:00Z,12.01,0.0,32.99,32.99,47.0,53.01,9.0
2019-10-27T15:33:00Z,11.01,357.0,24.99,24.99,36.0,53.01,12.0
2019-10-27T16:33:00Z,8.01,345.0,20.0,20.0,16.0,54.0,14.0
2019-10-27T17:33:00Z,8.99,341.0,25.99,25.99,40.0,55.99,14.0
2019-10-27T18:33:00Z,10.0,337.0,25.99,25.99,320.0,57.99,13.0
2019-10-27T19:33:00Z,8.01,351.0,24.99,24.99,337.0,62.01,9.0
2019-10-27T20:33:00Z,8.01,349.0,28.01,28.01,343.0,62.01,9.0
2019-10-27T21:33:00Z,7.0,49.0,24.99,24.99,15.0,64.0,7.0
2019-10-27T22:33:00Z,8.01,41.0,27.0,27.0,23.0,64.0,8.0
2019-10-27T23:33:00Z,8.01,346.0,23.0,23.0,333.0,63.0,8.0
2019-10-28T00:33:00Z,3.0,6.0,23.0,23.0,353.0,60.01,11.0
2019-10-28T01:33:00Z,5.99,341.0,14.99,14.99,349.0,57.99,13.0
2019-10-28T02:33:00Z,8.99,345.0,13.0,13.0,330.0,55.0,21.0
2019-10-28T03:33:00Z,7.0,350.0,17.0,17.0,355.0,55.0,15.0
2019-10-28T04:33:00Z,8.01,341.0,18.01,18.01,7.0,55.0,14.0
2019-10-28T05:33:00Z,4.0,1.0,17.0,17.0,332.0,55.0,14.0
2019-10-28T06:33:00Z,11.01,2.0,20.0,20.0,329.0,55.0,14.0
2019-10-28T07:33:00Z,8.99,358.0,17.0,17.0,33.0,54.0,13.0
2019-10-28T08:33:00Z,8.01,38.0,17.0,17.0,28.0,54.0,13.0
2019-10-28T09:33:00Z,4.0,56.0,20.0,20.0,52.0,57.99,8.0
2019-10-28T10:33:00Z,4.0,92.0,10.0,10.0,93.0,57.99,8.0
2019-10-28T11:33:00Z,3.0,51.0,8.01,8.01,78.0,57.0,7.0
2019-10-28T12:33:00Z,3.0,156.0,4.99,4.99,171.0,55.0,11.0
2019-10-28T13:33:00Z,5.99,176.0,7.0,7.0,176.0,55.99,10.0
2019-10-28T14:33:00Z,2.01,192.0,8.01,8.01,182.0,54.0,12.0
2019-10-28T15:33:00Z,0.0,,4.99,4.99,330.0,55.99,13.0
2019-10-28T16:33:00Z,4.99,195.0,7.0,7.0,199.0,59.0,13.0
2019-10-28T17:33:00Z,5.99,183.0,10.0,10.0,186.0,59.0,13.0
2019-10-28T18:33:00Z,4.99,199.0,10.0,10.0,179.0,61.0,13.0
2019-10-28T19:33:00Z,4.0,182.0,11.01,11.01,179.0,63.0,14.0
2019-10-28T20:33:00Z,4.0,294.0,12.01,12.01,176.0,62.01,14.0
2019-10-28T21:33:00Z,4.99,194.0,11.01,11.01,200.0,63.0,13.0
2019-10-28T22:33:00Z,5.99,194.0,14.0,14.0,177.0,60.01,15.0
2019-10-28T23:33:00Z,4.99,187.0,12.01,12.01,169.0,57.99,20.0
