datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:29:00Z,4.99,191.0,11.01,11.01,196.0,86.0,14.0
2019-10-26T01:29:00Z,3.0,160.0,7.0,7.0,179.0,80.01,17.0
2019-10-26T02:29:00Z,4.0,200.0,5.99,5.99,165.0,77.0,19.0
2019-10-26T03:29:00Z,1.01,58.0,4.99,4.99,74.0,77.0,19.0
2019-10-26T04:29:00Z,2.01,336.0,4.0,4.0,315.0,75.99,19.0
2019-10-26T05:29:00Z,2.01,293.0,4.99,4.99,316.0,73.99,20.0
2019-10-26T06:29:00Z,3.0,32.0,5.99,5.99,28.0,72.0,21.0
2019-10-26T07:29:00Z,3.0,324.0,7.0,7.0,19.0,72.0,20.0
2019-10-26T08:29:00Z,4.0,326.0,5.99,5.99,327.0,69.01,24.0
2019-10-26T09:29:00Z,0.0,,5.99,5.99,355.0,66.0,28.0
2019-10-26T10:29:00Z,1.01,5.0,4.99,4.99,328.0,64.99,27.0
2019-10-26T11:29:00Z,2.01,22.0,8.01,8.01,348.0,66.0,27.0
2019-10-26T12:29:00Z,1.01,5.0,8.99,8.99,58.0,66.99,26.0
2019-10-26T13:29:00Z,2.01,24.0,7.0,7.0,340.0,63.0,31.0
2019-10-26T14:29:00Z,0.0,,5.99,5.99,324.0,61.0,35.0
2019-10-26T15:29:00Z,1.01,83.0,4.0,4.0,69.0,61.0,35.0
2019-10-26T16:29:00Z,1.01,253.0,4.99,4.99,34.0,62.01,41.0
2019-10-26T17:29:00Z,2.01,153.0,4.0,4.0,193.0,71.01,32.0
2019-10-26T18:29:00Z,3.0,237.0,7.0,7.0,235.0,72.0,30.0
2019-10-26T19:29:00Z,4.0,228.0,7.0,7.0,216.0,72.0,30.0
2019-10-26T20:29:00Z,4.0,238.0,8.01,8.01,217.0,75.99,25.0
2019-10-26T21:29:00Z,4.99,215.0,10.0,10.0,222.0,80.01,22.0
2019-10-26T22:29:00Z,8.01,230.0,12.01,12.01,190.0,82.0,23.0
2019-10-26T23:29:00Z,7.0,205.0,12.01,12.01,198.0,80.01,26.0
2019-10-27T00:29:00Z,5.99,209.0,10.0,10.0,194.0,73.99,36.0
