datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:53:00Z,3.0,251.0,8.99,8.99,234.0,70.0,22.0
2019-10-26T01:53:00Z,3.0,299.0,5.99,5.99,218.0,68.0,24.0
2019-10-26T02:53:00Z,2.01,324.0,5.99,5.99,280.0,66.99,24.0
2019-10-26T03:53:00Z,2.01,357.0,5.99,5.99,54.0,64.99,23.0
2019-10-26T04:53:00Z,2.01,50.0,4.0,4.0,63.0,64.0,24.0
2019-10-26T05:53:00Z,1.01,18.0,4.0,4.0,166.0,63.0,25.0
2019-10-26T06:53:00Z,1.01,359.0,3.0,3.0,311.0,64.0,25.0
2019-10-26T07:53:00Z,2.01,22.0,3.0,3.0,41.0,64.0,25.0
2019-10-26T08:53:00Z,3.0,45.0,4.0,4.0,51.0,63.0,26.0
2019-10-26T09:53:00Z,2.01,6.0,4.0,4.0,25.0,64.0,26.0
2019-10-26T10:53:00Z,2.01,22.0,3.0,3.0,17.0,61.0,29.0
2019-10-26T11:53:00Z,2.01,17.0,4.0,4.0,1.0,61.0,29.0
2019-10-26T12:53:00Z,0.0,,4.0,4.0,328.0,61.0,26.0
2019-10-26T13:53:00Z,3.0,39.0,4.0,4.0,50.0,63.0,23.0
2019-10-26T14:53:00Z,2.01,38.0,4.0,4.0,31.0,61.0,27.0
2019-10-26T15:53:00Z,4.0,66.0,4.99,4.99,64.0,63.0,29.0
2019-10-26T16:53:00Z,2.01,207.0,4.99,4.99,181.0,69.01,22.0
2019-10-26T17:53:00Z,2.01,107.0,5.99,5.99,75.0,71.01,24.0
2019-10-26T18:53:00Z,3.0,217.0,8.99,8.99,190.0,75.0,21.0
2019-10-26T19:53:00Z,4.0,244.0,8.99,8.99,229.0,75.99,19.0
2019-10-26T20:53:00Z,4.0,216.0,8.99,8.99,246.0,75.99,19.0
2019-10-26T21:53:00Z,4.99,238.0,11.01,11.01,207.0,78.01,18.0
2019-10-26T22:53:00Z,4.0,246.0,8.99,8.99,186.0,77.0,18.0
2019-10-26T23:53:00Z,4.0,239.0,8.01,8.01,232.0,75.0,18.0
2019-10-27T00:53:00Z,2.01,252.0,8.01,8.01,205.0,68.0,31.0
2019-10-27T01:53:00Z,2.01,265.0,3.0,3.0,303.0,63.0,36.0
2019-10-27T02:53:00Z,0.0,,3.0,3.0,299.0,64.0,35.0
2019-10-27T03:53:00Z,1.01,19.0,3.0,3.0,244.0,62.01,37.0
2019-10-27T04:53:00Z,2.01,254.0,4.0,4.0,181.0,61.0,38.0
2019-10-27T05:53:00Z,1.01,318.0,4.99,4.99,47.0,59.0,38.0
2019-10-27T06:53:00Z,4.0,34.0,5.99,5.99,45.0,53.01,37.0
2019-10-27T07:53:00Z,3.0,33.0,5.99,5.99,37.0,48.0,31.0
2019-10-27T08:53:00Z,5.99,41.0,20.0,20.0,87.0,46.99,19.0
2019-10-27T09:53:00Z,4.99,28.0,18.99,18.99,90.0,46.0,14.0
2019-10-27T10:53:00Z,8.01,38.0,15.99,15.99,43.0,46.0,8.0
2019-10-27T11:53:00Z,7.0,33.0,18.99,18.99,67.0,45.0,8.0
2019-10-27T12:53:00Z,4.99,36.0,11.01,11.01,26.0,43.0,11.0
2019-10-27T13:53:00Z,4.99,36.0,11.01,11.01,8.0,42.01,15.0
2019-10-27T14:53:00Z,7.0,40.0,18.99,18.99,57.0,39.99,21.0
2019-10-27T15:53:00Z,8.01,47.0,14.99,14.99,34.0,42.01,22.0
2019-10-27T16:53:00Z,5.99,37.0,18.99,18.99,63.0,48.0,17.0
2019-10-27T17:53:00Z,5.99,55.0,18.01,18.01,87.0,52.0,15.0
2019-10-27T18:53:00Z,5.99,40.0,14.0,14.0,144.0,54.0,13.0
2019-10-27T19:53:00Z,4.99,42.0,14.99,14.99,53.0,57.0,12.0
2019-10-27T20:53:00Z,5.99,44.0,13.0,13.0,65.0,57.0,11.0
2019-10-27T21:53:00Z,5.99,53.0,15.99,15.99,106.0,57.0,9.0
2019-10-27T22:53:00Z,4.0,59.0,14.99,14.99,99.0,57.0,11.0
2019-10-27T23:53:00Z,4.0,45.0,10.0,10.0,87.0,54.0,13.0
2019-10-28T00:53:00Z,3.0,25.0,10.0,10.0,142.0,48.99,17.0
2019-10-28T01:53:00Z,3.0,58.0,8.01,8.01,201.0,45.0,21.0
2019-10-28T02:53:00Z,3.0,323.0,7.0,7.0,239.0,44.01,22.0
2019-10-28T03:53:00Z,5.99,41.0,14.0,14.0,36.0,45.0,22.0
2019-10-28T04:53:00Z,4.0,25.0,14.0,14.0,57.0,44.01,22.0
2019-10-28T05:53:00Z,4.0,34.0,5.99,5.99,24.0,43.0,22.0
2019-10-28T06:53:00Z,3.0,43.0,4.99,4.99,35.0,42.01,21.0
2019-10-28T07:53:00Z,3.0,3.0,4.99,4.99,53.0,41.0,21.0
2019-10-28T08:53:00Z,2.01,350.0,4.0,4.0,31.0,42.01,19.0
2019-10-28T09:53:00Z,2.01,347.0,4.0,4.0,28.0,42.01,18.0
2019-10-28T10:53:00Z,3.0,359.0,4.99,4.99,7.0,43.0,15.0
2019-10-28T11:53:00Z,2.01,351.0,3.0,3.0,346.0,43.0,11.0
2019-10-28T12:53:00Z,2.01,2.0,3.0,3.0,75.0,45.0,10.0
2019-10-28T13:53:00Z,2.01,1.0,3.0,3.0,33.0,45.0,9.0
2019-10-28T14:53:00Z,4.0,26.0,4.99,4.99,53.0,46.0,9.0
2019-10-28T15:53:00Z,4.0,58.0,4.99,4.99,67.0,48.99,11.0
2019-10-28T16:53:00Z,3.0,67.0,4.99,4.99,60.0,55.0,12.0
2019-10-28T17:53:00Z,3.0,129.0,5.99,5.99,43.0,61.0,6.0
2019-10-28T18:53:00Z,4.0,218.0,8.01,8.01,235.0,61.0,9.0
2019-10-28T19:53:00Z,4.0,207.0,10.0,10.0,239.0,62.01,11.0
2019-10-28T20:53:00Z,4.99,214.0,8.99,8.99,186.0,64.0,11.0
2019-10-28T21:53:00Z,4.99,244.0,8.99,8.99,216.0,64.99,9.0
2019-10-28T22:53:00Z,4.99,224.0,10.0,10.0,235.0,64.0,10.0
2019-10-28T23:53:00Z,4.0,247.0,8.01,8.01,242.0,63.0,14.0
