datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:28:00Z,1.01,162.0,4.99,4.99,252.0,68.0,23.0
2019-10-26T01:28:00Z,0.0,,4.0,4.0,176.0,62.01,28.0
2019-10-26T02:28:00Z,0.0,,2.01,2.01,138.0,57.0,34.0
2019-10-26T03:28:00Z,0.0,,1.01,1.01,124.0,55.0,36.0
2019-10-26T04:28:00Z,0.0,,2.01,2.01,117.0,55.0,38.0
2019-10-26T05:28:00Z,0.0,,0.0,0.0,106.0,54.0,39.0
2019-10-26T06:28:00Z,0.0,,0.0,0.0,107.0,54.0,40.0
2019-10-26T07:28:00Z,0.0,,0.0,0.0,118.0,53.01,40.0
2019-10-26T08:28:00Z,0.0,,1.01,1.01,110.0,53.01,41.0
2019-10-26T09:28:00Z,0.0,,0.0,0.0,111.0,52.0,42.0
2019-10-26T10:28:00Z,0.0,,0.0,0.0,106.0,51.01,34.0
2019-10-26T11:28:00Z,0.0,,0.0,0.0,101.0,52.0,36.0
2019-10-26T12:28:00Z,0.0,,0.0,0.0,109.0,53.01,38.0
2019-10-26T13:28:00Z,0.0,,0.0,0.0,109.0,50.0,32.0
2019-10-26T14:28:00Z,0.0,,0.0,0.0,108.0,48.99,24.0
2019-10-26T15:28:00Z,0.0,,0.0,0.0,102.0,50.0,24.0
2019-10-26T16:28:00Z,0.0,,0.0,0.0,102.0,53.01,26.0
2019-10-26T17:28:00Z,1.01,142.0,3.0,3.0,132.0,66.0,20.0
2019-10-26T18:28:00Z,1.01,223.0,4.0,4.0,202.0,73.0,12.0
2019-10-26T19:28:00Z,2.01,281.0,4.99,4.99,319.0,75.0,13.0
2019-10-26T20:28:00Z,1.01,330.0,4.99,4.99,359.0,77.0,15.0
2019-10-26T21:28:00Z,2.01,302.0,4.99,4.99,317.0,75.0,22.0
2019-10-26T22:28:00Z,1.01,216.0,5.99,5.99,344.0,75.0,18.0
2019-10-26T23:28:00Z,0.0,,5.99,5.99,189.0,70.0,23.0
2019-10-27T00:28:00Z,0.0,,4.0,4.0,136.0,64.99,27.0
2019-10-27T01:28:00Z,1.01,90.0,4.0,4.0,182.0,60.01,35.0
2019-10-27T02:28:00Z,0.0,,4.99,4.99,136.0,55.0,36.0
2019-10-27T03:28:00Z,1.01,118.0,4.99,4.99,137.0,53.01,38.0
2019-10-27T04:28:00Z,1.01,116.0,4.99,4.99,134.0,52.0,35.0
2019-10-27T05:28:00Z,0.0,,4.0,4.0,135.0,48.99,32.0
2019-10-27T06:28:00Z,4.99,228.0,13.0,13.0,270.0,45.0,25.0
2019-10-27T07:28:00Z,4.0,259.0,18.99,18.99,228.0,41.0,28.0
2019-10-27T08:28:00Z,4.99,220.0,15.99,15.99,253.0,37.99,30.0
2019-10-27T09:28:00Z,7.0,210.0,24.0,24.0,259.0,42.01,12.0
2019-10-27T10:28:00Z,7.0,239.0,28.99,28.99,246.0,39.0,13.0
2019-10-27T11:28:00Z,7.0,273.0,27.0,27.0,258.0,41.0,7.0
2019-10-27T12:28:00Z,7.0,288.0,32.99,32.99,260.0,37.99,16.0
