datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2019-10-26T00:36:00Z,4.0,356.0,8.01,8.01,14.0,78.01,15.0
2019-10-26T01:36:00Z,3.0,342.0,7.0,7.0,353.0,73.0,16.0
2019-10-26T02:36:00Z,3.0,305.0,5.99,5.99,348.0,72.0,17.0
2019-10-26T03:36:00Z,4.0,277.0,4.99,4.99,306.0,72.0,17.0
2019-10-26T04:36:00Z,4.99,248.0,7.0,7.0,253.0,71.01,19.0
2019-10-26T05:36:00Z,4.99,319.0,7.0,7.0,276.0,71.01,18.0
2019-10-26T06:36:00Z,4.99,342.0,7.0,7.0,341.0,71.01,16.0
2019-10-26T07:36:00Z,2.01,301.0,4.99,4.99,348.0,71.01,17.0
2019-10-26T08:36:00Z,0.0,,3.0,3.0,355.0,70.0,17.0
2019-10-26T09:36:00Z,1.01,245.0,4.0,4.0,247.0,70.0,17.0
2019-10-26T10:36:00Z,3.0,336.0,4.0,4.0,330.0,69.01,17.0
2019-10-26T11:36:00Z,2.01,267.0,5.99,5.99,326.0,68.0,18.0
2019-10-26T12:36:00Z,4.0,324.0,5.99,5.99,336.0,64.99,21.0
2019-10-26T13:36:00Z,5.99,323.0,8.01,8.01,322.0,68.0,20.0
2019-10-26T14:36:00Z,4.99,353.0,7.0,7.0,352.0,66.0,22.0
2019-10-26T15:36:00Z,4.99,358.0,8.99,8.99,7.0,69.01,24.0
2019-10-26T16:36:00Z,4.99,12.0,10.0,10.0,355.0,68.0,25.0
2019-10-26T17:36:00Z,7.0,29.0,10.0,10.0,32.0,69.01,26.0
2019-10-26T18:36:00Z,4.0,28.0,11.01,11.01,1.0,73.0,25.0
2019-10-26T19:36:00Z,3.0,60.0,8.99,8.99,39.0,77.0,21.0
2019-10-26T20:36:00Z,1.01,113.0,8.01,8.01,25.0,81.0,19.0
2019-10-26T21:36:00Z,3.0,86.0,8.01,8.01,39.0,81.0,20.0
2019-10-26T22:36:00Z,8.01,20.0,13.0,13.0,27.0,78.01,24.0
2019-10-26T23:36:00Z,8.01,48.0,14.99,14.99,34.0,75.0,26.0
2019-10-27T00:36:00Z,4.99,50.0,12.01,12.01,54.0,72.0,28.0
2019-10-27T01:36:00Z,4.0,34.0,8.01,8.01,52.0,69.01,28.0
2019-10-27T02:36:00Z,4.0,9.0,5.99,5.99,43.0,68.0,29.0
2019-10-27T03:36:00Z,4.0,337.0,7.0,7.0,321.0,66.0,29.0
2019-10-27T04:36:00Z,4.0,3.0,7.0,7.0,1.0,64.99,30.0
2019-10-27T05:36:00Z,11.01,349.0,21.0,21.0,4.0,61.0,32.0
2019-10-27T06:36:00Z,23.0,3.0,40.0,40.0,5.0,57.99,18.0
2019-10-27T07:36:00Z,32.01,360.0,52.01,52.01,353.0,54.0,21.0
2019-10-27T08:36:00Z,28.99,350.0,57.0,57.0,351.0,53.01,20.0
2019-10-27T09:36:00Z,40.0,1.0,64.0,64.0,1.0,50.0,22.0
2019-10-27T10:36:00Z,32.01,6.0,61.0,61.0,4.0,48.99,22.0
2019-10-27T11:36:00Z,24.99,6.0,55.01,55.01,23.0,46.99,22.0
2019-10-27T12:36:00Z,38.01,6.0,63.01,63.01,1.0,46.0,25.0
2019-10-27T13:36:00Z,21.0,9.0,50.0,50.0,0.0,45.0,27.0
2019-10-27T14:36:00Z,23.0,7.0,47.0,47.0,16.0,45.0,29.0
2019-10-27T15:36:00Z,25.99,19.0,50.0,50.0,8.0,46.0,28.0
2019-10-27T16:36:00Z,34.99,15.0,50.0,50.0,19.0,48.0,27.0
2019-10-27T17:36:00Z,34.0,19.0,53.02,53.02,32.0,50.0,24.0
2019-10-27T18:36:00Z,25.99,20.0,47.0,47.0,17.0,52.0,22.0
2019-10-27T19:36:00Z,31.0,16.0,50.0,50.0,30.0,54.0,20.0
2019-10-27T20:36:00Z,28.01,19.0,49.01,49.01,18.0,55.99,18.0
2019-10-27T21:36:00Z,24.99,19.0,44.98,44.98,5.0,57.0,17.0
2019-10-27T22:36:00Z,28.01,14.0,40.0,40.0,13.0,57.0,17.0
2019-10-27T23:36:00Z,24.0,16.0,44.0,44.0,8.0,57.0,16.0
2019-10-28T00:36:00Z,18.99,20.0,38.99,38.99,17.0,55.99,17.0
2019-10-28T01:36:00Z,14.99,6.0,32.99,32.99,7.0,53.01,18.0
2019-10-28T02:36:00Z,14.99,2.0,30.0,30.0,12.0,52.0,19.0
2019-10-28T03:36:00Z,14.0,358.0,28.99,28.99,359.0,52.0,19.0
2019-10-28T04:36:00Z,14.0,352.0,30.0,30.0,355.0,51.01,18.0
2019-10-28T05:36:00Z,23.0,2.0,35.99,35.99,359.0,51.01,18.0
2019-10-28T06:36:00Z,18.01,7.0,37.0,37.0,8.0,51.01,16.0
2019-10-28T07:36:00Z,18.01,8.0,31.0,31.0,355.0,50.0,17.0
2019-10-28T08:36:00Z,15.99,3.0,31.0,31.0,1.0,48.99,18.0
2019-10-28T09:36:00Z,15.99,5.0,30.0,30.0,1.0,48.0,18.0
2019-10-28T10:36:00Z,18.99,1.0,30.0,30.0,10.0,48.0,18.0
2019-10-28T11:36:00Z,14.0,358.0,28.01,28.01,11.0,46.99,19.0
2019-10-28T12:36:00Z,12.01,356.0,27.0,27.0,11.0,45.0,19.0
2019-10-28T13:36:00Z,14.0,4.0,18.99,18.99,359.0,45.0,18.0
2019-10-28T14:36:00Z,7.0,345.0,17.0,17.0,3.0,45.0,18.0
2019-10-28T15:36:00Z,8.01,357.0,14.99,14.99,0.0,48.99,15.0
2019-10-28T16:36:00Z,12.01,360.0,23.0,23.0,3.0,53.01,13.0
2019-10-28T17:36:00Z,10.0,7.0,22.01,22.01,348.0,55.99,11.0
2019-10-28T18:36:00Z,8.99,22.0,17.0,17.0,31.0,60.01,10.0
2019-10-28T19:36:00Z,7.0,48.0,14.99,14.99,35.0,62.01,9.0
2019-10-28T20:36:00Z,8.99,35.0,14.99,14.99,54.0,63.0,9.0
2019-10-28T21:36:00Z,3.0,89.0,14.0,14.0,8.0,64.99,8.0
2019-10-28T22:36:00Z,3.0,80.0,8.99,8.99,39.0,66.99,8.0
2019-10-28T23:36:00Z,2.01,45.0,5.99,5.99,53.0,66.99,9.0
