datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:00:00Z,4.03,,,,
2020-09-07T02:00:00Z,2.19,,,,
2020-09-07T03:00:00Z,0.92,,,,
2020-09-07T04:00:00Z,0.92,,,,
2020-09-07T05:00:00Z,0.69,,,,
2020-09-07T06:00:00Z,0.69,,,,
2020-09-07T07:00:00Z,1.15,,,,
2020-09-07T08:00:00Z,0.92,,,,
2020-09-07T09:00:00Z,1.61,,,,
2020-09-07T10:00:00Z,1.84,,,,
2020-09-07T11:00:00Z,1.84,,,,
2020-09-07T12:00:00Z,1.61,,,,
2020-09-07T13:00:00Z,2.19,,,,
2020-09-07T14:00:00Z,2.65,,,,
2020-09-07T15:00:00Z,1.15,,,,
2020-09-07T16:00:00Z,1.96,,,,
2020-09-07T17:00:00Z,2.65,,,,
2020-09-07T18:00:00Z,4.03,,,,
2020-09-07T19:00:00Z,4.49,,,,
2020-09-07T20:00:00Z,4.72,,,,
2020-09-07T21:00:00Z,4.95,,,,
2020-09-07T22:00:00Z,5.18,,,,
2020-09-08T00:00:00Z,5.87,,,,
2020-09-08T01:00:00Z,3.34,,,,
2020-09-08T02:00:00Z,2.88,,,,
2020-09-08T03:00:00Z,3.11,,,,
2020-09-08T04:00:00Z,3.8,,,,
2020-09-08T05:00:00Z,4.49,,,,
2020-09-08T06:00:00Z,4.72,,,,
2020-09-08T07:00:00Z,4.03,,,,
2020-09-08T08:00:00Z,3.34,,,,
2020-09-08T09:00:00Z,4.03,,,,
2020-09-08T10:00:00Z,3.8,,,,
2020-09-08T11:00:00Z,4.26,,,,
2020-09-08T12:00:00Z,5.18,,,,
2020-09-08T13:00:00Z,4.49,,,,
2020-09-08T14:00:00Z,4.26,,,,
2020-09-08T15:00:00Z,5.18,,,,
2020-09-08T16:00:00Z,5.87,,,,
2020-09-08T17:00:00Z,5.98,,,,
2020-09-08T18:00:00Z,4.72,,,,
2020-09-08T19:00:00Z,4.72,,,,
2020-09-08T20:00:00Z,5.87,,,,
2020-09-08T21:00:00Z,5.87,,,,
2020-09-08T22:00:00Z,5.41,,,,
2020-09-08T23:00:00Z,4.49,,,,
2020-09-09T01:00:00Z,3.11,,,,
2020-09-09T02:00:00Z,3.57,,,,
2020-09-09T03:00:00Z,3.8,,,,
2020-09-09T04:00:00Z,2.65,,,,
2020-09-09T05:00:00Z,3.34,,,,
2020-09-09T06:00:00Z,2.88,,,,
2020-09-09T07:00:00Z,2.88,,,,
2020-09-09T08:00:00Z,2.42,,,,
2020-09-09T09:00:00Z,2.88,,,,
2020-09-09T10:00:00Z,1.61,,,,
2020-09-09T11:00:00Z,0.92,,,,
2020-09-09T12:00:00Z,0.69,,,,
2020-09-09T13:00:00Z,0.69,,,,
2020-09-09T14:00:00Z,0.69,,,,
2020-09-09T15:00:00Z,0.92,,,,
2020-09-09T16:00:00Z,1.38,,,,
2020-09-09T17:00:00Z,1.38,,,,
2020-09-09T18:00:00Z,1.38,,,,
2020-09-09T19:00:00Z,0.92,,,,
2020-09-09T20:00:00Z,0.92,,,,
2020-09-09T21:00:00Z,0.92,,,,
2020-09-09T22:00:00Z,0.92,,,,
2020-09-09T23:00:00Z,0.92,,,,
2020-09-10T00:00:00Z,0.69,,,,
2020-09-10T02:00:00Z,1.38,,,,
2020-09-10T04:00:00Z,1.38,,,,
2020-09-10T05:00:00Z,1.84,,,,
2020-09-10T07:00:00Z,1.84,,,,
2020-09-10T08:00:00Z,1.84,,,,
2020-09-10T10:00:00Z,2.88,,,,
2020-09-10T12:00:00Z,1.96,,,,
2020-09-10T13:00:00Z,1.84,,,,
2020-09-10T14:00:00Z,1.61,,,,
2020-09-10T15:00:00Z,0.92,,,,
2020-09-10T16:00:00Z,0.69,,,,
2020-09-10T17:00:00Z,0.69,,,,
2020-09-10T18:00:00Z,0.92,,,,
2020-09-10T19:00:00Z,0.69,,,,
2020-09-10T20:00:00Z,1.61,,,,
2020-09-10T23:00:00Z,1.84,,,,
