datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:03:00Z,3.0,49.0,9.0,9.0,162.0
2020-09-07T01:03:00Z,5.0,346.0,11.0,11.0,330.0
2020-09-07T02:03:00Z,2.0,330.0,10.0,10.0,334.0
2020-09-07T03:03:00Z,1.0,79.0,8.0,8.0,4.0
2020-09-07T04:03:00Z,0.0,,5.0,5.0,237.0
2020-09-07T05:03:00Z,2.0,249.0,5.0,5.0,292.0
2020-09-07T06:03:00Z,1.0,187.0,3.0,3.0,173.0
2020-09-07T07:03:00Z,0.0,,3.0,3.0,252.0
2020-09-07T08:03:00Z,2.0,271.0,4.0,4.0,350.0
2020-09-07T09:03:00Z,3.0,284.0,5.0,5.0,235.0
2020-09-07T10:03:00Z,2.0,230.0,4.0,4.0,319.0
2020-09-07T11:03:00Z,3.0,263.0,7.0,7.0,297.0
2020-09-07T12:03:00Z,2.0,344.0,4.0,4.0,299.0
2020-09-07T13:03:00Z,1.0,326.0,4.0,4.0,69.0
2020-09-07T14:03:00Z,1.0,16.0,4.0,4.0,302.0
2020-09-07T15:03:00Z,2.0,199.0,4.0,4.0,70.0
2020-09-07T16:03:00Z,3.0,203.0,5.99,5.99,190.0
2020-09-07T17:03:00Z,2.0,140.0,5.99,5.99,79.0
2020-09-07T18:03:00Z,4.0,78.0,7.0,7.0,81.0
2020-09-07T19:03:00Z,5.0,69.0,11.0,11.0,99.0
2020-09-07T20:03:00Z,5.0,58.0,13.0,13.0,310.0
2020-09-07T21:03:00Z,5.0,23.0,14.01,14.01,116.0
2020-09-07T22:03:00Z,7.0,50.0,14.01,14.01,1.0
2020-09-07T23:03:00Z,7.0,50.0,17.0,17.0,50.0
2020-09-08T00:03:00Z,5.99,30.0,17.0,17.0,50.0
2020-09-08T01:03:00Z,5.0,22.0,17.0,17.0,41.0
2020-09-08T02:03:00Z,5.0,15.0,14.01,14.01,85.0
2020-09-08T03:03:00Z,4.0,16.0,14.99,14.99,57.0
2020-09-08T04:03:00Z,4.0,17.0,13.0,13.0,71.0
2020-09-08T05:03:00Z,4.0,54.0,11.0,11.0,49.0
2020-09-08T06:03:00Z,4.0,63.0,14.01,14.01,132.0
2020-09-08T07:03:00Z,3.0,89.0,7.0,7.0,64.0
2020-09-08T08:03:00Z,3.0,60.0,5.99,5.99,47.0
2020-09-08T09:03:00Z,1.0,150.0,4.0,4.0,266.0
2020-09-08T10:03:00Z,1.0,170.0,3.0,3.0,215.0
2020-09-08T11:03:00Z,3.0,240.0,4.0,4.0,204.0
2020-09-08T12:03:00Z,2.0,216.0,5.99,5.99,221.0
2020-09-08T13:03:00Z,2.0,231.0,4.0,4.0,226.0
2020-09-08T14:03:00Z,2.0,216.0,4.0,4.0,240.0
2020-09-08T15:03:00Z,0.0,,5.0,5.0,225.0
2020-09-08T16:03:00Z,2.0,115.0,8.0,8.0,109.0
2020-09-08T17:03:00Z,5.0,88.0,11.0,11.0,72.0
2020-09-08T18:03:00Z,4.0,75.0,11.0,11.0,70.0
2020-09-08T19:03:00Z,5.99,80.0,12.0,12.0,82.0
2020-09-08T20:03:00Z,5.0,98.0,11.0,11.0,93.0
2020-09-08T21:03:00Z,5.0,82.0,13.0,13.0,35.0
2020-09-08T22:03:00Z,5.99,54.0,13.0,13.0,59.0
2020-09-08T23:03:00Z,5.99,65.0,14.01,14.01,67.0
2020-09-09T00:03:00Z,5.99,56.0,13.0,13.0,54.0
2020-09-09T01:03:00Z,5.0,51.0,12.0,12.0,64.0
2020-09-09T02:03:00Z,3.0,80.0,14.99,14.99,46.0
2020-09-09T03:03:00Z,1.0,232.0,8.0,8.0,89.0
2020-09-09T04:03:00Z,2.0,202.0,4.0,4.0,183.0
2020-09-09T05:03:00Z,2.0,242.0,3.0,3.0,190.0
2020-09-09T06:03:00Z,2.0,240.0,3.0,3.0,242.0
2020-09-09T07:03:00Z,2.0,237.0,4.0,4.0,235.0
2020-09-09T08:03:00Z,2.0,236.0,3.0,3.0,240.0
2020-09-09T09:03:00Z,0.0,,3.0,3.0,227.0
2020-09-09T10:03:00Z,1.0,242.0,3.0,3.0,234.0
2020-09-09T11:03:00Z,2.0,226.0,3.0,3.0,226.0
2020-09-09T12:03:00Z,2.0,231.0,4.0,4.0,216.0
2020-09-09T13:03:00Z,0.0,,3.0,3.0,221.0
2020-09-09T14:03:00Z,0.0,,3.0,3.0,230.0
2020-09-09T15:03:00Z,0.0,,2.0,2.0,275.0
2020-09-09T16:03:00Z,1.0,40.0,4.0,4.0,78.0
2020-09-09T17:03:00Z,3.0,146.0,5.99,5.99,71.0
2020-09-09T18:03:00Z,4.0,132.0,8.0,8.0,67.0
2020-09-09T19:03:00Z,4.0,93.0,10.0,10.0,131.0
2020-09-09T20:03:00Z,4.0,63.0,10.0,10.0,61.0
2020-09-09T21:03:00Z,5.0,62.0,11.0,11.0,15.0
2020-09-09T22:03:00Z,4.0,145.0,10.0,10.0,58.0
2020-09-09T23:03:00Z,5.0,83.0,11.0,11.0,133.0
2020-09-10T00:03:00Z,4.0,52.0,10.0,10.0,46.0
2020-09-10T01:03:00Z,3.0,49.0,9.0,9.0,54.0
2020-09-10T02:03:00Z,0.0,,5.0,5.0,59.0
2020-09-10T03:03:00Z,1.0,233.0,3.0,3.0,313.0
2020-09-10T04:03:00Z,2.0,241.0,3.0,3.0,271.0
2020-09-10T05:03:00Z,1.0,250.0,5.0,5.0,256.0
2020-09-10T06:03:00Z,2.0,232.0,3.0,3.0,233.0
2020-09-10T07:03:00Z,2.0,247.0,3.0,3.0,228.0
2020-09-10T08:03:00Z,0.0,,2.0,2.0,241.0
2020-09-10T09:03:00Z,0.0,,3.0,3.0,239.0
2020-09-10T10:03:00Z,1.0,262.0,3.0,3.0,237.0
2020-09-10T11:03:00Z,0.0,,0.0,0.0,329.0
2020-09-10T12:03:00Z,0.0,,0.0,0.0,236.0
2020-09-10T13:03:00Z,0.0,,0.0,0.0,251.0
2020-09-10T14:03:00Z,0.0,,0.0,0.0,244.0
2020-09-10T15:03:00Z,0.0,,0.0,0.0,280.0
2020-09-10T16:03:00Z,0.0,,2.0,2.0,15.0
2020-09-10T17:03:00Z,2.0,133.0,3.0,3.0,68.0
2020-09-10T18:03:00Z,3.0,101.0,5.99,5.99,62.0
2020-09-10T19:03:00Z,4.0,125.0,7.0,7.0,130.0
2020-09-10T20:03:00Z,4.0,182.0,8.0,8.0,160.0
2020-09-10T21:03:00Z,3.0,295.0,7.0,7.0,41.0
2020-09-10T22:03:00Z,4.0,82.0,7.0,7.0,69.0
2020-09-10T23:03:00Z,3.0,307.0,5.99,5.99,68.0
