datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:00:00Z,1.6,313.5,2.4,,
2020-09-07T00:15:00Z,1.74,319.5,2.4,,
2020-09-07T00:30:00Z,1.99,322.9,2.64,,
2020-09-07T00:45:00Z,2.35,324.5,3.29,,
2020-09-07T01:00:00Z,2.27,326.2,3.29,,
2020-09-07T01:15:00Z,2.35,324.2,3.07,,
2020-09-07T01:30:00Z,2.22,325.5,3.07,,
2020-09-07T01:45:00Z,2.07,329.0,2.85,,
2020-09-07T02:00:00Z,2.32,331.8,3.07,,
2020-09-07T02:15:00Z,2.02,328.6,3.07,,
2020-09-07T02:30:00Z,1.83,333.1,2.64,,
2020-09-07T02:45:00Z,1.59,331.1,2.4,,
2020-09-07T03:00:00Z,1.35,332.1,2.19,,
2020-09-07T03:15:00Z,1.32,331.1,2.64,,
2020-09-07T03:30:00Z,1.09,331.0,2.64,,
2020-09-07T03:45:00Z,0.72,318.6,1.97,,
2020-09-07T04:00:00Z,0.67,315.6,1.75,,
2020-09-07T04:15:00Z,0.4,284.4,1.11,,
2020-09-07T04:30:00Z,0.45,291.0,1.53,,
2020-09-07T04:45:00Z,0.48,291.1,1.53,,
2020-09-07T05:00:00Z,0.24,291.0,1.32,,
2020-09-07T05:15:00Z,0.46,290.9,1.32,,
2020-09-07T05:30:00Z,0.3,290.8,1.32,,
2020-09-07T05:45:00Z,0.55,291.1,1.32,,
2020-09-07T06:00:00Z,0.51,291.2,1.11,,
2020-09-07T06:15:00Z,0.51,291.1,1.32,,
2020-09-07T06:30:00Z,0.41,291.1,1.32,,
2020-09-07T06:45:00Z,0.45,291.1,1.11,,
2020-09-07T07:00:00Z,0.57,290.9,1.32,,
2020-09-07T07:15:00Z,0.98,309.0,1.97,,
2020-09-07T07:30:00Z,0.96,310.7,1.75,,
2020-09-07T07:45:00Z,0.57,310.8,1.32,,
2020-09-07T08:00:00Z,0.34,310.7,1.32,,
2020-09-07T08:15:00Z,0.7,310.5,1.53,,
2020-09-07T08:30:00Z,1.14,310.8,1.53,,
2020-09-07T08:45:00Z,0.34,310.7,1.32,,
2020-09-07T09:00:00Z,0.21,310.6,1.32,,
2020-09-07T09:15:00Z,0.63,310.1,1.53,,
2020-09-07T09:30:00Z,0.78,310.3,1.53,,
2020-09-07T09:45:00Z,0.3,310.2,1.32,,
2020-09-07T10:00:00Z,1.16,310.7,1.97,,
2020-09-07T10:15:00Z,0.31,310.0,1.32,,
2020-09-07T10:30:00Z,0.7,308.8,1.32,,
2020-09-07T10:45:00Z,0.69,308.8,1.75,,
2020-09-07T11:00:00Z,0.38,309.4,1.53,,
2020-09-07T11:15:00Z,0.62,311.0,1.53,,
2020-09-07T11:30:00Z,0.03,311.0,0.87,,
2020-09-07T11:45:00Z,0.07,310.4,0.87,,
2020-09-07T12:00:00Z,0.26,310.4,1.32,,
2020-09-07T12:15:00Z,0.26,310.8,1.11,,
2020-09-07T12:30:00Z,0.24,310.7,1.11,,
2020-09-07T12:45:00Z,0.82,309.5,1.75,,
2020-09-07T13:00:00Z,0.25,309.5,1.11,,
2020-09-07T13:15:00Z,0.52,310.9,1.32,,
2020-09-07T13:30:00Z,0.14,310.9,1.32,,
2020-09-07T13:45:00Z,0.67,309.5,1.75,,
2020-09-07T14:00:00Z,0.79,302.9,1.53,,
2020-09-07T14:15:00Z,0.07,303.2,1.11,,
2020-09-07T14:30:00Z,0.69,306.1,1.53,,
2020-09-07T14:45:00Z,0.05,308.0,0.87,,
2020-09-07T15:00:00Z,0.08,300.6,1.11,,
2020-09-07T15:15:00Z,0.25,310.2,1.32,,
2020-09-07T15:30:00Z,1.08,102.5,3.51,,
2020-09-07T15:45:00Z,0.68,118.6,2.19,,
2020-09-07T16:00:00Z,0.78,106.7,3.95,,
2020-09-07T16:15:00Z,1.29,170.2,3.73,,
2020-09-07T16:30:00Z,1.35,140.9,3.95,,
2020-09-07T16:45:00Z,1.13,135.1,3.73,,
2020-09-07T17:00:00Z,1.31,168.3,4.82,,
2020-09-07T17:15:00Z,1.57,164.6,3.95,,
2020-09-07T17:30:00Z,1.54,179.4,4.15,,
2020-09-07T17:45:00Z,1.59,178.0,4.38,,
2020-09-07T18:00:00Z,1.97,186.2,5.48,,
2020-09-07T18:15:00Z,1.73,192.5,4.6,,
2020-09-07T18:30:00Z,1.77,172.0,5.26,,
2020-09-07T18:45:00Z,1.72,141.3,3.73,,
2020-09-07T19:00:00Z,2.19,180.9,4.38,,
2020-09-07T19:15:00Z,1.72,195.5,4.15,,
2020-09-07T19:30:00Z,2.21,186.7,5.91,,
2020-09-07T19:45:00Z,1.39,149.3,3.73,,
2020-09-07T20:00:00Z,1.55,128.1,3.29,,
2020-09-07T20:15:00Z,1.68,165.6,3.29,,
2020-09-07T20:30:00Z,1.81,142.0,3.73,,
2020-09-07T20:45:00Z,1.58,155.3,4.6,,
2020-09-07T21:00:00Z,2.7,103.3,10.3,,
2020-09-07T21:15:00Z,3.84,94.9,12.06,,
2020-09-07T21:30:00Z,2.95,74.09,14.03,,
2020-09-07T21:45:00Z,2.73,84.2,14.47,,
2020-09-07T22:00:00Z,3.29,89.3,15.78,,
2020-09-07T22:15:00Z,3.91,68.85,16.88,,
2020-09-07T22:30:00Z,2.95,80.4,8.33,,
2020-09-07T22:45:00Z,3.17,62.36,14.25,,
2020-09-07T23:00:00Z,2.59,3.72,14.03,,
2020-09-07T23:15:00Z,3.37,69.31,17.54,,
2020-09-07T23:30:00Z,2.75,29.09,10.08,,
2020-09-07T23:45:00Z,4.67,72.67,17.54,,
2020-09-08T00:00:00Z,3.36,52.46,19.51,,
2020-09-08T00:15:00Z,2.8,12.13,10.96,,
