datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:27:00Z,3.0,267.0,7.0,7.0,314.0
2020-09-07T01:27:00Z,2.0,263.0,5.99,5.99,178.0
2020-09-07T02:27:00Z,2.0,249.0,5.99,5.99,170.0
2020-09-07T03:27:00Z,1.0,233.0,5.99,5.99,203.0
2020-09-07T04:27:00Z,1.0,205.0,5.0,5.0,227.0
2020-09-07T05:27:00Z,1.0,237.0,5.0,5.0,261.0
2020-09-07T06:27:00Z,1.0,239.0,3.0,3.0,215.0
2020-09-07T07:27:00Z,1.0,50.0,5.0,5.0,97.0
2020-09-07T08:27:00Z,0.0,,3.0,3.0,0.0
2020-09-07T09:27:00Z,1.0,217.0,4.0,4.0,173.0
2020-09-07T10:27:00Z,0.0,,3.0,3.0,196.0
2020-09-07T11:27:00Z,1.0,216.0,2.0,2.0,189.0
2020-09-07T12:27:00Z,1.0,213.0,3.0,3.0,215.0
2020-09-07T13:27:00Z,0.0,,3.0,3.0,198.0
2020-09-07T14:27:00Z,0.0,,2.0,2.0,51.0
2020-09-07T15:27:00Z,1.0,220.0,2.0,2.0,56.0
2020-09-07T16:27:00Z,1.0,242.0,3.0,3.0,266.0
2020-09-07T17:27:00Z,1.0,274.0,5.0,5.0,19.0
2020-09-07T18:27:00Z,1.0,266.0,4.0,4.0,285.0
2020-09-07T19:27:00Z,1.0,262.0,7.0,7.0,269.0
2020-09-07T20:27:00Z,2.0,262.0,7.0,7.0,285.0
2020-09-07T21:27:00Z,1.0,268.0,5.0,5.0,259.0
2020-09-07T22:27:00Z,3.0,323.0,9.0,9.0,132.0
2020-09-07T23:27:00Z,4.0,61.0,14.01,14.01,30.0
2020-09-08T00:27:00Z,4.0,59.0,19.0,19.0,97.0
2020-09-08T01:27:00Z,5.99,61.0,19.0,19.0,124.0
2020-09-08T02:27:00Z,5.99,63.0,22.0,22.0,64.0
2020-09-08T03:27:00Z,7.0,82.0,29.0,29.0,76.0
2020-09-08T04:27:00Z,5.99,76.0,34.99,34.99,58.0
2020-09-08T05:27:00Z,7.0,84.0,34.99,34.99,4.0
2020-09-08T06:27:00Z,5.99,73.0,24.0,24.0,96.0
2020-09-08T07:27:00Z,7.0,77.0,25.0,25.0,64.0
2020-09-08T08:27:00Z,9.0,64.0,26.0,26.0,0.0
2020-09-08T09:27:00Z,8.0,62.0,28.0,28.0,81.0
2020-09-08T10:27:00Z,10.0,54.0,37.0,37.0,83.0
2020-09-08T11:27:00Z,9.0,70.0,34.99,34.99,70.0
2020-09-08T12:27:00Z,7.0,73.0,32.0,32.0,84.0
2020-09-08T13:27:00Z,8.0,66.0,37.0,37.0,130.0
2020-09-08T14:27:00Z,7.0,70.0,26.0,26.0,79.0
2020-09-08T15:27:00Z,8.0,64.0,33.0,33.0,55.0
2020-09-08T16:27:00Z,8.0,65.0,24.0,24.0,61.0
2020-09-08T17:27:00Z,12.0,68.0,66.0,66.0,27.0
2020-09-08T18:27:00Z,12.0,68.0,36.0,36.0,100.0
2020-09-08T19:27:00Z,10.0,60.0,30.0,30.0,84.0
2020-09-08T20:27:00Z,8.0,61.0,28.0,28.0,38.0
2020-09-08T21:27:00Z,7.0,56.0,26.0,26.0,69.0
2020-09-08T22:27:00Z,8.0,59.0,28.0,28.0,19.0
2020-09-08T23:27:00Z,7.0,61.0,24.0,24.0,97.0
2020-09-09T00:27:00Z,5.0,46.0,22.0,22.0,75.0
2020-09-09T01:27:00Z,5.99,53.0,22.0,22.0,85.0
2020-09-09T02:27:00Z,5.99,60.0,25.0,25.0,62.0
2020-09-09T03:27:00Z,5.0,64.0,22.0,22.0,97.0
2020-09-09T04:27:00Z,7.0,62.0,23.0,23.0,83.0
2020-09-09T05:27:00Z,7.0,60.0,24.0,24.0,39.0
2020-09-09T06:27:00Z,5.99,70.0,23.0,23.0,72.0
2020-09-09T07:27:00Z,5.99,84.0,17.0,17.0,65.0
2020-09-09T08:27:00Z,7.0,88.0,23.0,23.0,82.0
2020-09-09T09:27:00Z,9.0,92.0,27.0,27.0,100.0
2020-09-09T10:27:00Z,10.0,91.0,30.0,30.0,98.0
2020-09-09T11:27:00Z,9.0,87.0,23.0,23.0,58.0
2020-09-09T12:27:00Z,8.0,87.0,28.0,28.0,104.0
2020-09-09T13:27:00Z,9.0,88.0,22.0,22.0,96.0
2020-09-09T14:27:00Z,9.0,91.0,20.0,20.0,95.0
2020-09-09T15:27:00Z,8.0,96.0,31.0,31.0,33.0
2020-09-09T16:27:00Z,8.0,94.0,22.0,22.0,61.0
2020-09-09T17:27:00Z,8.0,90.0,21.0,21.0,44.0
2020-09-09T18:27:00Z,7.0,91.0,19.0,19.0,95.0
2020-09-09T19:27:00Z,7.0,88.0,22.0,22.0,102.0
2020-09-09T20:27:00Z,7.0,88.0,20.0,20.0,79.0
2020-09-09T21:27:00Z,7.0,86.0,18.0,18.0,51.0
2020-09-09T22:27:00Z,7.0,86.0,20.0,20.0,35.0
2020-09-09T23:27:00Z,5.99,90.0,18.0,18.0,85.0
2020-09-10T00:27:00Z,5.99,88.0,14.99,14.99,65.0
2020-09-10T01:27:00Z,7.0,94.0,16.0,16.0,50.0
2020-09-10T02:27:00Z,5.99,96.0,17.0,17.0,54.0
2020-09-10T03:27:00Z,7.0,97.0,17.0,17.0,107.0
2020-09-10T04:27:00Z,7.0,100.0,23.0,23.0,55.0
2020-09-10T05:27:00Z,7.0,98.0,16.0,16.0,96.0
2020-09-10T06:27:00Z,5.99,97.0,14.99,14.99,79.0
2020-09-10T07:27:00Z,5.99,96.0,21.0,21.0,125.0
2020-09-10T08:27:00Z,5.99,96.0,14.99,14.99,105.0
2020-09-10T09:27:00Z,5.99,98.0,14.99,14.99,92.0
2020-09-10T10:27:00Z,5.99,96.0,13.0,13.0,122.0
2020-09-10T11:27:00Z,5.0,99.0,13.0,13.0,91.0
2020-09-10T12:27:00Z,5.99,92.0,11.0,11.0,84.0
2020-09-10T13:27:00Z,5.0,96.0,12.0,12.0,120.0
2020-09-10T14:27:00Z,5.0,101.0,13.0,13.0,85.0
2020-09-10T15:27:00Z,4.0,95.0,11.0,11.0,49.0
2020-09-10T16:27:00Z,3.0,94.0,11.0,11.0,119.0
2020-09-10T17:27:00Z,2.0,93.0,5.0,5.0,152.0
2020-09-10T18:27:00Z,2.0,92.0,5.0,5.0,76.0
2020-09-10T19:27:00Z,1.0,102.0,3.0,3.0,79.0
2020-09-10T20:27:00Z,1.0,120.0,3.0,3.0,83.0
2020-09-10T21:27:00Z,0.0,,4.0,4.0,359.0
2020-09-10T22:27:00Z,0.0,,2.0,2.0,90.0
2020-09-10T23:27:00Z,0.0,,2.0,2.0,108.0
