datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:00:00Z,1.55,181.5,3.73,,
2020-09-07T00:15:00Z,2.13,213.7,4.15,,
2020-09-07T00:30:00Z,1.34,243.1,2.4,,
2020-09-07T00:45:00Z,2.04,212.4,3.73,,
2020-09-07T01:00:00Z,2.15,201.5,3.07,,
2020-09-07T01:15:00Z,1.53,218.4,2.64,,
2020-09-07T01:30:00Z,1.64,232.3,2.4,,
2020-09-07T01:45:00Z,2.49,264.5,3.95,,
2020-09-07T02:00:00Z,2.07,274.2,4.38,,
2020-09-07T02:15:00Z,1.92,240.6,3.73,,
2020-09-07T02:30:00Z,0.85,262.0,2.4,,
2020-09-07T02:45:00Z,0.72,329.2,2.4,,
2020-09-07T03:00:00Z,1.38,232.8,2.85,,
2020-09-07T03:15:00Z,1.04,242.7,3.95,,
2020-09-07T03:30:00Z,2.04,236.1,5.04,,
2020-09-07T03:45:00Z,2.32,145.9,4.6,,
2020-09-07T04:00:00Z,1.75,140.1,3.51,,
2020-09-07T04:15:00Z,1.76,299.0,4.15,,
2020-09-07T04:30:00Z,1.81,263.2,2.85,,
2020-09-07T04:45:00Z,1.75,133.9,4.82,,
2020-09-07T05:00:00Z,2.49,133.3,4.38,,
2020-09-07T05:15:00Z,2.09,193.2,4.82,,
2020-09-07T05:30:00Z,1.45,279.4,5.48,,
2020-09-07T05:45:00Z,0.47,175.2,3.51,,
2020-09-07T06:00:00Z,0.69,235.8,2.64,,
2020-09-07T06:15:00Z,1.65,225.3,5.7,,
2020-09-07T06:30:00Z,3.1,178.4,6.14,,
2020-09-07T06:45:00Z,1.93,260.4,4.82,,
2020-09-07T07:00:00Z,1.97,154.2,5.26,,
2020-09-07T07:15:00Z,1.44,240.2,4.38,,
2020-09-07T07:30:00Z,1.75,183.4,3.73,,
2020-09-07T07:45:00Z,1.72,214.3,3.73,,
2020-09-07T08:00:00Z,1.14,272.8,4.6,,
2020-09-07T08:15:00Z,1.17,328.1,3.29,,
2020-09-07T08:30:00Z,1.65,184.2,5.26,,
2020-09-07T08:45:00Z,0.71,263.3,2.64,,
2020-09-07T09:00:00Z,2.31,236.2,3.51,,
2020-09-07T09:15:00Z,1.2,167.1,3.07,,
2020-09-07T09:30:00Z,1.66,118.0,3.95,,
2020-09-07T09:45:00Z,1.49,216.7,3.95,,
2020-09-07T10:00:00Z,1.68,264.9,4.15,,
2020-09-07T10:15:00Z,1.46,308.9,2.64,,
2020-09-07T10:30:00Z,1.96,246.6,4.6,,
2020-09-07T10:45:00Z,1.81,191.2,5.48,,
2020-09-07T11:00:00Z,0.99,238.8,2.64,,
2020-09-07T11:15:00Z,1.38,232.9,3.07,,
2020-09-07T11:30:00Z,0.63,105.4,2.19,,
2020-09-07T11:45:00Z,0.78,120.9,3.07,,
2020-09-07T12:00:00Z,1.72,237.5,3.29,,
2020-09-07T12:15:00Z,0.67,269.5,2.64,,
2020-09-07T12:30:00Z,1.92,257.2,5.04,,
2020-09-07T12:45:00Z,2.07,208.4,4.15,,
2020-09-07T13:00:00Z,1.46,112.4,3.07,,
