datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:16:00Z,,0.0,,,
2020-09-07T00:46:00Z,,0.0,,,
2020-09-07T01:01:00Z,,0.0,,,
2020-09-07T01:16:00Z,,0.0,,,
2020-09-07T01:31:00Z,,0.0,,,
2020-09-07T01:46:00Z,,0.0,,,
2020-09-07T02:01:00Z,,0.0,0.9,,
2020-09-07T02:16:00Z,,0.0,,,
2020-09-07T02:31:00Z,,0.0,0.9,,
2020-09-07T02:46:00Z,,0.0,,,
2020-09-07T03:01:00Z,,0.0,,,
2020-09-07T03:16:00Z,,0.0,,,
2020-09-07T03:31:00Z,,0.0,,,
2020-09-07T03:46:00Z,,0.0,0.9,,
2020-09-07T04:01:00Z,,0.0,,,
2020-09-07T04:16:00Z,,0.0,,,
2020-09-07T04:31:00Z,,0.0,,,
2020-09-07T04:46:00Z,0.9,45.0,2.91,,
2020-09-07T05:01:00Z,2.91,45.0,4.03,,
2020-09-07T05:16:00Z,4.03,90.0,4.03,,
2020-09-07T05:31:00Z,2.91,90.0,4.03,,
2020-09-07T05:46:00Z,2.01,90.0,2.91,,
2020-09-07T06:01:00Z,,90.0,0.9,,
2020-09-07T06:16:00Z,,90.0,0.9,,
2020-09-07T06:31:00Z,,90.0,2.01,,
2020-09-07T06:46:00Z,0.9,90.0,2.01,,
2020-09-07T07:01:00Z,,45.0,,,
2020-09-07T07:16:00Z,,45.0,2.01,,
2020-09-07T07:31:00Z,,45.0,0.9,,
2020-09-07T07:46:00Z,,45.0,0.9,,
2020-09-07T08:01:00Z,,90.0,2.01,,
2020-09-07T08:16:00Z,,90.0,,,
2020-09-07T08:31:00Z,,90.0,,,
2020-09-07T08:46:00Z,,90.0,0.9,,
2020-09-07T09:01:00Z,,90.0,,,
2020-09-07T09:16:00Z,,90.0,0.9,,
2020-09-07T09:31:00Z,,90.0,0.9,,
2020-09-07T09:46:00Z,,90.0,0.9,,
2020-09-07T10:01:00Z,,90.0,0.9,,
2020-09-07T10:16:00Z,,90.0,,,
2020-09-07T10:31:00Z,,90.0,2.01,,
2020-09-07T10:46:00Z,,45.0,,,
2020-09-07T11:01:00Z,,45.0,,,
2020-09-07T11:16:00Z,,45.0,0.9,,
2020-09-07T11:31:00Z,,45.0,0.9,,
2020-09-07T11:46:00Z,0.9,45.0,2.01,,
2020-09-07T12:01:00Z,0.9,45.0,0.9,,
2020-09-07T12:16:00Z,0.9,45.0,2.01,,
2020-09-07T12:31:00Z,0.9,90.0,2.01,,
2020-09-07T12:46:00Z,0.9,90.0,0.9,,
2020-09-07T13:01:00Z,0.9,90.0,2.01,,
2020-09-07T13:16:00Z,2.01,45.0,2.91,,
2020-09-07T13:32:00Z,2.01,90.0,2.91,,
2020-09-07T13:46:00Z,0.9,90.0,2.91,,
2020-09-07T14:01:00Z,0.9,90.0,2.91,,
2020-09-07T14:16:00Z,2.91,90.0,2.91,,
2020-09-07T14:31:00Z,2.91,90.0,2.91,,
2020-09-07T14:46:00Z,2.91,90.0,4.03,,
2020-09-07T15:01:00Z,2.01,90.0,2.91,,
2020-09-07T15:16:00Z,2.01,90.0,2.91,,
2020-09-07T15:31:00Z,2.01,90.0,4.03,,
2020-09-07T15:46:00Z,0.9,45.0,2.91,,
2020-09-07T16:01:00Z,,90.0,2.91,,
2020-09-07T16:16:00Z,,90.0,0.9,,
2020-09-07T16:31:00Z,,90.0,,,
2020-09-07T16:46:00Z,0.9,90.0,2.01,,
2020-09-07T17:01:00Z,,90.0,4.93,,
2020-09-07T17:16:00Z,,90.0,0.9,,
2020-09-07T17:31:00Z,,90.0,,,
2020-09-07T17:46:00Z,0.9,90.0,0.9,,
2020-09-07T18:01:00Z,,135.0,2.01,,
2020-09-07T18:16:00Z,,135.0,,,
2020-09-07T18:31:00Z,,135.0,,,
2020-09-07T18:46:00Z,,135.0,,,
2020-09-07T21:31:00Z,6.94,90.0,16.11,,
2020-09-07T22:16:00Z,6.94,90.0,16.11,,
2020-09-07T22:46:00Z,8.95,90.0,19.91,,
2020-09-07T23:46:00Z,10.96,90.0,23.94,,
2020-09-08T00:01:00Z,14.1,90.0,23.94,,
2020-09-08T00:46:00Z,12.08,90.0,21.92,,
2020-09-08T01:16:00Z,12.08,90.0,21.02,,
2020-09-08T01:31:00Z,14.1,45.0,25.95,,
2020-09-08T01:46:00Z,12.97,90.0,31.99,,
2020-09-08T02:01:00Z,17.0,45.0,29.98,,
2020-09-08T02:16:00Z,14.98,90.0,29.08,,
2020-09-08T02:31:00Z,17.9,45.0,29.08,,
2020-09-08T02:46:00Z,14.1,90.0,23.94,,
2020-09-08T03:01:00Z,14.1,90.0,29.08,,
2020-09-08T03:16:00Z,17.0,45.0,27.07,,
2020-09-08T03:31:00Z,16.11,90.0,27.07,,
2020-09-08T03:46:00Z,17.0,45.0,34.01,,
2020-09-08T04:01:00Z,16.11,90.0,29.08,,
2020-09-08T04:16:00Z,17.9,90.0,29.08,,
2020-09-08T04:31:00Z,10.96,45.0,23.04,,
2020-09-08T04:46:00Z,12.08,45.0,25.95,,
2020-09-08T05:01:00Z,12.08,90.0,27.07,,
2020-09-08T05:16:00Z,12.97,90.0,23.04,,
2020-09-08T05:31:00Z,14.1,90.0,29.98,,
2020-09-08T05:46:00Z,17.0,45.0,29.08,,
2020-09-08T06:01:00Z,16.11,45.0,27.07,,
2020-09-08T06:16:00Z,12.97,45.0,23.94,,
2020-09-08T06:31:00Z,10.96,90.0,23.94,,
2020-09-08T06:46:00Z,16.11,90.0,29.98,,
2020-09-08T07:01:00Z,16.11,90.0,34.89,,
2020-09-08T07:16:00Z,21.02,45.0,31.99,,
2020-09-08T07:31:00Z,21.92,45.0,44.96,,
2020-09-08T07:46:00Z,19.91,45.0,33.11,,
2020-09-08T08:01:00Z,19.01,90.0,34.01,,
2020-09-08T08:16:00Z,17.9,45.0,38.92,,
2020-09-08T08:31:00Z,14.98,45.0,29.98,,
2020-09-08T08:46:00Z,16.11,90.0,27.96,,
2020-09-08T09:01:00Z,14.1,90.0,27.07,,
2020-09-08T09:16:00Z,12.97,90.0,29.08,,
2020-09-08T09:31:00Z,19.01,45.0,27.96,,
2020-09-08T09:46:00Z,16.11,90.0,31.09,,
2020-09-08T10:01:00Z,19.01,90.0,31.99,,
2020-09-08T10:16:00Z,12.97,90.0,25.95,,
2020-09-08T10:31:00Z,12.08,90.0,23.94,,
2020-09-08T10:46:00Z,17.9,45.0,29.98,,
2020-09-08T11:01:00Z,21.02,45.0,36.9,,
2020-09-08T11:16:00Z,21.02,45.0,34.01,,
2020-09-08T11:31:00Z,17.9,45.0,40.04,,
2020-09-08T11:46:00Z,17.0,90.0,29.08,,
2020-09-08T12:01:00Z,17.9,90.0,31.99,,
2020-09-08T12:16:00Z,17.9,45.0,31.09,,
2020-09-08T12:31:00Z,17.0,45.0,34.01,,
2020-09-08T12:46:00Z,17.0,90.0,34.01,,
2020-09-08T13:01:00Z,14.98,90.0,31.99,,
2020-09-08T13:16:00Z,19.01,90.0,29.98,,
2020-09-08T13:31:00Z,19.01,90.0,31.99,,
2020-09-08T13:46:00Z,21.92,45.0,38.03,,
2020-09-08T14:01:00Z,19.91,45.0,34.89,,
2020-09-08T14:16:00Z,19.01,45.0,33.11,,
2020-09-08T14:31:00Z,21.02,45.0,31.99,,
2020-09-08T14:46:00Z,21.02,45.0,29.98,,
2020-09-08T15:01:00Z,25.95,45.0,34.01,,
2020-09-08T15:16:00Z,21.92,45.0,40.04,,
2020-09-08T15:31:00Z,23.04,90.0,42.95,,
2020-09-08T15:46:00Z,19.91,90.0,36.02,,
2020-09-08T16:01:00Z,17.9,45.0,29.98,,
2020-09-08T16:16:00Z,16.11,45.0,29.98,,
2020-09-08T16:31:00Z,14.98,90.0,31.99,,
2020-09-08T17:01:00Z,14.1,90.0,31.99,,
2020-09-08T17:16:00Z,12.08,90.0,34.01,,
2020-09-08T17:31:00Z,10.07,90.0,34.89,,
2020-09-08T17:46:00Z,12.08,90.0,29.08,,
2020-09-08T18:01:00Z,10.96,90.0,21.92,,
2020-09-08T18:16:00Z,10.07,90.0,21.92,,
2020-09-08T18:31:00Z,12.08,90.0,23.94,,
2020-09-08T18:46:00Z,10.96,90.0,25.95,,
2020-09-08T19:16:00Z,12.08,90.0,23.94,,
2020-09-08T19:31:00Z,12.08,90.0,25.95,,
2020-09-08T19:46:00Z,16.11,90.0,27.07,,
2020-09-08T20:01:00Z,16.11,45.0,29.98,,
2020-09-08T20:16:00Z,17.0,90.0,29.98,,
