datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:53:00Z,3.0,189.0,7.0,7.0,225.0
2020-09-07T01:53:00Z,2.0,179.0,7.0,7.0,205.0
2020-09-07T02:53:00Z,1.0,100.0,4.0,4.0,145.0
2020-09-07T03:53:00Z,1.0,130.0,4.0,4.0,95.0
2020-09-07T04:53:00Z,3.0,81.0,4.0,4.0,93.0
2020-09-07T05:53:00Z,3.0,100.0,4.0,4.0,117.0
2020-09-07T06:53:00Z,2.0,89.0,4.0,4.0,93.0
2020-09-07T07:53:00Z,3.0,96.0,4.0,4.0,100.0
2020-09-07T08:53:00Z,3.0,66.0,4.0,4.0,89.0
2020-09-07T09:53:00Z,3.0,107.0,4.0,4.0,113.0
2020-09-07T10:53:00Z,2.0,85.0,5.0,5.0,102.0
2020-09-07T11:53:00Z,2.0,85.0,4.0,4.0,117.0
2020-09-07T12:53:00Z,3.0,102.0,4.0,4.0,93.0
2020-09-07T13:53:00Z,2.0,94.0,4.0,4.0,94.0
2020-09-07T14:53:00Z,3.0,95.0,4.0,4.0,92.0
2020-09-07T15:53:00Z,0.0,,3.0,3.0,94.0
2020-09-07T16:53:00Z,1.0,329.0,5.0,5.0,313.0
2020-09-07T17:53:00Z,2.0,281.0,8.0,8.0,253.0
2020-09-07T18:53:00Z,4.0,293.0,7.0,7.0,323.0
2020-09-07T19:53:00Z,5.0,238.0,11.0,11.0,262.0
2020-09-07T20:53:00Z,5.99,40.0,17.0,17.0,36.0
2020-09-07T21:53:00Z,8.0,31.0,21.0,21.0,355.0
2020-09-07T22:53:00Z,10.0,50.0,27.0,27.0,57.0
2020-09-07T23:53:00Z,12.0,80.0,27.0,27.0,104.0
2020-09-08T00:53:00Z,12.0,68.0,33.0,33.0,53.0
2020-09-08T01:53:00Z,10.0,64.0,39.0,39.0,48.0
2020-09-08T02:53:00Z,14.01,68.0,32.0,32.0,55.0
2020-09-08T03:53:00Z,14.01,67.0,36.0,36.0,49.0
2020-09-08T04:53:00Z,8.0,8.0,39.0,39.0,86.0
2020-09-08T05:53:00Z,7.0,324.0,21.0,21.0,330.0
2020-09-08T06:53:00Z,5.99,289.0,21.0,21.0,341.0
2020-09-08T07:53:00Z,8.0,83.0,28.0,28.0,331.0
2020-09-08T08:53:00Z,4.0,227.0,21.0,21.0,13.0
2020-09-08T09:53:00Z,7.0,295.0,26.0,26.0,269.0
2020-09-08T10:53:00Z,11.0,346.0,36.0,36.0,342.0
2020-09-08T11:53:00Z,10.0,26.0,28.0,28.0,294.0
2020-09-08T12:53:00Z,10.0,349.0,26.0,26.0,317.0
2020-09-08T13:53:00Z,11.0,346.0,30.0,30.0,339.0
2020-09-08T14:53:00Z,7.0,11.0,25.0,25.0,31.0
2020-09-08T15:53:00Z,7.0,42.0,28.0,28.0,42.0
2020-09-08T16:53:00Z,12.0,11.0,31.0,31.0,350.0
