datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:13:00Z,9.0,328.0,16.0,16.0,301.0
2020-09-07T01:13:00Z,9.0,327.0,14.01,14.01,347.0
2020-09-07T02:13:00Z,5.0,356.0,13.0,13.0,330.0
2020-09-07T03:13:00Z,4.0,23.0,9.0,9.0,47.0
2020-09-07T04:13:00Z,3.0,15.0,8.0,8.0,32.0
2020-09-07T05:13:00Z,2.0,126.0,5.0,5.0,114.0
2020-09-07T06:13:00Z,2.0,58.0,5.0,5.0,41.0
2020-09-07T07:13:00Z,4.0,63.0,5.0,5.0,21.0
2020-09-07T08:13:00Z,1.0,184.0,4.0,4.0,13.0
2020-09-07T09:13:00Z,1.0,6.0,5.0,5.0,147.0
2020-09-07T10:13:00Z,3.0,78.0,5.0,5.0,49.0
2020-09-07T11:13:00Z,2.0,35.0,4.0,4.0,98.0
2020-09-07T12:13:00Z,2.0,75.0,4.0,4.0,122.0
2020-09-07T13:13:00Z,2.0,39.0,4.0,4.0,31.0
2020-09-07T14:13:00Z,2.0,109.0,4.0,4.0,40.0
2020-09-07T15:13:00Z,2.0,313.0,5.0,5.0,94.0
2020-09-07T16:13:00Z,2.0,171.0,5.0,5.0,335.0
2020-09-07T17:13:00Z,4.0,239.0,7.0,7.0,251.0
2020-09-07T18:13:00Z,7.0,294.0,11.0,11.0,261.0
2020-09-07T19:13:00Z,7.0,307.0,12.0,12.0,290.0
2020-09-07T20:13:00Z,8.0,315.0,13.0,13.0,298.0
2020-09-07T21:13:00Z,10.0,321.0,16.0,16.0,291.0
2020-09-07T22:13:00Z,10.0,313.0,16.0,16.0,310.0
2020-09-07T23:13:00Z,11.0,316.0,17.0,17.0,298.0
2020-09-08T00:13:00Z,5.0,89.0,14.01,14.01,328.0
2020-09-08T01:13:00Z,14.99,82.0,27.0,27.0,80.0
2020-09-08T02:13:00Z,17.0,84.0,30.0,30.0,76.0
2020-09-08T03:13:00Z,17.0,78.0,32.0,32.0,74.0
2020-09-08T04:13:00Z,18.0,84.0,37.0,37.0,86.0
2020-09-08T05:13:00Z,21.0,76.0,37.0,37.0,80.0
2020-09-08T06:13:00Z,19.0,81.0,34.01,34.01,87.0
2020-09-08T07:13:00Z,22.0,83.0,39.0,39.0,92.0
2020-09-08T08:13:00Z,12.0,80.0,34.99,34.99,84.0
2020-09-08T09:13:00Z,10.0,66.0,22.0,22.0,76.0
2020-09-08T10:13:00Z,9.0,73.0,22.0,22.0,71.0
2020-09-08T11:13:00Z,8.0,75.0,19.0,19.0,59.0
2020-09-08T12:13:00Z,8.0,70.0,18.0,18.0,71.0
2020-09-08T13:13:00Z,13.0,81.0,20.0,20.0,84.0
2020-09-08T14:13:00Z,10.0,85.0,22.0,22.0,96.0
2020-09-08T15:13:00Z,13.0,86.0,19.0,19.0,85.0
2020-09-08T16:13:00Z,10.0,82.0,22.0,22.0,88.0
2020-09-08T17:13:00Z,5.99,51.0,16.0,16.0,88.0
2020-09-08T18:13:00Z,5.99,1.0,13.0,13.0,341.0
2020-09-08T19:13:00Z,8.0,34.0,14.01,14.01,52.0
2020-09-08T20:13:00Z,10.0,49.0,17.0,17.0,48.0
2020-09-08T21:13:00Z,9.0,13.0,14.99,14.99,50.0
2020-09-08T22:13:00Z,11.0,72.0,20.0,20.0,96.0
2020-09-08T23:13:00Z,9.0,81.0,22.0,22.0,43.0
2020-09-09T00:13:00Z,5.99,79.0,17.0,17.0,85.0
2020-09-09T01:13:00Z,3.0,61.0,10.0,10.0,73.0
2020-09-09T02:13:00Z,2.0,81.0,4.0,4.0,43.0
2020-09-09T03:13:00Z,4.0,52.0,7.0,7.0,29.0
2020-09-09T04:13:00Z,5.99,63.0,9.0,9.0,28.0
2020-09-09T05:13:00Z,5.0,67.0,12.0,12.0,67.0
2020-09-09T06:13:00Z,5.99,55.0,10.0,10.0,59.0
2020-09-09T07:13:00Z,5.0,69.0,11.0,11.0,52.0
2020-09-09T08:13:00Z,4.0,217.0,10.0,10.0,43.0
2020-09-09T09:13:00Z,5.0,66.0,13.0,13.0,89.0
2020-09-09T10:13:00Z,5.99,52.0,10.0,10.0,73.0
2020-09-09T11:13:00Z,10.0,79.0,20.0,20.0,88.0
2020-09-09T12:13:00Z,9.0,36.0,18.0,18.0,91.0
2020-09-09T13:13:00Z,8.0,49.0,18.0,18.0,46.0
2020-09-09T14:13:00Z,8.0,67.0,16.0,16.0,56.0
2020-09-09T15:13:00Z,5.99,29.0,14.01,14.01,87.0
2020-09-09T16:13:00Z,5.99,13.0,11.0,11.0,13.0
2020-09-09T17:13:00Z,10.0,42.0,14.99,14.99,35.0
2020-09-09T18:13:00Z,8.0,37.0,16.0,16.0,49.0
2020-09-09T19:13:00Z,8.0,67.0,16.0,16.0,33.0
2020-09-09T20:13:00Z,5.99,240.0,14.01,14.01,67.0
2020-09-09T21:13:00Z,9.0,246.0,14.99,14.99,267.0
2020-09-09T22:13:00Z,7.0,238.0,13.0,13.0,247.0
2020-09-09T23:13:00Z,3.0,249.0,9.0,9.0,246.0
2020-09-10T00:13:00Z,1.0,187.0,4.0,4.0,233.0
2020-09-10T01:13:00Z,3.0,131.0,4.0,4.0,171.0
2020-09-10T02:13:00Z,1.0,237.0,4.0,4.0,150.0
2020-09-10T03:13:00Z,1.0,89.0,3.0,3.0,124.0
2020-09-10T04:13:00Z,2.0,75.0,4.0,4.0,88.0
