datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:14:00Z,3.0,257.0,5.0,5.0,247.0
2020-09-07T01:14:00Z,3.0,259.0,4.0,4.0,254.0
2020-09-07T02:14:00Z,2.0,265.0,3.0,3.0,260.0
2020-09-07T03:14:00Z,2.0,295.0,3.0,3.0,296.0
2020-09-07T04:14:00Z,2.0,320.0,4.0,4.0,332.0
2020-09-07T05:14:00Z,0.0,,3.0,3.0,337.0
2020-09-07T06:14:00Z,0.0,,2.0,2.0,301.0
2020-09-07T07:14:00Z,0.0,,3.0,3.0,349.0
2020-09-07T08:14:00Z,0.0,,2.0,2.0,344.0
2020-09-07T09:14:00Z,2.0,71.0,3.0,3.0,80.0
2020-09-07T10:14:00Z,0.0,,3.0,3.0,81.0
2020-09-07T11:14:00Z,1.0,56.0,3.0,3.0,80.0
2020-09-07T12:14:00Z,3.0,78.0,3.0,3.0,81.0
2020-09-07T13:14:00Z,2.0,66.0,3.0,3.0,74.0
2020-09-07T14:14:00Z,3.0,72.0,4.0,4.0,76.0
2020-09-07T15:14:00Z,4.0,80.0,5.0,5.0,80.0
2020-09-07T16:14:00Z,3.0,91.0,5.99,5.99,79.0
2020-09-07T17:14:00Z,0.0,,3.0,3.0,96.0
2020-09-07T18:14:00Z,1.0,227.0,4.0,4.0,94.0
2020-09-07T19:14:00Z,1.0,241.0,5.0,5.0,255.0
2020-09-07T20:14:00Z,3.0,247.0,5.0,5.0,243.0
2020-09-07T21:14:00Z,3.0,255.0,5.0,5.0,251.0
2020-09-07T22:14:00Z,3.0,248.0,5.0,5.0,249.0
2020-09-07T23:14:00Z,0.0,,5.99,5.99,244.0
2020-09-08T00:14:00Z,1.0,99.0,4.0,4.0,249.0
2020-09-08T01:14:00Z,7.0,79.0,10.0,10.0,89.0
2020-09-08T02:14:00Z,9.0,80.0,13.0,13.0,86.0
2020-09-08T03:14:00Z,13.0,86.0,18.0,18.0,73.0
2020-09-08T04:14:00Z,14.01,84.0,22.0,22.0,78.0
2020-09-08T05:14:00Z,14.99,82.0,22.0,22.0,77.0
2020-09-08T06:14:00Z,13.0,83.0,23.0,23.0,93.0
2020-09-08T07:14:00Z,14.01,84.0,22.0,22.0,80.0
2020-09-08T08:14:00Z,10.0,88.0,19.0,19.0,93.0
2020-09-08T09:14:00Z,10.0,87.0,14.99,14.99,84.0
2020-09-08T10:14:00Z,10.0,85.0,16.0,16.0,85.0
2020-09-08T11:14:00Z,9.0,86.0,16.0,16.0,90.0
2020-09-08T12:14:00Z,10.0,87.0,16.0,16.0,81.0
2020-09-08T13:14:00Z,14.01,90.0,21.0,21.0,96.0
2020-09-08T14:14:00Z,12.0,82.0,19.0,19.0,86.0
2020-09-08T15:14:00Z,11.0,83.0,19.0,19.0,85.0
2020-09-08T16:14:00Z,12.0,90.0,20.0,20.0,105.0
2020-09-08T17:14:00Z,10.0,100.0,18.0,18.0,81.0
