datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:07:00Z,1.0,3.0,5.99,5.99,59.0
2020-09-07T01:07:00Z,1.0,285.0,5.99,5.99,228.0
2020-09-07T02:07:00Z,2.0,192.0,5.99,5.99,189.0
2020-09-07T03:07:00Z,0.0,,4.0,4.0,176.0
2020-09-07T04:07:00Z,1.0,234.0,5.0,5.0,184.0
2020-09-07T05:07:00Z,1.0,319.0,3.0,3.0,174.0
2020-09-07T06:07:00Z,0.0,,4.0,4.0,3.0
2020-09-07T07:07:00Z,3.0,328.0,5.99,5.99,305.0
2020-09-07T08:07:00Z,0.0,,5.0,5.0,321.0
2020-09-07T09:07:00Z,1.0,314.0,5.0,5.0,322.0
2020-09-07T10:07:00Z,0.0,,5.0,5.0,12.0
2020-09-07T11:07:00Z,0.0,,4.0,4.0,282.0
2020-09-07T12:07:00Z,1.0,264.0,5.0,5.0,6.0
2020-09-07T13:07:00Z,0.0,,5.0,5.0,335.0
2020-09-07T14:07:00Z,0.0,,5.0,5.0,344.0
2020-09-07T15:07:00Z,0.0,,2.0,2.0,1.0
2020-09-07T16:07:00Z,1.0,77.0,4.0,4.0,42.0
2020-09-07T17:07:00Z,2.0,108.0,7.0,7.0,135.0
2020-09-07T18:07:00Z,7.0,133.0,14.99,14.99,131.0
2020-09-07T19:07:00Z,7.0,125.0,18.0,18.0,137.0
2020-09-07T20:07:00Z,5.0,133.0,14.99,14.99,131.0
2020-09-07T21:07:00Z,5.99,129.0,19.0,19.0,145.0
2020-09-07T22:07:00Z,9.0,127.0,22.0,22.0,136.0
2020-09-07T23:07:00Z,11.0,126.0,34.01,34.01,148.0
2020-09-08T00:07:00Z,8.0,114.0,29.0,29.0,127.0
2020-09-08T01:07:00Z,11.0,125.0,38.0,38.0,126.0
2020-09-08T02:07:00Z,11.0,125.0,36.0,36.0,130.0
2020-09-08T03:07:00Z,9.0,113.0,26.0,26.0,133.0
2020-09-08T04:07:00Z,11.0,111.0,28.0,28.0,129.0
2020-09-08T05:07:00Z,13.0,125.0,38.0,38.0,140.0
2020-09-08T06:07:00Z,14.01,111.0,39.0,39.0,139.0
2020-09-08T07:07:00Z,16.0,106.0,40.0,40.0,125.0
2020-09-08T08:07:00Z,14.01,109.0,52.0,52.0,142.0
2020-09-08T09:07:00Z,16.0,115.0,42.0,42.0,143.0
2020-09-08T10:07:00Z,12.0,104.0,36.0,36.0,143.0
2020-09-08T11:07:00Z,14.99,126.0,43.01,43.01,144.0
2020-09-08T12:07:00Z,10.0,123.0,39.0,39.0,149.0
2020-09-08T13:07:00Z,10.0,130.0,38.0,38.0,163.0
2020-09-08T14:07:00Z,12.0,160.0,31.0,31.0,145.0
2020-09-08T15:07:00Z,10.0,148.0,27.0,27.0,145.0
2020-09-08T16:07:00Z,11.0,163.0,29.0,29.0,178.0
2020-09-08T17:07:00Z,12.0,132.0,30.0,30.0,134.0
2020-09-08T18:07:00Z,13.0,153.0,29.0,29.0,148.0
2020-09-08T19:07:00Z,14.99,135.0,36.0,36.0,123.0
2020-09-08T20:07:00Z,14.01,149.0,37.0,37.0,118.0
2020-09-08T21:07:00Z,11.0,140.0,29.0,29.0,171.0
