datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg
2020-09-07T00:17:00Z,0.0,,8.0,8.0,313.0
2020-09-07T01:17:00Z,1.0,187.0,4.0,4.0,179.0
2020-09-07T02:17:00Z,2.0,27.0,4.0,4.0,12.0
2020-09-07T03:17:00Z,1.0,32.0,4.0,4.0,19.0
2020-09-07T04:17:00Z,0.0,,3.0,3.0,53.0
2020-09-07T05:17:00Z,1.0,222.0,2.0,2.0,139.0
2020-09-07T06:17:00Z,0.0,,3.0,3.0,55.0
2020-09-07T07:17:00Z,1.0,105.0,3.0,3.0,91.0
2020-09-07T08:17:00Z,2.0,51.0,3.0,3.0,54.0
2020-09-07T09:17:00Z,1.0,210.0,3.0,3.0,58.0
2020-09-07T10:17:00Z,0.0,,3.0,3.0,56.0
2020-09-07T11:17:00Z,0.0,,3.0,3.0,56.0
2020-09-07T12:17:00Z,1.0,45.0,3.0,3.0,53.0
2020-09-07T13:17:00Z,2.0,58.0,4.0,4.0,43.0
2020-09-07T14:17:00Z,2.0,51.0,3.0,3.0,59.0
2020-09-07T15:17:00Z,1.0,101.0,5.0,5.0,62.0
2020-09-07T16:17:00Z,1.0,18.0,3.0,3.0,28.0
2020-09-07T17:17:00Z,2.0,216.0,5.99,5.99,41.0
2020-09-07T18:17:00Z,2.0,99.0,5.99,5.99,240.0
2020-09-07T19:17:00Z,1.0,9.0,7.0,7.0,193.0
2020-09-07T20:17:00Z,2.0,91.0,7.0,7.0,94.0
2020-09-07T21:17:00Z,1.0,54.0,8.0,8.0,111.0
2020-09-07T22:17:00Z,3.0,36.0,11.0,11.0,19.0
2020-09-07T23:17:00Z,5.0,34.0,17.0,17.0,24.0
2020-09-08T00:17:00Z,4.0,35.0,14.99,14.99,42.0
2020-09-08T01:17:00Z,5.0,45.0,18.0,18.0,81.0
2020-09-08T02:17:00Z,5.0,33.0,19.0,19.0,41.0
2020-09-08T03:17:00Z,5.99,30.0,19.0,19.0,52.0
2020-09-08T04:17:00Z,5.99,35.0,23.0,23.0,359.0
2020-09-08T05:17:00Z,5.99,45.0,20.0,20.0,52.0
2020-09-08T06:17:00Z,2.0,50.0,26.0,26.0,47.0
2020-09-08T07:17:00Z,3.0,47.0,20.0,20.0,53.0
2020-09-08T08:17:00Z,4.0,49.0,16.0,16.0,32.0
2020-09-08T09:17:00Z,2.0,45.0,14.99,14.99,40.0
2020-09-08T10:17:00Z,5.0,36.0,18.0,18.0,94.0
2020-09-08T11:17:00Z,4.0,41.0,21.0,21.0,45.0
2020-09-08T12:17:00Z,4.0,45.0,17.0,17.0,38.0
2020-09-08T13:17:00Z,5.0,38.0,18.0,18.0,49.0
2020-09-08T14:17:00Z,5.0,54.0,26.0,26.0,46.0
2020-09-08T15:17:00Z,5.0,39.0,25.0,25.0,36.0
2020-09-08T16:17:00Z,5.0,48.0,27.0,27.0,66.0
2020-09-08T17:17:00Z,5.99,44.0,20.0,20.0,101.0
2020-09-08T18:17:00Z,4.0,55.0,23.0,23.0,24.0
2020-09-08T19:17:00Z,5.0,57.0,18.0,18.0,49.0
2020-09-08T20:17:00Z,4.0,63.0,14.99,14.99,58.0
2020-09-08T21:17:00Z,4.0,79.0,14.01,14.01,103.0
2020-09-08T22:17:00Z,4.0,92.0,14.01,14.01,121.0
2020-09-08T23:17:00Z,4.0,58.0,16.0,16.0,156.0
2020-09-09T00:17:00Z,4.0,33.0,12.0,12.0,50.0
2020-09-09T01:17:00Z,2.0,21.0,11.0,11.0,41.0
2020-09-09T02:17:00Z,3.0,32.0,12.0,12.0,36.0
2020-09-09T03:17:00Z,2.0,37.0,12.0,12.0,36.0
2020-09-09T04:17:00Z,3.0,30.0,17.0,17.0,353.0
2020-09-09T05:17:00Z,3.0,28.0,13.0,13.0,56.0
2020-09-09T06:17:00Z,4.0,26.0,14.99,14.99,56.0
2020-09-09T07:17:00Z,3.0,54.0,14.01,14.01,103.0
2020-09-09T08:17:00Z,3.0,25.0,13.0,13.0,51.0
2020-09-09T09:17:00Z,3.0,24.0,10.0,10.0,13.0
2020-09-09T10:17:00Z,3.0,29.0,11.0,11.0,41.0
2020-09-09T11:17:00Z,4.0,30.0,10.0,10.0,20.0
2020-09-09T12:17:00Z,3.0,15.0,16.0,16.0,39.0
2020-09-09T13:17:00Z,3.0,19.0,13.0,13.0,70.0
2020-09-09T14:17:00Z,4.0,30.0,16.0,16.0,49.0
2020-09-09T15:17:00Z,3.0,41.0,20.0,20.0,48.0
2020-09-09T16:17:00Z,4.0,29.0,14.01,14.01,49.0
2020-09-09T17:17:00Z,3.0,20.0,14.99,14.99,53.0
2020-09-09T18:17:00Z,4.0,35.0,19.0,19.0,44.0
2020-09-09T19:17:00Z,4.0,55.0,12.0,12.0,49.0
2020-09-09T20:17:00Z,4.0,56.0,13.0,13.0,45.0
2020-09-09T21:17:00Z,2.0,48.0,11.0,11.0,88.0
2020-09-09T22:17:00Z,2.0,69.0,11.0,11.0,30.0
2020-09-09T23:17:00Z,2.0,63.0,9.0,9.0,44.0
2020-09-10T00:17:00Z,2.0,42.0,8.0,8.0,103.0
2020-09-10T01:17:00Z,2.0,27.0,8.0,8.0,86.0
2020-09-10T02:17:00Z,1.0,29.0,8.0,8.0,40.0
2020-09-10T03:17:00Z,2.0,19.0,8.0,8.0,47.0
