datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2021-12-29T00:56:00Z,9.0,74.0,12.0,12.0,83.0,23.0,35.0
2021-12-29T01:56:00Z,14.01,100.0,21.0,21.0,105.0,25.0,32.0
2021-12-29T02:56:00Z,11.0,125.0,18.0,18.0,101.0,22.0,37.0
2021-12-29T03:56:00Z,9.0,146.0,14.99,14.99,130.0,23.0,38.0
2021-12-29T04:56:00Z,4.0,194.0,12.0,12.0,136.0,21.0,43.0
2021-12-29T05:56:00Z,2.0,164.0,8.0,8.0,172.0,17.0,45.0
2021-12-29T06:56:00Z,4.0,156.0,5.99,5.99,156.0,15.0,53.0
2021-12-29T07:56:00Z,1.0,176.0,4.0,4.0,150.0,18.0,51.0
2021-12-29T08:56:00Z,1.0,194.0,4.0,4.0,266.0,16.0,55.0
2021-12-29T09:56:00Z,4.0,317.0,5.0,5.0,309.0,18.0,53.0
2021-12-29T10:56:00Z,1.0,319.0,5.99,5.99,81.0,13.0,58.0
2021-12-29T11:56:00Z,0.0,,5.0,5.0,138.0,12.0,61.0
2021-12-29T12:56:00Z,3.0,290.0,5.0,5.0,314.0,14.0,57.0
2021-12-29T13:56:00Z,4.0,342.0,8.0,8.0,342.0,12.0,58.0
2021-12-29T14:56:00Z,2.0,214.0,5.99,5.99,301.0,10.0,63.0
2021-12-29T15:56:00Z,3.0,195.0,5.0,5.0,192.0,21.0,46.0
2021-12-29T16:56:00Z,3.0,317.0,5.99,5.99,240.0,24.0,40.0
2021-12-29T17:56:00Z,2.0,30.0,7.0,7.0,41.0,26.0,37.0
2021-12-29T18:56:00Z,5.99,77.0,9.0,9.0,51.0,31.0,32.0
2021-12-29T19:56:00Z,5.99,139.0,12.0,12.0,88.0,34.0,29.0
2021-12-29T20:56:00Z,5.99,109.0,13.0,13.0,125.0,35.0,28.0
2021-12-29T21:56:00Z,9.0,104.0,17.0,17.0,73.0,34.0,29.0
2021-12-29T22:56:00Z,7.0,86.0,14.01,14.01,93.0,33.0,30.0
2021-12-29T23:56:00Z,8.0,84.0,10.0,10.0,73.0,25.0,37.0
2021-12-30T00:56:00Z,9.0,94.0,11.0,11.0,89.0,22.0,41.0
2021-12-30T01:56:00Z,8.0,104.0,10.0,10.0,103.0,20.0,44.0
2021-12-30T02:56:00Z,5.0,121.0,9.0,9.0,111.0,18.0,46.0
2021-12-30T03:56:00Z,5.0,176.0,7.0,7.0,123.0,18.0,59.0
2021-12-30T04:56:00Z,1.0,101.0,7.0,7.0,150.0,19.0,49.0
2021-12-30T05:56:00Z,5.0,183.0,7.0,7.0,167.0,11.0,66.0
2021-12-30T06:56:00Z,4.0,185.0,5.99,5.99,196.0,17.0,60.0
2021-12-30T07:56:00Z,4.0,214.0,5.99,5.99,209.0,16.0,72.0
2021-12-30T08:56:00Z,3.0,235.0,8.0,8.0,266.0,15.0,68.0
2021-12-30T09:56:00Z,4.0,207.0,7.0,7.0,174.0,20.0,58.0
2021-12-30T10:56:00Z,7.0,200.0,9.0,9.0,184.0,25.0,53.0
2021-12-30T11:56:00Z,5.0,157.0,9.0,9.0,187.0,26.0,45.0
2021-12-30T12:56:00Z,4.0,214.0,5.0,5.0,159.0,27.0,44.0
2021-12-30T13:56:00Z,7.0,214.0,9.0,9.0,207.0,26.0,54.0
2021-12-30T14:56:00Z,19.0,200.0,25.0,25.0,200.0,35.0,37.0
2021-12-30T15:56:00Z,13.0,211.0,23.0,23.0,200.0,38.0,32.0
2021-12-30T16:56:00Z,12.0,254.0,33.0,33.0,230.0,46.0,20.0
2021-12-30T17:56:00Z,5.99,315.0,25.0,25.0,345.0,49.0,17.0
2021-12-30T18:56:00Z,13.0,251.0,19.0,19.0,225.0,50.0,13.0
2021-12-30T19:56:00Z,14.01,286.0,24.0,24.0,282.0,51.0,13.0
2021-12-30T20:56:00Z,21.0,264.0,29.0,29.0,242.0,50.0,12.0
2021-12-30T21:56:00Z,14.01,297.0,27.0,27.0,266.0,49.0,15.0
2021-12-30T22:56:00Z,9.0,294.0,18.0,18.0,318.0,48.0,16.0
2021-12-30T23:56:00Z,11.0,230.0,18.0,18.0,239.0,44.0,19.0
2021-12-31T00:56:00Z,9.0,241.0,21.0,21.0,206.0,43.0,20.0
2021-12-31T01:56:00Z,3.0,16.0,20.0,20.0,296.0,39.0,25.0
