datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph,peak_wind_speed_mph,peak_wind_dir_deg,air_temp_f,relative_humidity_pct
2021-12-29T00:25:00Z,7.0,229.0,14.99,14.99,269.0,27.0,39.0
2021-12-29T01:25:00Z,3.0,221.0,14.01,14.01,218.0,27.0,38.0
2021-12-29T02:25:00Z,2.0,50.0,7.0,7.0,44.0,20.0,40.0
2021-12-29T03:25:00Z,3.0,258.0,5.0,5.0,235.0,16.0,46.0
2021-12-29T04:25:00Z,2.0,75.0,9.0,9.0,306.0,17.0,47.0
2021-12-29T05:25:00Z,2.0,286.0,4.0,4.0,92.0,14.0,50.0
2021-12-29T06:25:00Z,4.0,251.0,5.99,5.99,275.0,12.0,54.0
2021-12-29T07:25:00Z,2.0,101.0,7.0,7.0,113.0,16.0,56.0
2021-12-29T08:25:00Z,3.0,273.0,4.0,4.0,296.0,12.0,60.0
2021-12-29T09:25:00Z,2.0,286.0,5.0,5.0,77.0,15.0,60.0
2021-12-29T10:25:00Z,2.0,276.0,5.99,5.99,278.0,12.0,61.0
2021-12-29T11:25:00Z,1.0,275.0,4.0,4.0,124.0,12.0,60.0
2021-12-29T12:25:00Z,1.0,295.0,4.0,4.0,96.0,13.0,61.0
2021-12-29T13:25:00Z,0.0,,3.0,3.0,144.0,12.0,59.0
2021-12-29T14:25:00Z,1.0,286.0,5.99,5.99,269.0,12.0,58.0
2021-12-29T15:25:00Z,2.0,225.0,5.0,5.0,244.0,19.0,53.0
2021-12-29T16:25:00Z,3.0,139.0,5.99,5.99,137.0,27.0,40.0
2021-12-29T17:25:00Z,3.0,88.0,7.0,7.0,105.0,30.0,39.0
2021-12-29T18:25:00Z,4.0,96.0,9.0,9.0,96.0,29.0,37.0
2021-12-29T19:25:00Z,3.0,99.0,9.0,9.0,108.0,27.0,39.0
2021-12-29T20:25:00Z,3.0,81.0,5.99,5.99,100.0,25.0,41.0
2021-12-29T21:25:00Z,3.0,91.0,5.0,5.0,107.0,28.0,38.0
2021-12-29T22:25:00Z,4.0,96.0,10.0,10.0,68.0,28.0,35.0
2021-12-29T23:25:00Z,1.0,114.0,4.0,4.0,68.0,23.0,42.0
2021-12-30T00:25:00Z,2.0,284.0,4.0,4.0,281.0,19.0,48.0
2021-12-30T01:25:00Z,2.0,277.0,4.0,4.0,256.0,16.0,53.0
2021-12-30T02:25:00Z,2.0,276.0,4.0,4.0,286.0,14.0,56.0
